"";"";"Juania_australis";"Empetrum_rubrum";"Pernettya_rigida";"Drimys_confertifolia";"Myrteola_nummularia";"Myrceugenia";"Fagara";"Dysopsis";"Spergularia";"Coprosma";"Sophora";"Cuminia";"Loranthaceae";"Rhapiothamnus";"Ugni_molinae";"Aristotelia_chilensis";"Eucalyptus";"Pinus";"Acaena";"Rubus";"Rumex";"Plantago";"Poaceae";"Asteraceae_Tub";"Asteraceae_Liguliflorae";"Alternanthera";"Chenopodium";"Rosaceae";"Gunnera";"Haloragis";"Dicksonia";"Blechnum";"Pteris";"Lophosoria";"Histiopteris";"Thyrsopteris_elegans";"Cystopteris_fragilis";"Hymenophyllaceae";"Lycopodium";"Polypodium";"Ophioglossum";"Gleichenia"
"1";31,5;0;0;0;0,0220066020220066;0;0,0793237970793238;0;0;0;0;0;0;0;0;0,0308092430308092;0,0264079220264079;0,013203961013204;0;0,00440132000440132;0,00880264100880264;0,123337001123337;0;0,237971391237971;0,0308092430308092;0;0;0;0;0;0,0661198360661198;0,0352105630352106;0,281984595281985;0,0176052820176053;0;0,0176052820176053;0,00440132000440132;0;0;0;0;0;0
"2";46,5;0;0;0;0,041662474;0;0;0;0;0;0;0;0;0;0;0,054442991;0,03200161;0;0,009660863;0;0,003220288;0,10254604;0;0,189091275;0,009660863;0;0;0;0;0,003220288;0,016000805;0;0,423065311;0,022441381;0;0,083324947;0,006440576;0;0;0;0,003220288;0;0
"3";62,5;0;0;0,00847115798305768;0,00847115798305768;0;0,00423557899152884;0,00423557899152884;0;0;0;0;0;0;0;0,63987494872025;0,00423557899152884;0;0,0127067369745865;0;0;0,0169423149661154;0;0,0677692618644615;0,00423557899152884;0;0;0;0;0;0;0;0,182230737635539;0,00847115798305768;0;0,0254134729491731;0,0127067369745865;0;0;0;0;0;0
"4";78;0;0;0,049495050049495;0,0219978000219978;0;0;0,0109989000109989;0;0;0;0;0;0;0;0,59884011659884;0,0164983500164983;0;0;0;0;0,0878912110878912;0;0,0384961500384962;0;0;0;0;0;0,00549945000549945;0;0;0,153784622153785;0;0;0,0164983500164983;0;0;0;0;0;0;0
"5";93,5;0,154369126308738;0;0;0,00839832001679664;0;0,00839832001679664;0,0184963010369926;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0217956410435913;0;0;0,0116976600233953;0;0;0;0;0;0,00169966000339932;0,004999000009998;0,260047990520096;0,00339932000679864;0;0;0;0,503299341006599;0;0;0,00339932000679864;0;0
"6";107,5;0,0183142769633714;0;0;0,00829707598340585;0;0,168066376663867;0,00647576598704847;0;0;0;0;0;0;0;0;0;0;0;0;0,00091065499817869;0;0;0,00829707598340585;0;0;0;0;0;0,00091065499817869;0,00091065499817869;0,00091065499817869;0,785996153428008;0;0;0;0;0;0;0;0,00091065499817869;0;0
"7";121;0,252525253757576;0;0;0,0111011100333033;0;0,0359035901077108;0,0235023500705071;0;0;0;0;0;0;0;0;0,00870087002610261;0,03340334010021;0,00120012000360036;0;0,136113611408341;0,0173017300519052;0;0,0136013600408041;0,00370037001110111;0;0;0;0;0,0470047001410141;0;0,00870087002610261;0,0446044601338134;0,0322032200966097;0;0,330433043991299;0;0;0;0;0;0;0
"8";136;0;0;0;0,0143;0;0,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0,1643;0;0;0;0;0;0;0;0;0,0214;0,0357;0,0357;0,0786;0,1143;0;0;0;0,1357;0;0
"9";151;0;0;0,0095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1381;0;0,4095;0;0,0143;0;0;0;0;0;0;0,2;0,0286;0,0714;0,0952;0;0,0048;0;0,0286;0;0;0
"10";165,5;0;0;0;0,00680068000680068;0;0;0;0;0;0,010301030010301;0;0;0;0;0,00340034000340034;0;0;0;0;0;0,277427743277428;0;0,506850685506851;0,010301030010301;0;0;0;0;0;0;0,00340034000340034;0,140414041140414;0;0,0137013700137014;0,0274027400274027;0;0;0;0;0;0;0
