"";"";"Alnus.glutinosa.type";"Betula";"Calluna.vulgaris";"Castanea.sativa";"Corylus.avellana";"Cryptomeria.japonica";"Ericaceae";"Frangula.azorica";"Fraxinus.excelsior";"Hedera.azorica";"Ilex.perado";"Juniperus.brevifolia";"Ligustrum";"Myrica.faya";"Myrsine.africana";"Picconia.azorica";"Pinus";"Quercus";"Rubus";"Ulex.type";"Vaccinium.cylindraceum";"Viburnum.tinus";"Allium.type";"Ambrosia";"Anagallis";"Angelica.lignescens";"Apiaceae";"Artemisia";"Asteraceae.Subfam..Cichorioideae";"Bellis.type";"Bidens";"Boraginaceae";"Brassicaceae";"Centaurium";"Cerealia";"Chaerophyllum.azoricum";"Chenopodiaceae.type";"Chrysanthemum.type";"Crassulaceae";"Daucus.carota";"Euphorbia";"Euphrasia";"Fabaceae";"Falcaria.type";"Hydrangea";"Hypericum";"Juncaceae";"Lamiaceae";"Liliaceae.type";"Lysimachia";"Mentha.type";"Plantago.alpina.type";"Plantago.lanceolata.type";"Poaceae";"Pollen..tricolporate..small..smooth.";"Polygonum.persicaria.type";"Potentilla.type";"Ranunculus.cortusifolius.type";"Rubiaceae";"Rumex.acetosella.type";"Rumex.obtusifolius.type";"Sagina";"Secale";"Senecio.type";"Spergula.type";"Teucrium";"Thalictrum";"Urtica";"Verbena.officinalis";"Veronica";"Zea.mays";"Adiantum";"Anogramma.leptophylla.Pteris.cretica";"Asplenium.type";"Athyrium.filix.femina";"Blechnum";"Cheilanthes.type";"Culcita.macrocarpa";"Diphasiastrum.madeirense";"Dryopteris.dilatata.type";"Dryopteris.filix.mas.type";"Huperzia.selago";"Hymenophyllum.tunbrigense.type";"Lycopodium.inundatum";"Monolete.fern.spore";"Ophioglossum.azoricum";"Ophioglossum.lusitanicum";"Osmunda.regalis";"Polypodium";"Pteridium.aquilinum";"Selaginella.kraussiana";"Trichomanes";"Trilete.fern.spore"
"1";-39;0,00117924638794945;0;0,0153301884030126;0;0;0,00589622608361517;0,0176886782508455;0,00471697969566572;0;0;0,0165094347909621;0,133254715931448;0;0,0235849043344607;0,198113208707347;0,0412735855133722;0;0;0,00117924638794945;0;0,00117924638794945;0,00353773623578231;0;0;0;0;0;0;0;0,00117924638794945;0;0;0;0;0;0;0;0;0;0;0,00825471593144802;0;0;0;0,0212264144866278;0,00235848984783286;0;0;0;0;0;0;0,0200471710267444;0,0613207536120505;0,00235848984783286;0;0,0176886782508455;0;0,00235848984783286;0,00117924638794945;0;0,00117924638794945;0,00117924638794945;0;0;0;0;0;0;0;0;0;0,00825471593144802;0;0,00117924638794945;0;0;0,0943396231939747;0,00117924638794945;0;0;0,00117924638794945;0;0;0,23702830144482;0,00235848984783286;0,00471697969566572;0,00471697969566572;0;0,00117924638794945;0,0129716985551798;0,027122640570243;0
"2";-14;0;0;0,00975081357466409;0;0;0;0,0216684731351028;0,00433369462702056;0;0;0,0140845082016846;0,0985915494453787;0;0,0227518948002545;0,236186347878471;0,0249187434415004;0;0;0;0;0,00216684598577464;0,0032502703063976;0;0;0;0;0;0;0;0,00216684598577464;0;0;0,00108342432062296;0;0,00108342432062296;0;0,00108342432062296;0;0;0;0,0065005406127952;0;0;0;0,0216684731351028;0,0032502703063976;0;0;0;0,0032502703063976;0;0;0,0162513541874593;0,0866738898849399;0;0;0,0249187434415004;0;0;0,00108342432062296;0;0,00108342432062296;0;0;0;0;0;0;0;0,00108342432062296;0;0;0,00975081357466409;0;0;0;0,00216684598577464;0,0910075845119605;0;0;0;0,00108342432062296;0,00108342432062296;0;0,222101842332258;0;0,0032502703063976;0,0065005406127952;0,00216684598577464;0,00866738925404112;0,0119176595604387;0,0314192840542956;0
"3";11;0;0;0,00924499279600951;0;0;0;0,0138674879736753;0;0;0;0,00770416107012091;0,160246533661905;0;0,00924499279600951;0,243451463944635;0,0323574735656943;0;0;0;0;0,00154083172588859;0,00462249517766577;0;0;0;0,00154083172588859;0;0;0;0,00154083172588859;0;0;0;0;0;0;0;0;0;0;0,00462249517766577;0;0;0;0,0169491514254525;0,00462249517766577;0;0;0;0,00154083172588859;0;0;0,00616332934423232;0,0924499230787391;0,00154083172588859;0;0,018489985592019;0;0;0;0,00154083172588859;0;0;0,00154083172588859;0;0;0;0;0;0;0;0;0,0154083196995639;0;0;0;0,00308166345177718;0,11093990623008;0;0;0;0,00616332934423232;0;0;0,171032358183803;0;0;0,00924499279600951;0;0,00616332934423232;0,0123266562477867;0,0308166418398057;0
"4";34;0;0;0,00487210628319642;0;0;0;0,0170523742518452;0,0012180265707991;0;0;0,00974421482705058;0,188794154644385;0;0,0121802679686488;0,209500610869285;0,0353227773351473;0;0;0;0;0,0012180265707991;0,00852618825625148;0;0,0012180265707991;0;0,00365407971239731;0;0;0,0012180265707991;0;0;0;0;0,0012180265707991;0;0,0012180265707991;0;0;0;0;0,00243605314159821;0,0012180265707991;0;0,0012180265707991;0,0170523742518452;0,00365407971239731;0;0,0012180265707991;0;0;0;0;0,00730816168545237;0,0828258226389433;0;0;0,0109622413978497;0,0012180265707991;0;0;0;0;0;0;0;0;0;0,0012180265707991;0;0;0;0;0,0121802679686488;0;0;0;0;0,0803897694973451;0,0012180265707991;0;0;0,00243605314159821;0;0;0,224116931979532;0,00365407971239731;0,00243605314159821;0,00974421482705058;0;0,00609013511465327;0,00365407971239731;0,0267965890788958;0
"5";56;0;0;0,0167173252663963;0;0;0;0,0136778118114947;0,00151975799188846;0;0;0,0136778118114947;0,136778113057196;0;0,0227963521761994;0,224924010835968;0,0410334354344842;0;0;0;0;0,00303951345490156;0,00303951345490156;0;0;0;0;0;0;0,00151975799188846;0;0;0;0;0;0;0;0;0;0;0;0,00759878490169159;0;0;0,00151975799188846;0,0395136774425957;0,00303951345490156;0;0;0;0;0;0;0,00151975799188846;0,0638297876106836;0,00151975799188846;0;0,0197568387212978;0;0,00911854036470469;0;0;0;0;0,00455927144679002;0,00151975799188846;0;0;0;0;0;0;0;0,00759878490169159;0;0;0;0;0,0911854087047976;0;0;0;0,00151975799188846;0;0;0,215805467942388;0;0,00303951345490156;0,00607902690980313;0,00151975799188846;0,0151975672745078;0,00759878490169159;0,0151975672745078;0,00303951345490156
"6";78;0;0,00124999970388125;0,0124999993613125;0;0;0;0,00875000024966875;0,00500000113802501;0;0;0,0137499990651937;0,178750001782519;0;0,015000001091575;0,21000000134705;0,0324999992684125;0;0,00124999970388125;0;0;0;0,00249999940776249;0;0,00124999970388125;0;0,00249999940776249;0;0;0,00249999940776249;0;0;0;0;0;0;0;0;0;0;0;0,00374999911164374;0;0;0;0,0199999999071;0,00374999911164374;0;0;0;0;0;0;0,0075000005457875;0,0775000002206375;0,00124999970388125;0;0,0137499990651937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0137499990651937;0;0;0;0,00249999940776249;0,0875000001741875;0;0;0;0,00249999940776249;0;0;0,205000002531525;0,00124999970388125;0,00875000024966875;0,00500000113802501;0,00124999970388125;0,00999999995355;0,0175000004993375;0,0262500007490063;0,00374999911164374
"7";99;0,00125313280511429;0,00125313280511429;0,0112781952460286;0;0;0;0,00877192963580002;0;0;0;0,0150375936613715;0,155388472616127;0;0,0187969920767143;0,253132833806019;0,0250626561022858;0,00125313280511429;0;0;0;0;0,00877192963580002;0;0;0;0,00125313280511429;0;0;0,00125313280511429;0,00125313280511429;0;0;0;0,00125313280511429;0;0;0;0;0;0,00125313280511429;0,00375939841534287;0;0;0,00125313280511429;0,0313283201278572;0,00626566402557145;0,00125313280511429;0;0;0,00125313280511429;0;0;0,00501253122045716;0,080200501918292;0;0;0,00877192963580002;0,00125313280511429;0;0,00125313280511429;0;0,00125313280511429;0;0,00125313280511429;0;0;0;0;0;0;0;0;0,00501253122045716;0;0;0;0,00250626561022858;0,0726817050876062;0;0;0;0,00501253122045716;0;0;0,209273183236041;0;0,00250626561022858;0,00125313280511429;0;0,00877192963580002;0,0150375936613715;0,0250626561022858;0,00250626561022858
"8";117;0;0,00124069429442795;0,00992555866559736;0;0;0;0,0111662529600253;0,0024813885888559;0;0;0,0124069472544533;0,167493798710553;0;0,0248138966639934;0,223325065665767;0,0272952852528493;0;0;0,00124069429442795;0;0,00124069429442795;0,0024813885888559;0;0;0;0,00124069429442795;0;0;0,0024813885888559;0,00124069429442795;0;0;0,00124069429442795;0;0;0;0;0;0;0;0,0024813885888559;0;0,00124069429442795;0;0,032258064585648;0,00372208503837073;0;0;0;0;0;0;0,00744416792165457;0,0818858579136347;0,00124069429442795;0;0,0285359795472772;0;0,00496277933279868;0;0;0;0;0;0;0;0;0,00124069429442795;0;0;0;0;0,0186104230367668;0;0;0;0;0,0856079407969186;0,00124069429442795;0;0,00124069429442795;0;0,00124069429442795;0;0,176178663081723;0,00124069429442795;0,00124069429442795;0,00744416792165457;0;0,00744416792165457;0,014888337998396;0,0248138966639934;0,0024813885888559
"9";137;0;0;0,013550135089049;0;0;0;0,0176151775175252;0,00406503971167404;0;0;0,00271002647444936;0,100271004005846;0;0,0216802172291993;0,246612466227738;0,0311653126065742;0;0;0;0;0,00271002647444936;0,00948509537737495;0;0;0;0,00135501323722468;0;0;0,00271002647444936;0,00135501323722468;0;0;0;0,00135501323722468;0;0;0;0;0;0;0,00677506890292559;0;0;0;0,013550135089049;0,00271002647444936;0;0;0;0;0;0;0,00677506890292559;0,113821139094895;0;0;0,0162601615634984;0;0,00135501323722468;0;0;0;0;0;0,00135501323722468;0;0;0;0;0;0;0;0,0121951218518243;0;0;0;0,00406503971167404;0,0731707311109459;0,00135501323722468;0;0;0;0;0;0,239837400041614;0,00135501323722468;0,00135501323722468;0,00271002647444936;0,00135501323722468;0,013550135089049;0,0108401086145996;0,0176151775175252;0,00135501323722468
"10";156;0;0;0,00540540548583784;0;0;0;0,0216216219433513;0,00540540548583784;0;0;0,00972972937850811;0,142702700858119;0,00108108159316756;0,00756756867217297;0,250810808094876;0,0270270274291892;0;0,00108108159316756;0;0;0,00108108159316756;0,00216216318633513;0;0;0;0;0,00108108159316756;0;0,00108108159316756;0;0;0;0;0;0;0;0,00324324229950271;0;0;0;0,00216216318633513;0;0,00108108159316756;0;0;0,00216216318633513;0;0,00108108159316756;0;0,00108108159316756;0;0;0,00324324229950271;0,0908108091860757;0;0;0,00972972937850811;0,00108108159316756;0,00108108159316756;0;0;0,00216216318633513;0,00108108159316756;0;0;0;0;0,00108108159316756;0;0;0;0;0,0140540532711784;0;0;0;0,00108108159316756;0,072432432022227;0;0;0;0;0,00216216318633513;0;0,243243241902703;0;0;0,00108108159316756;0;0,0183783771638487;0,0183783771638487;0,0291891881355243;0,00108108159316756
