"";"";"Pinus.canariensis";"Ilex";"Ericaceae";"Morella.faya";"Picconia.Olea.type";"Prunus";"Viburnum";"Juniperus";"Phoenix.canariensis";"Salix.canariensis";"Argyranthemum.type";"Artemisia";"Chamaecytisus.type";"Cistus";"Convolvulus";"Echium";"Euphorbia";"Globularia";"Hypericum";"Jasminum";"Kleinia.type";"Periploca";"Plantago";"Rhamnus";"Rumex";"Sideritis";"Sonchus.type";"Teline.type.cf.";"Aeonium";"Campanula.type";"Carduus.type";"Lotus";"Vicia.Medicago.type";"Papaver.type";"Primula.type";"Reseda.type";"Semele.cf.";"Apiaceae";"Asteraceae.undiff.";"Brassicaceae";"Caryophyllaceae";"Chenopodiaceae";"Rubiaceae";"Urticaceae";"Poaceae";"Poaceae.cerealia.type";"Polycarpaea.type";"Davallia";"Ophioglossum";"Polypodium";"Pterydophyta.undiff."
"1";1393;0,016983016983017;0;0;0,275724275724276;0;0;0,001998001998002;0,023976023976024;0,021978021978022;0,031968031968032;0,016983016983017;0,016983016983017;0;0;0;0;0;0,00999000999000999;0;0;0;0,001998001998002;0,031968031968032;0,004995004995005;0,0849150849150849;0;0,167832167832168;0,001998001998002;0;0;0;0,004995004995005;0;0;0;0;0;0;0,0949050949050949;0,021978021978022;0;0;0;0,00699300699300699;0,158841158841159;0;0;0;0,001998001998002;0;0
"2";1446;0,0223517979329446;0;0;0,0310981539067055;0;0;0;0,0379008748862974;0,00583090398250729;0;0,0505344998483965;0;0;0;0,0155490769533528;0;0;0;0;0;0,1068999026793;0;0,0155490769533528;0;0,00971817297084548;0,0379008748862974;0,0719144797842566;0,0592808548221574;0;0;0;0;0,0126336249620991;0;0,00291545199125364;0;0;0;0,0534499508396502;0;0,00583090398250729;0,0126336249620991;0;0;0,0534499508396502;0,361516033915452;0,00291545199125364;0,00874635597376093;0,0184645289446064;0;0,00291545199125364
"3";1537;0,00397219499205561;0;0,00198609699602781;0,00397219499205561;0;0,00397219499205561;0;0,0129096329741807;0,00198609699602781;0,00198609699602781;0,0268123139463754;0;0,00397219499205561;0,00198609699602781;0,00397219499205561;0;0;0;0;0,00397219499205561;0,091360476817279;0,00198609699602781;0,00198609699602781;0,00397219499205561;0,00794438898411122;0,00595829198808342;0,205561071588878;0,00794438898411122;0;0,12214498475571;0;0,0188679249622642;0,00198609699602781;0;0;0;0,00397219499205561;0,00198609699602781;0,0436941409126117;0,00397219499205561;0,00794438898411122;0;0,00397219499205561;0;0,213505461572989;0,169811320660377;0;0;0,00397219499205561;0,00198609699602781;0,00397219499205561
"4";1570,5;0,00572519102290076;0;0,00286259501145038;0,00286259501145038;0;0;0;0,0209923660839695;0,00572519102290076;0;0,0400763361603053;0;0,00286259501145038;0;0,0104961830419847;0;0,0238549620954198;0;0;0,00572519102290076;0,055343511221374;0;0,00286259501145038;0,00286259501145038;0,00286259501145038;0;0,0209923660839695;0,0104961830419847;0;0;0,0314885501259542;0;0;0,00763358803053435;0;0,00286259501145038;0;0;0,193702290774809;0;0,0162213740648855;0;0,00286259501145038;0,00763358803053435;0,137404580549618;0,339694657358779;0;0;0,0181297710725191;0,0104961830419847;0,0152671760610687
"5";1600;0,00363967201091902;0;0,00363967201091902;0;0;0;0;0,00818926302456779;0,0236578710709736;0,0200181980600546;0,0236578710709736;0;0;0;0,0200181980600546;0;0;0;0;0;0,0509554141528662;0;0;0;0;0;0;0;0,00363967201091902;0;0,0236578710709736;0;0;0;0;0;0;0;0,212010919636033;0,00363967201091902;0,0200181980600546;0;0;0;0,282074613846224;0,212010919636033;0;0,00363967201091902;0,0427661511282985;0,0318471340955414;0,0109190170327571
"6";1629;0,0056444030056444;0;0,0084666040084666;0,0056444030056444;0;0;0;0,0442144870442145;0,0357478830357479;0,0028222010028222;0,0178739420178739;0;0;0;0,0084666040084666;0;0,0028222010028222;0;0;0;0,0837253060837253;0;0,0028222010028222;0;0;0;0,0122295390122295;0,0028222010028222;0;0;0,0028222010028222;0;0;0;0;0;0;0;0,20507996220508;0;0,0056444030056444;0;0;0,0028222010028222;0,29444967129445;0,193791157193791;0;0,0056444030056444;0,028222013028222;0,0197554090197554;0,0084666040084666
"7";1658;0;0,00277520800555042;0,00277520800555042;0,00277520800555042;0;0;0;0,0518038851036078;0,0555041631110083;0,00277520800555042;0,0231267350462535;0;0,00832562401665125;0;0,00832562401665125;0,00277520800555042;0;0;0;0;0,0407030530814061;0;0;0;0;0;0;0;0;0;0,0286771510573543;0;0,00277520800555042;0;0;0;0;0;0,20259019440518;0,00277520800555042;0,0120259020240518;0,00277520800555042;0,00555041601110083;0;0,258094357516189;0,206290472412581;0;0,00832562401665125;0,0342275670684551;0,0212765960425532;0,0129509710259019
"8";1687;0,0080572959919427;0;0,00447627599552372;0,00447627599552372;0;0;0;0,0250671439749329;0,0295434199704566;0;0,104744851895255;0;0,00447627599552372;0;0,0170098479829902;0;0,00447627599552372;0;0;0;0,0205908679794091;0;0;0;0,00447627599552372;0;0,0080572959919427;0;0;0;0;0;0;0;0;0;0;0;0,19247985680752;0;0,0205908679794091;0,00447627599552372;0;0;0,234556848765443;0,20948970479051;0;0;0,0555058189444942;0,0107430619892569;0,0367054609632945
"9";1717;0;0;0,00294117600882353;0,0137254900411765;0;0;0;0,0519607841558824;0,0215686270647059;0,0196078430588235;0,0382352941147059;0;0,0196078430588235;0;0,0245098040735294;0;0;0;0;0;0,0107843140323529;0;0,0107843140323529;0,00294117600882353;0,00294117600882353;0;0,0107843140323529;0;0;0;0,00294117600882353;0;0;0;0;0;0;0;0,292156863876471;0,00294117600882353;0,01666666705;0,0137254900411765;0;0;0,3000000009;0,121568627364706;0;0;0,00588235301764706;0;0,0137254900411765
"10";1746;0,002849003;0;0,002849003;0,024691358;0;0;0,004748338;0,065527066;0,024691358;0,007597341;0,041785375;0,002849003;0,007597341;0;0,004748338;0;0;0,021842355;0;0;0,029439696;0;0,01994302;0;0;0;0,014245014;0;0;0;0,012345679;0;0,002849003;0;0;0;0;0;0,26305793;0,012345679;0,012345679;0;0,004748338;0;0,301994302;0,068376068;0;0;0,037037037;0;0,009496676
