"";"";"Amaranthaceae";"Anthoceros";"Apium.prostratum";"Aspleniaceae";"Asteroideae.undiff.";"Callitriche";"Calystegia";"Carex";"Coprosma";"Cordyline";"Coriaria";"Cyathea";"Dacrydium.cupressinum";"Dodonaea";"Eleocharis";"Euphorbia";"Geranium.retrorsum.group";"Juncus";"Pinus";"Poaceae..smaller.50.";"Poaceae..larger.50.";"Pteridium.esculentum";"Sonchus.cf..S..kirkii";"Trifolium";"Ulex.europaeus";"Brassicaceae";"Fuscospora";"Lycopodium.scariosum";"Myriophyllum";"Ophioglossum";"Pteris.tremula";"Rumex";"Selaginella.kraussiana";"Spermatophyta.undiff.";"Typha.orientalis";"Bryosporis.problematicus";"cf..Hydrocotyle";"Dacrycarpus.dacrydioides";"Haloragis";"Histiopteris.incisa";"Microsorum";"Paesia";"Prumnopitys.ferruginea";"Psilotum";"Ranunculus";"Schizaea";"Veronica";"Fabaceae.undiff.";"Leptospermum";"Metrosideros";"Podocarpaceae.undiff.";"Sigesbeckia.orientalis";"Urticaceae";"Phyllocladus";"Rhopalostylis.sapida";"Blechnaceae";"Hymenophyllaceae";"Polygonum";"Pseudopanax.arboreus";"Phormium";"Pellaea";"Solanum";"Oxalis";"Ascarina.lucida";"Muehlenbeckia";"Hypolepis";"Cyperus";"Colocasia";"Melicytus";"Nestegis";"Pittosporum";"Freycinetia";"Prumnopitys.taxifolia";"Pyrrosia";"Sophora";"Thelypteridaceae";"Agathis.australis";"Dicksonia";"Knightia";"Laurelia";"Libocedrus";"Liliaceae";"Piper";"Vitex.lucens";"Elaeocarpus";"Melicope";"Myrsine";"Geniostoma";"Olearia.colensoi";"Phlegmariurus.varius";"Weinmannia";"Aristotelia";"Myoporum";"Astelia";"Neomyrtus.type";"Parsonsia";"Syzygium";"cf..Quintinia"
"1";-58;0,00257731999226804;0,0231958759304124;0,00257731999226804;0,00257731999226804;0,00773195897680412;0,0283505149149485;0,00257731999226804;0,0515463918453608;0,00257731999226804;0,00257731999226804;0,00773195897680412;0,0180412369458763;0,00257731999226804;0,00257731999226804;0,00515463898453608;0,00257731999226804;0,00515463898453608;0,00773195897680412;0,141752576574742;0,386597936840206;0,206185566381443;0,0567010308298969;0,0231958759304124;0,00257731999226804;0,00515463898453608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-25;0;0,0163043480163043;0;0;0,00815217400815217;0,0298913040298913;0;0,263586957263587;0;0;0;0,00815217400815217;0;0;0,0543478260543478;0;0;0;0,0788043480788043;0,415760870415761;0,0108695650108696;0,0407608700407609;0,0217391300217391;0,00271739100271739;0;0,00815217400815217;0,00271739100271739;0,00271739100271739;0,00271739100271739;0,00271739100271739;0,00271739100271739;0,00815217400815217;0,00543478300543478;0,0108695650108696;0,00271739100271739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";7;0;0,104615385418462;0,0123076920492308;0,00923076903692308;0,0246153850984615;0,00307692301230769;0,00923076903692308;0,0676923082707692;0;0;0,0184615380738462;0,0584615382338462;0,0123076920492308;0;0,00923076903692308;0;0,00615384602461538;0;0,0430769231723077;0,224615385898462;0,0123076920492308;0,246153846984615;0,0215384620861538;0,0153846150615385;0;0,00615384602461538;0;0;0;0,0123076920492308;0,0123076920492308;0;0;0;0,00615384602461538;0,00307692301230769;0,00307692301230769;0,00307692301230769;0,0153846150615385;0,00307692301230769;0,00615384602461538;0,00307692301230769;0,00615384602461538;0,00307692301230769;0,00307692301230769;0,00615384602461538;0,00923076903692308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";44;0;0,0849673198300654;0;0;0;0,00326797399346405;0;0,179738561640523;0;0;0,00980392198039216;0,065359476869281;0,0130718949738562;0,00326797399346405;0,0065359479869281;0;0,00326797399346405;0;0;0,062091502875817;0;0,434640522130719;0,0196078429607843;0;0;0,00326797399346405;0;0;0;0;0,00326797399346405;0;0;0;0,0065359479869281;0,00326797399346405;0;0;0,0196078429607843;0;0;0;0,00980392198039216;0;0;0;0,00326797399346405;0,0326797389346405;0,00326797399346405;0,00326797399346405;0,00326797399346405;0,0130718949738562;0,00980392198039216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";80;0;0,0994152047017544;0;0;0;0;0;0,00584795298245614;0;0;0;0,0263157889210526;0,00584795298245614;0;0;0;0;0;0;0,149122806552632;0;0,59064327322807;0,0204678359385965;0;0;0,00292397699122807;0,00584795298245614;0,00292397699122807;0;0;0,00292397699122807;0;0;0;0;0;0;0;0,0175438599473684;0;0,00584795298245614;0,00292397699122807;0;0;0;0,00292397699122807;0,00292397699122807;0;0,00292397699122807;0,00292397699122807;0,0175438599473684;0,0204678359385965;0;0,00292397699122807;0,00877192997368421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";116;0;0,151408450545775;0;0;0,00352112698943662;0,00352112698943662;0;0,00704225397887324;0;0,00704225397887324;0,028169013915493;0,0387323938838028;0;0,00352112698943662;0,0105633799683099;0;0;0;0;0,151408450545775;0;0,47887323756338;0,0140845069577465;0;0;0;0;0;0;0;0,0140845069577465;0;0;0;0;0;0;0;0,0246478869260563;0;0;0,00352112698943662;0;0;0;0;0;0,00704225397887324;0;0;0,0211267609366197;0,0105633799683099;0,00352112698943662;0;0,00352112698943662;0,00352112698943662;0,00352112698943662;0,00352112698943662;0,00352112698943662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";153;0;0,104166667416667;0;0;0;0;0;0,06250000025;0;0,00892857103571428;0,0178571430714286;0,0476190481904762;0,00297619001190476;0;0;0;0,00297619001190476;0;0;0,178571429714286;0;0,467261906869048;0,0238095240952381;0;0;0;0,00595238102380952;0;0;0,00297619001190476;0,00297619001190476;0;0;0;0,00595238102380952;0;0;0;0,00595238102380952;0;0;0,00595238102380952;0,00297619001190476;0;0,00297619001190476;0;0;0;0,00297619001190476;0,00892857103571428;0,00297619001190476;0,0178571430714286;0;0,00297619001190476;0,00595238102380952;0;0;0,00297619001190476;0;0,00297619001190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";190;0;0,0632183911264368;0;0;0,00574712601149425;0;0;0,0660919541321839;0;0;0,0114942530229885;0,0804597701609195;0,0172413790344828;0;0,00287356300574713;0;0;0;0;0,0287356320574713;0;0,649425288298851;0,0172413790344828;0;0;0,00862069001724138;0;0;0;0;0,0201149430402299;0;0;0;0,00574712601149425;0;0;0;0,0143678160287356;0;0;0;0;0;0;0;0;0;0,00287356300574713;0;0;0;0;0;0;0;0;0,00287356300574713;0;0,00287356300574713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";226;0;0,0946372242839117;0;0,00315457400946372;0;0;0;0,0788643532365931;0,00315457400946372;0,00315457400946372;0,00315457400946372;0,0410094641230284;0,0220820190662461;0;0;0;0;0;0;0,0536277601608833;0;0,523659307570978;0,0347003151041009;0;0;0,00630914801892744;0;0;0;0;0,00630914801892744;0;0;0;0,00630914801892744;0;0,00315457400946372;0;0,0410094641230284;0,00315457400946372;0,0126182970378549;0,00630914801892744;0;0;0;0,00315457400946372;0,00315457400946372;0;0;0,00315457400946372;0;0,0252365930757098;0,00315457400946372;0;0,00630914801892744;0;0;0,00630914801892744;0;0;0,00315457400946372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";261;0;0,094890511189781;0;0;0,00364963500729927;0;0;0,109489051218978;0;0;0,0109489050218978;0,0912408761824818;0,0218978100437956;0;0,00729927001459854;0;0;0;0;0,00364963500729927;0;0,536496351072993;0,0328467150656934;0;0;0,0182481750364963;0;0;0;0;0,0145985400291971;0;0;0;0,0109489050218978;0;0;0;0,00729927001459854;0;0;0,00364963500729927;0;0;0;0;0;0;0,00729927001459854;0,00729927001459854;0;0,0145985400291971;0,00364963500729927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
