"";"";"Alnus";"Amaranthaceae";"Araliaceae.cf..Didymopanax";"Asteroideae";"cf..Malpighiaceae";"cf..Solanaceae";"Cunoniaceae.cf..Weinmannia";"Dennstaedtiaceae..Hypolepis.type";"Dennstaedtiaceae..Pteridium.type";"Dicranopteris";"Dryopteris.undiff.";"Elaeocarpaceae.cf..Sloanea";"Garrya";"Ilex";"Lamiaceae";"Lophosoria";"Lycopodiella.cernua";"Myrica";"Myrsine";"Pilea";"Pinus";"Poaceae";"Polypodiaceae..Lepisorus.type";"Rubiaceae..Mitracarpus.type";"Rubiaceae..Tocoyena.type";"Sapindaceae..Dodonaea.type";"Urera";"Urticaceae.undiff.";"Cichorioideae";"Cyperaceae";"Pteridaceae..Pityrogramma.type";"Piper";"Hymenophyllaceae";"Loranthaceae";"Melastomataceae";"Polypodiaceae..Polypodium.pellucidum.type";"Unknown..trilete.6.";"Ericaceae";"Lycopodiaceae.cf..Huperzia";"Araliaceae.cf..Oreopanax";"Ophioglossaceae";"Pteridaceae..Pteris.type"
"1";-51;0,000675447003377235;0,000675447003377235;0,00270179001350895;0,00270179001350895;0,000675447003377235;0,00135089500675447;0,0054035800270179;0,0222897671114488;0,0330969271654846;0,0182370820911854;0,00337723701688619;0,00135089500675447;0,0675447483377237;0,28841607744208;0,000675447003377235;0,222897671114488;0,00202634201013171;0,00337723701688619;0,025667004128335;0,00202634201013171;0,190138467950692;0,0661938533309693;0,0270178991350895;0,000675447003377235;0,00270179001350895;0,00202634201013171;0,00405268502026342;0,00202634201013171;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-34;0;0,00227014799772985;0;0,00908058999091941;0;0,0045402949954597;0,0113507379886493;0,0408626559591373;0,0499432459500567;0,0204313279795687;0,00908058999091941;0;0,045402950954597;0,227014755772985;0;0,195232689804767;0,00227014799772985;0,0045402949954597;0,015891032984109;0,0045402949954597;0,255391599744608;0,077185016922815;0,015891032984109;0,00227014799772985;0;0;0;0;0,00227014799772985;0,00227014799772985;0,00227014799772985;0;0;0;0;0;0;0;0;0;0;0
"3";-2;0;0,00320769801924619;0;0,0192461911154771;0;0;0;0,016038492096231;0,0368885322213312;0,016038492096231;0;0,00160384900962309;0,0144346430866079;0,0208500401251002;0;0,45068163870409;0,00160384900962309;0,00320769801924619;0,0224538891347233;0;0,295910185775461;0,0705693664234162;0,00962309505773857;0;0,00160384900962309;0,00160384900962309;0;0,00320769801924619;0;0,00801924604811548;0;0,00320769801924619;0;0;0;0;0;0;0;0;0;0
"4";28;0;0;0,00244100900244101;0,00488201800488202;0;0;0,00244100900244101;0,129373474129373;0,154597234154597;0,0219690810219691;0,00244100900244101;0;0,00650935700650936;0,00406834800406835;0;0,419853539419854;0;0,00081367000081367;0,00162733900162734;0,00162733900162734;0,213181448213181;0,0162733930162734;0,00650935700650936;0;0;0;0;0;0;0,00162733900162734;0,00081367000081367;0,00081367000081367;0,00162733900162734;0,00650935700650936;0;0;0;0;0;0;0;0
"5";56,5;0;0;0;0,00195694699804305;0;0;0;0,0127201569872798;0,445205478554794;0;0,000978473999021526;0;0,0146771039853229;0,00391389399608611;0;0,216242660783757;0,000978473999021526;0,000978473999021526;0;0,000978473999021526;0,237769079762231;0,0225048919774951;0,0127201569872798;0;0;0;0;0;0;0;0,000978473999021526;0,00587084099412916;0,00195694699804305;0,0136986299863014;0,000978473999021526;0,00195694699804305;0,00293542099706458;0;0;0;0;0
"6";84;0;0;0;0,00409207199590793;0;0;0,00102301799897698;0,0153452689846547;0,468542198531458;0;0;0;0,00818414299181586;0,00511508999488491;0;0,188235293811765;0;0,00306905399693095;0,00306905399693095;0;0,226598464773402;0,0317135549682864;0,0112531969887468;0,00102301799897698;0;0;0;0;0;0;0;0,00818414299181586;0;0,0194373399805627;0;0,00102301799897698;0,00204603599795396;0,00102301799897698;0,00102301799897698;0;0;0
"7";113;0;0;0;0,00766650699233349;0;0;0;0,0162913269837087;0,436032582563967;0;0;0;0,00958313399041687;0,00479156699520843;0;0,206995687793004;0,000958312999041687;0,000958312999041687;0;0,000958312999041687;0,226641111773359;0,0383325349616675;0,0143747009856253;0;0;0;0;0,000958312999041687;0;0;0;0,0105414469894586;0,00191662699808337;0,015333013984667;0,000958312999041687;0,00191662699808337;0,00287493999712506;0;0;0,00191662699808337;0;0
"8";176,5;0;0;0;0,010787486978425;0;0;0;0,0161812299676375;0,431499460137001;0,0010787489978425;0;0;0,00755124098489752;0;0;0,201725997596548;0;0,00323624599352751;0,00215749699568501;0;0,237324702525351;0,0463861919072276;0,0118662349762675;0,0010787489978425;0;0;0;0;0;0;0;0,00755124098489752;0;0,01725997796548;0,0010787489978425;0;0,00215749699568501;0;0,0010787489978425;0;0;0
"9";280;0;0;0;0,00625838198122485;0;0;0;0,0259275819222173;0,490835939527492;0;0;0;0,0098345999704962;0,00447027298658918;0;0,170764416487707;0;0,000894054997317835;0,00536432698390702;0,000894054997317835;0,190880643427358;0,0509611088471167;0,010728653967814;0;0;0;0;0;0;0;0;0,00447027298658918;0,00178810899463567;0,0214573089356281;0;0;0,00447027298658918;0;0;0;0;0
"10";349,5;0;0;0;0,00393959299606041;0;0;0;0,013131975986868;0,382140511617859;0,0013131979986868;0,0013131979986868;0;0,0170715689829284;0,0013131979986868;0;0,161523308838477;0;0,00393959299606041;0,00656598799343401;0;0,275114904724885;0,0682862769317137;0,026263952973736;0,0026263949973736;0;0,0013131979986868;0;0;0;0;0;0,00919238299080762;0,0013131979986868;0,0170715689829284;0,0013131979986868;0;0,00393959299606041;0;0;0;0,0013131979986868;0
