"";"";"Ericaceae";"Morella.faya";"Lauraceae";"Prunus.cf..P..lusitanica";"Picconia.cf..P..excelsa";"Ilex";"Sambucus.cf..S..palmensis";"Visnea.cf..V..mocanera";"Salix.canariensis";"Juniperus";"Pistacia";"Phoenix.canariensis";"Pinus.canariensis";"Cistus";"Echium";"Convolvulus";"Urticaceae";"Hypericum";"Asteraceae.undiff";"Argyranthemum.type";"Euphorbiaceae";"Artemisia";"Rumex";"Poaceae";"Stachys.cf";"Ixanthus";"Lamiaceae";"Liliaceae";"Chenopodiaceae";"Reseda.type";"Galium.type";"Geranium.type";"Viola";"Allium.type";"Scrophulariaceae";"Aeonium.type";"Quercus";"Ranunculus";"Pterydophyta.undiff.";"Equisetum";"Davallia";"Polypodium";"Ophioglossum";"Spore.trilete";"Typha.type"
"1";-7;0,233009708300971;0,349514561951456;0,00970873797087379;0,0194174759417476;0;0;0;0;0,00970873797087379;0,0291262139126214;0;0,0291262139126214;0;0,00970873797087379;0;0;0,00970873797087379;0;0,0194174759417476;0;0;0;0,00970873797087379;0,20388349438835;0,00970873797087379;0;0;0;0;0;0;0;0;0,00970873797087379;0;0;0;0;0,0194174759417476;0,00970873797087379;0;0;0,0194174759417476;0;0
"2";98;0,330357143;0,294642857;0;0;0;0,008928571;0;0;0;0,008928571;0;0,017857143;0,035714286;0,017857143;0;0;0;0;0,035714286;0;0;0;0;0,116071429;0;0;0;0;0;0;0;0,017857143;0;0;0;0;0;0,017857143;0;0;0;0,008928571;0,071428571;0,017857143;0
"3";198;0,252336449252336;0,308411215308411;0;0;0,0280373830280374;0;0;0;0;0,0186915890186916;0;0,046728972046729;0,0280373830280374;0,0280373830280374;0;0;0;0;0,0280373830280374;0;0;0;0;0,158878505158878;0;0;0;0;0;0;0;0,00934579400934579;0,00934579400934579;0;0;0;0;0,0186915890186916;0;0;0,00934579400934579;0,00934579400934579;0,0373831780373832;0,00934579400934579;0
"4";301;0,321428571964286;0,25000000075;0;0,00892857102678571;0;0;0;0;0,00892857102678571;0,0267857140803571;0;0,00892857102678571;0,00892857102678571;0,0535714291607143;0;0;0;0;0,0267857140803571;0;0;0;0;0,160714286482143;0;0;0;0;0,00892857102678571;0;0;0,00892857102678571;0;0;0;0;0;0,0357142861071429;0;0;0,0267857140803571;0;0,0446428571339286;0;0
"5";402;0,458715596458716;0,220183486220183;0;0;0;0;0;0;0;0;0;0,0733944950733945;0,0183486240183486;0,0458715600458716;0;0;0;0;0,00917431200917431;0;0;0;0;0,0825688070825688;0;0;0;0;0;0;0;0,0183486240183486;0;0;0;0;0;0;0;0;0;0;0,0642201830642202;0,00917431200917431;0
"6";505;0,407407408222222;0,203703704611111;0;0;0,00925925902777778;0;0;0;0,00925925902777778;0,00925925902777778;0;0,120370370361111;0,00925925902777778;0,0277777780833333;0;0;0;0;0,0370370371111111;0;0;0;0;0,08333333325;0;0;0;0;0;0;0;0,00925925902777778;0,00925925902777778;0;0;0;0;0;0;0;0,00925925902777778;0;0,0462962961388889;0,00925925902777778;0
"7";550;0,4;0,190909091;0;0;0,009090909;0;0;0;0,009090909;0,009090909;0;0,090909091;0,009090909;0,036363636;0;0;0;0;0,054545455;0;0;0;0;0,054545455;0;0;0;0;0;0;0,009090909;0,027272727;0;0;0;0;0;0,018181818;0;0;0;0,009090909;0,054545455;0,009090909;0,009090909
"8";593;0,436893203126214;0,233009708533981;0;0;0,00970873798058253;0;0;0;0,00970873798058253;0;0;0,0582524268834952;0;0,0194174759611651;0;0;0;0;0,0582524268834952;0;0;0;0;0,106796116786408;0;0;0;0;0;0;0,00970873798058253;0,00970873798058253;0;0;0;0;0;0,00970873798058253;0;0;0,00970873798058253;0;0,00970873798058253;0,0194174759611651;0
"9";637;0,272727273545455;0,236363636472727;0;0;0,0181818180363636;0;0;0;0,00909090901818182;0;0;0,109090909218182;0;0,0454545450909091;0;0;0;0;0,1000000002;0;0;0;0;0,1000000002;0;0;0;0;0;0;0;0,0181818180363636;0;0;0;0;0;0,00909090901818182;0;0;0,0272727270545455;0;0,0363636360727273;0,0181818180363636;0
"10";681;0,299145298102564;0,256410255230769;0;0;0,00854700897435897;0;0;0;0;0,00854700897435897;0;0,0256410259230769;0;0,0769230767692308;0;0;0;0;0,0256410259230769;0;0;0;0;0,136752136589744;0;0;0;0;0;0;0;0,00854700897435897;0;0;0;0;0;0,00854700897435897;0;0;0,0256410259230769;0;0,0683760677948718;0,0427350428717949;0,00854700897435897
"11";723;0,318965517;0,163793103;0;0;0;0;0;0;0;0;0;0,068965517;0,00862069;0,086206897;0;0;0;0;0,00862069;0;0;0;0;0,163793103;0;0;0;0;0;0;0,00862069;0,017241379;0;0;0;0;0;0,017241379;0;0;0,017241379;0,00862069;0,086206897;0,00862069;0,017241379
"12";766;0,379310344241379;0,137931033724138;0;0,00862068998275862;0,0431034479137931;0;0;0;0;0,00862068998275862;0;0,0258620689482759;0,00862068998275862;0,103448275793103;0;0;0;0;0,0258620689482759;0;0;0;0;0,103448275793103;0;0;0;0;0;0;0,00862068998275862;0,00862068998275862;0;0;0;0;0;0,00862068998275862;0;0;0,00862068998275862;0,00862068998275862;0,0948275858103448;0,0172413789655172;0
"13";806;0,345864661654135;0,142857142857143;0;0,0075187969924812;0,0225563909774436;0;0;0;0;0;0;0,0451127819548872;0,0225563909774436;0,0601503759398496;0;0;0;0;0,0075187969924812;0;0;0;0;0,0676691729323308;0;0;0;0;0;0;0;0,0150375939849624;0;0;0;0;0;0,037593984962406;0;0;0,0150375939849624;0,0225563909774436;0,180451127819549;0,0075187969924812;0
"14";860;0,336134454672269;0,159663866319328;0,00840336101680672;0;0,0504201681008403;0,00840336101680672;0;0;0,00840336101680672;0,00840336101680672;0;0,0420168070840336;0;0,0840336131680672;0;0;0;0,00840336101680672;0,0168067230336134;0;0;0;0;0,0840336131680672;0;0;0;0;0;0;0;0,00840336101680672;0;0;0;0;0;0,0168067230336134;0;0;0,0168067230336134;0,00840336101680672;0,126050420252101;0,00840336101680672;0
"15";1324;0,312;0,144;0;0;0,064;0;0;0;0,008;0,016;0;0,032;0,008;0,08;0;0;0;0;0,008;0;0;0;0;0,112;0;0;0;0;0;0;0;0;0;0,008;0,008;0;0;0;0;0;0;0,008;0,16;0,032;0
"16";1785;0,285714286;0,126984127;0;0;0,063492063;0;0;0;0,007936508;0;0;0,007936508;0,007936508;0,095238095;0,007936508;0;0;0;0;0;0;0;0;0,119047619;0;0,007936508;0,007936508;0;0;0;0;0,015873016;0;0,007936508;0,007936508;0;0;0,007936508;0;0;0;0;0,198412698;0,007936508;0,015873016
