"";"";"Amaranthaceae";"Asteraceae";"Batis";"Broussasia..flat.lobed.";"Cheirodendron";"Cibotium";"Cyperaceae";"Lycium";"Myrtaceae";"Nestegis";"Pandanus";"Poaceae";"Polyscias";"Prosopis";"Pteris";"Sida";"Taraxacum";"Urticaceae";"Coprosma";"Kadua";"Lycopodiella.cernua";"Myrsine";"Polypodium.pellucidum";"cf..Nothocestrum";"Cyrtandra";"Dodonaea";"Ilex";"Leptecophylla";"Broussasia..round.lobed.";"Chamaesyce";"Diospyros";"Hedyotis";"Isodendrion";"Solanum";"Xylosma";"Artemisia";"Gouania";"Euphorbia.type";"Lepidium";"Platydesma";"Aleurites";"Bobea";"Claoxylon";"Cyanea";"Melicope";"Colubrina";"Gleichenia";"Boerhavia";"Gunnera";"Phyllanthus";"Sesbania";"Waltheria";"Labordia";"Morinda";"Pritchardia";"Santalaceae";"Erythrina";"Acacia";"Rubus";"Tribulus";"Canthium";"Freycinetia";"Rubiaceae";"Lycopodium.venustulum"
"1";-1;0,36746987963253;0,0421686749578313;0,0301204819698795;0,0240963859759036;0,0060240959939759;0,307228915692771;0,0361445779638554;0,0120481929879518;0,0060240959939759;0,0060240959939759;0,0060240959939759;0,0060240959939759;0,0240963859759036;0,0240963859759036;0,0301204819698795;0,0240963859759036;0,0120481929879518;0,0361445779638554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";127;0,473684211947368;0;0;0;0,105263158210526;0,184210526368421;0;0;0;0;0;0,0263157890526316;0;0;0,0526315791052632;0;0;0;0,0263157890526316;0,0263157890526316;0,0263157890526316;0,0263157890526316;0,0526315791052632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";255;0,147540984;0,008196721;0;0;0,06557377;0,172131148;0;0;0,016393443;0;0,06557377;0,024590164;0;0;0,040983607;0,008196721;0,024590164;0;0,008196721;0;0,008196721;0,245901639;0,040983607;0,024590164;0,049180328;0,016393443;0,024590164;0,008196721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";340;0,294573642705426;0,0155038759844961;0;0;0,0697674419302326;0,100775193899225;0;0;0,0310077519689922;0;0,0155038759844961;0,0465116279534884;0;0;0,0310077519689922;0;0;0;0,0387596899612403;0;0,0155038759844961;0,170542635829457;0,0155038759844961;0;0,0155038759844961;0;0,00775193799224806;0,00775193799224806;0,0310077519689922;0,0155038759844961;0,0232558139767442;0,00775193799224806;0,0232558139767442;0,00775193799224806;0,0155038759844961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";424;0,052173913;0,034782609;0;0;0,026086957;0,260869565;0;0;0;0,017391304;0,052173913;0,052173913;0;0;0,086956522;0;0,008695652;0;0;0;0;0,086956522;0;0;0,052173913;0,017391304;0,017391304;0,034782609;0;0;0;0,060869565;0;0;0,034782609;0,052173913;0,052173913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";487;0,15151515169697;0,143939393712121;0;0;0,0303030299393939;0,00757575798484848;0;0;0,136363635727273;0;0,0227272729545455;0,0681818178636364;0;0;0;0;0;0;0,0227272729545455;0,00757575798484848;0;0,257575757484849;0;0;0,0227272729545455;0;0,00757575798484848;0;0,0833333328333333;0;0;0;0;0;0;0;0;0,0303030299393939;0,00757575798484848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";551;0,0769230771538462;0,0692307691384615;0;0,00769230801538462;0,0384615380769231;0,276923077553846;0;0,0230769230461538;0,0153846150307692;0;0,0153846150307692;0,0230769230461538;0;0;0;0,0230769230461538;0;0,0230769230461538;0;0,00769230801538462;0,0153846150307692;0,176923077353846;0,0230769230461538;0;0,0615384621230769;0,0153846150307692;0,0230769230461538;0;0,0230769230461538;0;0;0,0153846150307692;0;0;0;0,0230769230461538;0,00769230801538462;0;0;0,0153846150307692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";572;0,007692308;0,053846154;0;0,023076923;0,038461538;0,169230769;0;0;0,007692308;0,007692308;0,015384615;0,030769231;0,023076923;0;0,023076923;0,007692308;0;0,023076923;0,007692308;0;0;0,307692308;0,015384615;0;0,030769231;0;0,007692308;0;0,030769231;0;0;0,015384615;0,015384615;0;0,069230769;0;0;0,007692308;0;0;0,007692308;0,015384615;0,015384615;0,007692308;0,015384615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";613;0,0979020979020979;0,104895104895105;0;0;0,00699300699300699;0,237762237762238;0;0;0,013986013986014;0;0,0699300699300699;0,0559440559440559;0;0;0;0;0,0699300699300699;0;0;0,00699300699300699;0;0,0559440559440559;0;0;0,118881118881119;0,00699300699300699;0;0;0;0;0;0;0,034965034965035;0;0,013986013986014;0;0;0,020979020979021;0;0;0;0;0;0;0,027972027972028;0,013986013986014;0,041958041958042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";655,5;0,128378377743243;0,0878378378243243;0;0;0,013513513972973;0,128378377743243;0;0;0,00675675698648649;0;0;0,00675675698648649;0;0;0,0202702699594595;0;0;0;0;0;0,00675675698648649;0,277027026445946;0;0;0,0810810808378378;0,0202702699594595;0,013513513972973;0;0,0337837839324324;0;0;0;0;0;0,013513513972973;0,00675675698648649;0;0,0202702699594595;0;0;0;0;0;0;0;0;0,11486486477027;0,013513513972973;0,00675675698648649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";677;0,09929078;0;0;0;0,021276596;0,092198582;0;0,014184397;0,014184397;0;0,014184397;0,035460993;0;0;0;0,014184397;0;0;0;0;0;0,226950355;0,042553191;0;0;0;0,014184397;0;0,035460993;0,04964539;0;0;0;0;0,056737589;0,014184397;0,014184397;0,014184397;0;0,014184397;0;0;0;0;0,014184397;0;0,056737589;0;0,04964539;0,014184397;0,056737589;0,021276596;0;0;0;0;0;0;0;0;0;0;0;0
"12";697;0,0473372779053255;0,017751478964497;0;0,00591715998816568;0,0532544378934911;0,171597632656805;0;0,00591715998816568;0,00591715998816568;0;0;0,00591715998816568;0;0;0,0236686389526627;0,0118343199763314;0,00591715998816568;0;0,00591715998816568;0;0,0118343199763314;0,278106508443787;0,0236686389526627;0,0887573958224852;0,0118343199763314;0;0,0118343199763314;0,017751478964497;0,0414201179171598;0;0;0;0;0;0,00591715998816568;0;0;0,017751478964497;0;0;0;0;0;0;0;0,00591715998816568;0,0887573958224852;0;0;0;0;0;0,00591715998816568;0,00591715998816568;0,017751478964497;0,00591715998816568;0;0;0;0;0;0;0;0
"13";720;0,049079755;0,018404908;0;0;0,067484663;0,128834356;0;0,030674847;0,006134969;0;0,036809816;0,024539877;0;0;0,061349693;0;0,036809816;0;0;0;0,012269939;0,251533742;0,006134969;0;0,018404908;0,012269939;0;0;0,036809816;0;0;0;0;0;0;0,036809816;0;0,006134969;0;0;0;0;0;0;0,012269939;0,006134969;0,128834356;0;0,006134969;0;0;0;0;0;0;0,006134969;0;0;0;0;0;0;0;0
"14";769;0,0341463409317073;0,0146341459707317;0;0,048780487902439;0,0585365848829268;0,229268292541463;0;0,0048780489902439;0,0097560979804878;0;0,0048780489902439;0,0097560979804878;0;0;0,0048780489902439;0;0,0048780489902439;0;0;0,0146341459707317;0;0,273170731453659;0,0146341459707317;0;0,11219512177561;0,0048780489902439;0,0146341459707317;0;0;0,0048780489902439;0;0,0048780489902439;0;0;0;0,0097560979804878;0;0,0341463409317073;0;0;0;0;0;0;0;0;0,0682926828634146;0;0,0048780489902439;0,0048780489902439;0;0;0;0;0,0097560979804878;0;0;0;0;0;0;0;0;0
