"";"";"Asteraceae.lig.";"Asteraceae.tub.";"Dodonaea.T.mau.167";"Dodonaea.T.mau.128";"Erica.T.mau.141";"Ericales";"Trochetia.T.mau.146";"Trochetia.T.mau.174";"Poaceae";"Laurembergia.tetranda.type";"Cyperaceae";"Nymphoides.indica.type";"Onagraceae";"Pandanus.T.mau.131";"Pandanus";"Acalypha";"Allophylus.T.mau.90";"Aphloia.theiformis.type";"Araliaceae.type";"Bakerella.type.T.mau.169";"Psiloxylon.mauritiana";"Clematis.mauritiana.type";"Dracaena.type";"Eugenia";"Labourdonnaisia.type.T.mau.98";"Molinaea.T.mau.136";"Myrtaceae.undif.";"Nuxia.verticillata";"Olea.type.T.mau.153";"Pilea.Ficus.undif.";"Polyscias.type..Araliaceae.";"Rorippa.insularis.type";"Sapotaceae";"Syzygium";"Tambourissa.purpurea.type..T.mau.101b.";"Urticaceae.Moraceae.undif.";"Weinmannia";"Securinega.type..T.mau.8.";"Alchornea.type";"Artemisia.afra.type..T.mau.142.";"Cycadaceae.type";"Hydrocotyle.type..T.mau.135.";"Podocarpus.type";"Apiaceae.type";"Solanaceae.type";"Camellia.sinensis.type";"Cordia.type";"Euphorbiaceae.T.mau.112b";"Euphorbiaceae.T.mau.172";"Euphorbiaceae.T.mau.88.";"Fabaceae";"Melastomataceae";"Plantago";"Psidium.cattleianum";"Rubiaceae.type.T.mau.121";"Rubiaceae.type.T.mau.164";"Rubiaceae.type.T.mau.67";"Rubiaceae.type.T.mau.70";"Arecaceae.type.T.mau.127";"Arecaceae.type.T.mau.137";"Arecaceae.type.T.mau.139";"Arecaceae.tetrade.type.T.mau.2";"cf..T.mau.87";"not.Thalictrum.type";"T.mau.100";"T.mau.103";"T.mau.115";"T.mau.116..Proteaceae..";"T.mau.12";"T.mau.129b";"T.mau.130";"T.mau.132b";"T.mau.138..Solanaceae..";"T.mau.140";"T.mau.143..Monimiaceae..";"T.mau.143b";"T.mau.147";"T.mau.148";"T.mau.150";"T.mau.151";"T.mau.151b";"T.mau.152";"T.mau.154";"T.mau.157";"T.mau.158..Oenothera..";"T.mau.162";"T.mau.165";"T.mau.166..Solanaceae..";"T.mau.168";"T.mau.171";"T.mau.175";"T.mau.175a";"T.mau.175b";"T.mau.177";"T.mau.178";"T.mau.179";"T.mau.18";"T.mau.180";"T.mau.181";"T.mau.182";"T.mau.185";"T.mau.188";"T.mau.189";"T.mau.19";"T.mau.190";"T.mau.191";"T.mau.202";"T.mau.20b";"T.mau.213";"T.mau.28";"T.mau.35b";"T.mau.37";"T.mau.43";"T.mau.48";"T.mau.51";"T.mau.52";"T.mau.57";"T.mau.58";"T.mau.59";"T.mau.65";"T.mau.75";"T.mau.84";"T.mau.87";"T.mau.99";"Cyathea";"Lycopodium";"Pteris";"T.mau.124.Trilete.verrucate";"T.mau.125.Trilete..large";"T.mau.145.Trilete.echinate";"T.mau.161.Trilete";"T.mau.170";"T.mau.184.Trilete";"T.mau.34.Trilete.reticulate";"T.mau.53.Trilete.echinate";"T.mau.54a";"T.mau.54b";"T.mau.54c";"T.mau.56.Trilete";"T.mau.64.Trilete.foveolate";"T.mau.93.Trilete"
"1";-56;0,0024937658154147;0,0074812961507329;0;0;0;0;0;0;0,0274314213785393;0;0,104738153883328;0,00124688290770735;0,014962593596977;0,00623441453853676;0,284289275751541;0,00124688290770735;0;0,00872817905844025;0;0;0;0,00124688290770735;0,0610972560001042;0,0074812961507329;0;0;0;0,0174563594123917;0;0;0;0,00124688290770735;0,0174563594123917;0,00124688290770735;0;0,0187032423200991;0,10349127097562;0,0162094765046844;0,00124688290770735;0;0;0;0;0;0;0,00124688290770735;0,00498753163082941;0;0;0;0;0,125935162018842;0,0024937658154147;0;0;0;0;0;0;0;0;0,0099750619661476;0;0,00872817905844025;0;0;0;0;0,0024937658154147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00374064872312206;0;0;0;0;0;0;0,00498753163082941;0;0;0;0;0;0,00374064872312206;0;0,0024937658154147;0,00498753163082941;0,0024937658154147;0,00124688290770735;0,0024937658154147;0,00124688290770735;0,00124688290770735;0,00124688290770735;0;0;0;0;0;0,0885286773786435;0,0074812961507329;0;0;0;0;0;0;0;0,00374064872312206;0,0024937658154147;0,0024937658154147;0,00124688290770735;0;0,00124688290770735;0,00124688290770735;0
"2";103;0;0;0;0;0;0;0;0;0;0;0,0149572644978632;0,0085470084551282;0,00213675241239316;0,0170940169102564;0,499999998805556;0,00427350482478632;0;0;0;0;0;0;0,0641025640106838;0,0106837608675214;0;0;0;0,0192307693226496;0,00213675241239316;0,0918803417884615;0;0;0,00213675241239316;0,00641025604273504;0,00427350482478632;0,0320512814081197;0,042735042275641;0,0149572644978632;0,00427350482478632;0;0;0;0;0;0,00213675241239316;0;0;0;0;0;0;0,0106837608675214;0;0;0;0;0;0;0;0;0;0,0170940169102564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00427350482478632;0;0;0;0,0085470084551282;0;0;0;0;0;0;0;0;0;0;0,079059828508547;0,0085470084551282;0;0;0,0106837608675214;0;0;0;0;0;0;0,00213675241239316;0,0128205132799145;0,00213675241239316;0;0;0
"3";239;0;0,00200000038936;0;0;0;0;0;0;0,00399999952272;0;0,03799999986184;0,00200000038936;0;0,00599999991208;0,41399999895752;0,01600000060288;0,00399999952272;0,00399999952272;0;0;0,00800000030144;0;0,05799999998744;0,01199999982416;0;0;0;0,02399999964832;0;0,08600000041448;0;0,0099999994348;0,00599999991208;0,02200000051496;0,0099999994348;0,02399999964832;0,0299999995604;0,00800000030144;0,00200000038936;0;0;0;0;0;0,00200000038936;0;0;0;0;0;0;0,04399999977392;0;0,00200000038936;0;0;0;0;0;0,00200000038936;0;0,01199999982416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00200000038936;0,00200000038936;0,00200000038936;0,00200000038936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00399999952272;0;0;0;0;0;0;0;0;0;0;0,11200000045216;0,00399999952272;0,00200000038936;0,00399999952272;0,00599999991208;0;0;0;0;0;0;0;0,00599999991208;0,00200000038936;0;0;0
"4";352;0;0;0;0;0;0;0;0;0,0049999996496875;0;0,010000000486875;0,00749999947453125;0;0;0,64000000266;0,00249999982484375;0;0;0;0;0;0,00249999982484375;0,0775000005076562;0,0150000001365625;0;0;0;0,00749999947453125;0;0,0049999996496875;0;0;0,010000000486875;0;0;0,0349999999228125;0,0425000005848438;0,0125000003117188;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0049999996496875;0;0;0;0;0,00249999982484375;0;0;0;0;0,01999999978625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00249999982484375;0;0;0;0;0;0;0;0;0;0;0;0;0,00249999982484375;0;0;0,00249999982484375;0;0;0;0;0;0;0,00249999982484375;0;0;0;0;0,069999999845625;0,0049999996496875;0,0049999996496875;0,00749999947453125;0;0;0;0;0;0;0;0;0,00249999982484375;0;0;0;0
"5";524;0;0;0;0;0;0;0;0;0;0;0,0257425745820998;0;0;0,00198019841035193;0,58811881025076;0,0198019805391628;0;0,00594059404293697;0;0,00198019841035193;0,00198019841035193;0;0,0475247523434957;0,00792079245328889;0;0;0;0,0257425745820998;0,00198019841035193;0,0534653463864327;0;0,00198019841035193;0,00594059404293697;0,00990098967552201;0,00792079245328889;0,0178217821288109;0,0376237626679737;0,00990098967552201;0,00198019841035193;0;0;0;0;0;0;0;0;0;0;0;0;0,00396039563258504;0;0;0;0;0;0;0;0;0;0,0198019805391628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00396039563258504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0712871285152436;0,00990098967552201;0;0;0,00990098967552201;0;0;0;0;0;0;0;0,00594059404293697;0;0;0;0
"6";679;0;0;0;0;0;0;0;0;0;0;0,0218253966532266;0,00396825425675548;0;0,00396825425675548;0,539682540222317;0,00793650851351096;0,00198412654206822;0;0;0;0,00198412654206822;0;0,0555555560767196;0,0158730158544029;0;0,00198412654206822;0;0,0277777774520503;0;0,0773809527299461;0;0;0,0138888893123347;0,0059523807988237;0,0059523807988237;0,0158730158544029;0,0218253966532266;0,00992063505557918;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00396825425675548;0;0;0;0;0;0;0;0;0;0,025793650909982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00198412654206822;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00396825425675548;0;0;0;0,0059523807988237;0;0;0;0;0;0;0;0;0;0;0,0833333335287698;0,0059523807988237;0,00198412654206822;0;0,0158730158544029;0;0;0;0;0;0;0,00198412654206822;0,0158730158544029;0;0;0;0
"7";806;0;0;0;0;0;0;0;0;0;0;0,0198019796741006;0;0;0,0123762379262634;0,648514848185705;0,0198019796741006;0;0,00495049491852514;0;0;0,00495049491852514;0;0,0569306921929897;0;0;0;0;0,00495049491852514;0;0,0420792074374142;0;0;0,00247524808921306;0;0;0,00742574300773821;0,0445544555266273;0,00990098983705029;0;0;0;0;0;0;0;0;0,00247524808921306;0;0;0;0;0,00247524808921306;0;0;0,00247524808921306;0;0;0;0;0;0;0,00990098983705029;0;0,00247524808921306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00247524808921306;0;0;0;0;0;0,00742574300773821;0;0;0;0,00247524808921306;0;0;0;0;0;0;0,00247524808921306;0;0;0;0,0742574250377782;0,00742574300773821;0,00247524808921306;0;0;0;0;0;0;0;0;0;0;0;0;0,00247524808921306;0
"8";954;0;0;0;0;0;0;0;0;0;0;0,0143737161990648;0,00616016391400225;0;0,00821355228506255;0,49897330581447;0,0225872684841273;0;0,0020533883710603;0;0;0,0041067767421206;0;0,0739219717647416;0,0102669406561228;0;0;0;0,0246406568551877;0;0,0841889112216858;0;0;0,00821355228506255;0,0143737161990648;0,00616016391400225;0,0225872684841273;0,0308008219683685;0,0184804929411854;0,0020533883710603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0020533883710603;0;0,0225872684841273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0020533883710603;0;0,0020533883710603;0;0;0;0;0;0;0;0;0;0;0;0,0041067767421206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0862422995927461;0,00821355228506255;0,0020533883710603;0;0,0020533883710603;0;0;0;0;0;0,00616016391400225;0;0,00821355228506255;0,0020533883710603;0;0;0
"9";1108;0;0;0;0,00207039322855342;0;0;0;0;0;0;0,0082815729142137;0;0;0,00414078645710685;0,55900621457899;0,016563147089297;0;0;0;0;0,00207039322855342;0;0,0559006209535512;0,00621117968566027;0;0;0;0,0248447200035107;0,00207039322855342;0,0952380960786749;0;0;0,00207039322855342;0,00414078645710685;0,00207039322855342;0,0310559009500405;0,0248447200035107;0,016563147089297;0;0;0;0,00207039322855342;0;0;0;0;0;0;0;0;0;0,00207039322855342;0;0;0;0;0;0;0;0;0;0,0186335403178504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00207039322855342;0;0;0;0,00414078645710685;0;0;0;0;0;0;0;0,00207039322855342;0;0;0,0828157354464848;0,00207039322855342;0;0;0,016563147089297;0;0;0;0;0;0;0,00207039322855342;0,00621117968566027;0,00207039322855342;0;0;0
"10";1257,5;0;0;0;0;0;0;0;0;0,00707547113933451;0;0,0141509435876313;0;0;0,00235849081609892;0,613207544119682;0,00943396195543343;0,00235849081609892;0;0;0;0;0;0,110849056575989;0,00943396195543343;0,00235849081609892;0;0;0,0212264147269658;0;0,0235849055430647;0;0,00235849081609892;0,0117924527715324;0,00471698163219784;0;0,0283018871752625;0,0235849055430647;0,00235849081609892;0;0;0;0;0;0;0;0;0,00235849081609892;0;0;0;0,00235849081609892;0,00471698163219784;0;0;0;0;0;0;0;0;0;0,00943396195543343;0;0;0,00235849081609892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00235849081609892;0,0589622638576618;0,0117924527715324;0,00471698163219784;0;0;0;0;0;0;0;0;0,00471698163219784;0,00471698163219784;0;0;0;0,00235849081609892
