"";"";"Monoletes";"Triletes";"Poaceae";"Pandanus";"Cyperaceae";"Apocynaceae";"Araliaceae.Type";"Barringtonia.asiatica";"Bauhinia";"Casuarina";"Celtis.pacifica";"Centella.asiatica";"Cocos";"Colocasia.esculenta";"Coprosma";"Cyathula.prostrata";"Euphorbiacea";"Fabaceae.type";"Ficus";"Geniostoma";"Glochidion";"Guettarda.speciosa";"Inocarpus";"Ixora.mooreensis";"Loranthus.sp";"Macaranga";"Magnifera.indica";"Hibiscus";"Sida.acuta";"Other.Malvaceae.Type";"Melastoma.sp";"Melia.azedarach";"Myrtaceae";"Myrsinaceae";"Neonauclea";"Passifloraceae";"Psychotria";"Rhamnaceae.type";"Rubiaceae.Type.1";"Rubiaceae.Type.2";"Rubiaceae.Type.3";"Rubiaceae.Type.4";"Rubiaceae.Other.Types";"Rutaceae.Types";"Sapindaceae.cf.";"Sapotaceae";"Sonneratia";"Terminalia";"Trema.discolor";"Urticaeae";"Weimannia"
"1";451;0,152173913152174;0,304347826304348;0,108695652108696;0,108695652108696;0,152173913152174;0;0;0;0;0,0217391300217391;0;0;0;0;0;0;0;0;0,0434782610434783;0;0;0;0;0;0;0;0;0,0652173910652174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0434782610434783;0;0;0
"2";473;0,142857142857143;0,296703296703297;0,021978021978022;0,032967032967033;0,274725274725275;0,010989010989011;0;0;0;0,054945054945055;0;0;0,054945054945055;0;0;0;0;0;0,043956043956044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0659340659340659;0
"3";490;0,1999999998;0,161904761838095;0,0380952379619048;0,0952380949047619;0,32380952367619;0;0;0;0;0;0;0;0,0952380949047619;0,0380952379619048;0;0;0;0;0,00952380999047619;0;0;0;0;0,00952380999047619;0;0;0;0;0;0;0;0;0;0;0;0;0,0285714289714286;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";508;0,0738255030738255;0,409395973409396;0,033557047033557;0,221476510221476;0,0268456380268456;0;0;0,00671140900671141;0;0,0134228190134228;0;0;0,033557047033557;0;0;0;0;0;0,0939597320939597;0;0;0;0;0;0;0;0,0134228190134228;0,0201342280201342;0;0;0;0;0,00671140900671141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00671140900671141;0;0,0402684560402685;0
"5";541;0,183206106816794;0,221374045778626;0;0,343511449656488;0,137404579862595;0;0;0,00763358799236641;0;0;0;0;0,0534351139465649;0;0;0;0;0;0,0152671759847328;0;0;0;0;0;0;0;0;0,0152671759847328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0152671759847328;0,00763358799236641;0
"6";575;0,188679245188679;0,132075472132075;0,0283018870283019;0,40566037740566;0,122641509122642;0;0;0;0;0;0;0;0,0283018870283019;0;0;0;0;0;0,00943396200943396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0849056600849056;0
"7";603;0,164179104164179;0,216417910216418;0,0447761190447761;0,440298507440299;0,0447761190447761;0;0;0,0149253730149254;0;0,00746268700746269;0;0;0,0298507460298507;0;0;0;0;0;0,0149253730149254;0;0;0;0;0,00746268700746269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00746268700746269;0;0;0;0;0,00746268700746269;0;0
"8";616;0,122641509245283;0,0754716981509434;0,0235849060471698;0,551886794103774;0,0141509430283019;0;0;0;0,00471698100943396;0;0,00471698100943396;0;0;0;0;0;0;0;0,122641509245283;0,00471698100943396;0,0330188680660377;0;0;0;0;0;0,00471698100943396;0,0141509430283019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00471698100943396;0;0,0141509430283019;0,00471698100943396
"9";638;0,117021277;0,063829787;0;0,627659574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,106382979;0;0,074468085;0;0;0;0;0;0;0,010638298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";657;0,0824742270824742;0,123711340123711;0,0412371130412371;0,443298969443299;0;0,0618556700618557;0;0;0;0;0;0;0;0;0;0;0;0;0,154639175154639;0;0,0618556700618557;0;0;0;0;0;0;0,0309278350309278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
