"";"";"Agathis";"Araucaria";"Dacrydium";"Neocallitropsis";"Podocarpus";"OTHER.PODOCARPACEAE";"ACANTHACEAE";"Alyxia.Type";"AMARANTHACEAE";"Antidesma.Type";"APOCYNACEAE";"ARALIACEAE";"Argophyllum.Type";"Ascarina";"ASTERACEAE";"Austrobuxus.buxoides.Type";"Austrobuxus.Other";"Barringtonia";"Beauprea..";"CASUARINACEAE";"Celtis";"Cerberiopsis";"Citronella.Type";"Codia";"Corynocarpus";"CUNONIACEAE.ELAEOCARPACEAE";"Cupaniopsis.Type";"Desmodium.Type..";"DILLENIACEAE";"Dodonaea.Type";"EPACRIDACEAE";"ESCALLIONACEAE";"Euroshinus.Type";"Ficus";"FLACOURTICEAE";"Garcinia";"Geniostoma.Type";"GESNERIACEAE";"Glochidion.Type";"GOODENIACEAE";"Grevillea.Type";"GUTTIFERAE";"Hedycarya.Type";"Hibbertia.Type";"Homalanthus.Type";"Ilex";"Kermadecia.Stenocarpus";"Labiateae.Type";"LORANTHACEAE..";"Macaranga";"MALPIGHIACEAE";"Melaleuca";"Carpolepis.Type";"OTHER.MYRTACEAE";"Melastoma";"Meliaceae";"Meryta";"Myriophyllum";"Nepenthes";"Nothofagus";"Phyllanthus";"PIPERACEAE.Type";"Pittosporum..";"Planchonella.Type";"PROTEACEAE";"Psidium.guava";"Psychotira";"Rauvolfia";"Rhizophora";"RUBIACEAE";"RUTACEAE..";"SAPINDACEAE";"SAPINDACEAE.Sync..Type";"SAPOTACEAE";"Sloanea";"Smilax.";"SOLANACEAE";"Soulamia.Type";"Spathodea.Type";"STERCULICEAE";"Tapeinosperma.Type";"Trema..";"URTICACEAE";"VIOLACEAE.";"Colocasia.Type";"CYPERACEAE";"Flagellaria";"Palmae";"Pandanus.krauelianis.Type";"Other.PANDANACEAE";"POACEAE";"Lycopodium";"Monolete.Psilate.Small";"Monolete.Psilate.Medium";"Monolete.Psilate.Large";"POLYPODIACEAE";"Round.Hairy.Spore";"X340.Type";"Type.A";"Type.B";"Type.C";"Other.Monolete.Ferns";"Pteridium.esculentum";"Cyathaceae";"Trilete.Psilate";"Sphenomeris.Type";"NC.SS.32.Type";"Type.A.1";"Other.Trilete.Ferns";"Type.4";"Type.10";"Type.19";"Type.29";"Type.49";"Type.63";"Type.65";"Type.66";"Type.77";"Type.84";"Type.89";"Type.150";"Type.151";"Type.152";"Type.153";"Type.157";"Type.158";"Type.159";"Type.160";"Type.161";"Type.164";"Type.165";"Type.166";"Type.167";"Type.168";"Type.171"
"1";-42;0;0;0,095238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19047619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,095238095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,047619048;0;0;0;0;0;0;0;0;0;0,333333333;0;0,047619048;0,047619048;0,142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,066666667;0;0;0;0;0;0;0,133333333;0;0;0;0;0;0;0;0;0,066666667;0,4;0;0;0,133333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";14;0,00990099001980198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14851485129703;0;0;0;0;0;0;0;0;0;0;0,00990099001980198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00990099001980198;0;0,00990099001980198;0;0;0;0;0;0;0;0,00990099001980198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,257425743514851;0;0,0297029700594059;0;0;0;0,019801980039604;0,0594059411188119;0,0495049500990099;0,0990099011980198;0;0;0;0;0;0;0;0,168316832336634;0,0297029700594059;0;0,0297029700594059;0,0495049500990099;0;0,00990099001980198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";329,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0011299439898305;0,0011299439898305;0;0;0;0;0,317514121142373;0;0;0;0;0,0011299439898305;0,00451977395932203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0011299439898305;0;0;0;0,00338983096949152;0;0,0384180786542373;0;0,0305084747254237;0;0;0;0;0;0,00677966093898305;0;0;0;0;0,0011299439898305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,125423727871186;0;0,00225988697966102;0,0011299439898305;0;0,0169491528474576;0,0203389828169492;0,00338983096949152;0,0169491528474576;0,0372881356644068;0,0011299439898305;0;0;0;0;0;0,0124293788881356;0,0372881356644068;0,00564971794915254;0,0124293788881356;0,00790960492881355;0,274576268528814;0;0,0169491528474576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0011299439898305;0;0;0
"5";420;0;0;0;0;0;0;0;0;0;0;0,00183486200366972;0;0;0,00183486200366972;0;0;0;0;0;0,179816514359633;0;0;0;0;0;0;0,00183486200366972;0;0;0,00183486200366972;0;0;0;0;0;0;0;0;0;0,00550458701100917;0;0;0,00366972500733945;0,00366972500733945;0;0;0;0;0;0;0;0,033027523066055;0;0,00550458701100917;0;0;0;0;0;0,00366972500733945;0;0;0;0;0;0;0;0;0;0;0,00183486200366972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,405504587811009;0;0,00183486200366972;0;0;0,0366972480733945;0,020183486040367;0,0238532110477064;0;0,0458715600917431;0,00183486200366972;0;0;0;0;0;0,00550458701100917;0,0128440370256881;0,0110091740220183;0,00183486200366972;0,00366972500733945;0,165137615330275;0;0,0183486240366972;0;0;0;0;0;0;0;0;0;0;0,00183486200366972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";461;0;0,00179533200359066;0;0,00179533200359066;0;0;0;0;0;0;0;0;0;0,00179533200359066;0;0;0,00179533200359066;0;0;0,100538600201077;0;0;0;0;0;0,00538599601077199;0;0;0;0;0;0;0;0;0;0;0,00179533200359066;0;0,00179533200359066;0;0;0;0;0;0;0;0;0;0;0;0;0,174147217348294;0;0,021543986043088;0;0;0;0;0;0,00359066400718133;0;0;0;0;0;0,00179533200359066;0,00179533200359066;0;0;0;0,00179533200359066;0;0,00179533200359066;0;0,00179533200359066;0,00538599601077199;0;0;0;0;0;0;0;0;0;0,24236983848474;0;0;0;0;0,0484739680969479;0,0305206460610413;0,02692998205386;0;0,0610412931220826;0;0;0;0,0359066430718133;0;0;0,00718132901436266;0,0143626570287253;0,0125673250251347;0;0,010771993021544;0,16157989232316;0;0,016157989032316;0;0;0;0;0;0;0;0;0;0;0;0;0,00179533200359066;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";499,5;0;0,00467726799064546;0;0;0;0;0;0;0;0;0;0;0;0,00748362998503274;0;0,00280636099438728;0,000935453998129092;0;0;0,0776426568447147;0;0;0;0;0;0;0;0;0;0,000935453998129092;0;0;0;0;0,000935453998129092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0149672589700655;0;0,00280636099438728;0;0,000935453998129092;0;0;0;0,00561272198877456;0,000935453998129092;0;0;0;0;0;0;0;0;0;0;0,000935453998129092;0;0;0;0;0;0;0;0;0;0;0;0;0;0,153414405693171;0;0,0121608979756782;0,000935453998129092;0;0,060804489878391;0,0692235728615529;0,0430308699139383;0,00561272198877456;0,117867165764266;0,00187090699625819;0;0,00467726799064546;0,108512628782975;0,01028999097942;0;0,0112254439775491;0,0533208608933583;0,0159027129681946;0,00561272198877456;0,0617399438765201;0,131898970736202;0;0,00841908298316183;0;0;0;0;0,000935453998129092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000935453998129092;0
"8";540;0;0,002349256;0;0;0;0,000783085;0;0;0;0;0;0;0;0,002349256;0,000783085;0;0;0;0;0,046202036;0;0;0;0;0;0,003132341;0;0;0;0,000783085;0,000783085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000783085;0;0;0,001566171;0;0,040720439;0,000783085;0,014095536;0;0;0,000783085;0;0;0,001566171;0;0;0;0;0,001566171;0;0,000783085;0;0;0;0;0;0;0;0;0;0;0,001566171;0;0;0;0,002349256;0;0;0;0,304620204;0;0,002349256;0;0;0,034455756;0,007830854;0,05403289;0;0,196554424;0;0;0;0,113547377;0,028974158;0;0,006264683;0,062646829;0,004698512;0,006264683;0,025058731;0,018794049;0;0,006264683;0;0;0;0;0;0;0;0;0;0;0;0;0,001566171;0;0,001566171;0;0,000783085;0;0;0;0;0;0;0;0;0
"9";579;0,000763359000763359;0,000763359000763359;0,00229007600229008;0;0;0;0;0;0;0;0;0;0;0;0,000763359000763359;0;0;0;0;0,0335877860335878;0;0;0;0;0;0,00229007600229008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000763359000763359;0;0;0,000763359000763359;0;0;0,000763359000763359;0;0,0267175570267176;0,0129770990129771;0,0160305340160305;0;0;0;0;0;0,000763359000763359;0;0,00229007600229008;0;0,000763359000763359;0;0;0;0;0;0,000763359000763359;0,000763359000763359;0;0;0;0;0;0;0;0;0;0;0,000763359000763359;0;0;0;0,225954198225954;0;0;0,000763359000763359;0;0,0526717560526718;0,0198473280198473;0,010687023010687;0,000763359000763359;0,0366412210366412;0,000763359000763359;0;0,00152671800152672;0,254198473254198;0,0618320610618321;0,132824427132824;0,00229007600229008;0,0465648850465649;0;0,00229007600229008;0,010687023010687;0,0267175570267176;0;0,00458015300458015;0;0;0;0;0,00152671800152672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00229007600229008;0
"10";622;0;0,001042209;0;0;0;0;0;0,000521105;0;0;0,000521105;0;0;0,001563314;0,001042209;0;0;0;0;0,044293903;0;0;0;0;0;0,000521105;0;0;0;0,000521105;0,001042209;0;0;0;0;0;0,000521105;0;0,000521105;0;0;0;0;0,000521105;0;0;0;0;0;0,000521105;0;0,006774362;0,004689943;0,004689943;0;0;0;0,001042209;0;0,002605524;0;0;0;0;0;0;0;0;0;0;0,000521105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,177175612;0;0;0,001042209;0;0,034914018;0,021365294;0,017717561;0,003126628;0,054715998;0,001042209;0,000521105;0;0,341323606;0,079207921;0,080771235;0,001563314;0,052110474;0,004168838;0,002605524;0,0109432;0,034914018;0,000521105;0,005211047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000521105;0;0;0;0;0;0;0;0,001042209;0;0;0
