"";"";"Phylica.arborea";"Empetrum.rubrum";"Cyperaceae";"Poaceae";"Umbelliferae";"Acena.sp.";"Nertera.sp.";"Callitriche.christensenii";"Ranunculaceae";"Asteraceae";"Chenopodiaceae";"Rumex.frutescens";"Indet..Pollen.typ.Y.";"Indet.Tricolpate";"Plantago.maritima.Type";"Nothofagus";"Polypodiaceae";"Hymenophyllum.sp.";"Hypolepis.rugosula";"Lycopodium.insulare";"Vittaria.vittarioides";"Histiopteris.sp."
"1";-32,5;0,120233051;0;0,240995763;0,096398305;0,064088983;0;0;0;0;0;0;0;0;0;0;0;0,469279661;0;0;0,008474576;0,000529661;0
"2";66,5;0,055444222;0;0,529726119;0,004008016;0,076820307;0;0;0;0;0;0;0;0;0;0;0;0,318637275;0,002004008;0,002004008;0,011356045;0;0
"3";140;0,0633333329366667;0;0,0733333329266667;0,241111110758889;0,16999999983;0,00277777799722222;0;0;0,00277777799722222;0;0,00277777799722222;0;0;0;0;0;0,275555555724444;0;0,000555555999444444;0,167777777832222;0;0
"4";245;0,171378092;0,001177856;0,061248528;0,272084806;0,078327444;0,002944641;0,001177856;0;0;0;0;0;0;0;0;0;0,348645465;0;0;0,063015312;0;0
"5";377;0,039171796;0;0,434247342;0,054840515;0,027420257;0;0,00391718;0;0;0;0;0;0;0;0;0;0,439843313;0;0;0,000559597;0;0
"6";575;0,191135734;0;0,16565097;0,127423823;0,04432133;0,012742382;0;0;0,006094183;0;0;0;0;0;0;0;0,450415512;0;0;0,002216066;0;0
"7";639;0,131710017;0;0,135030437;0,194244604;0,07581627;0,013281682;0;0;0;0;0,003320421;0;0;0;0;0;0,441615938;0;0,00166021;0,003320421;0;0
"8";808,5;0,028690974;0;0,05678422;0,032875075;0,471010161;0,004781829;0;0;0;0;0;0;0,004781829;0;0;0;0,168559474;0;0,000597729;0,231918709;0;0
"9";980;0,044456641;0;0,278265642;0,058726674;0,160812294;0,003293085;0;0;0;0;0,003293085;0;0;0;0;0;0,377607025;0;0;0,073545554;0;0
"10";1050,5;0,077228847;0;0,304372516;0,072685974;0,031800114;0;0,009085747;0;0;0;0,004542873;0;0,063600227;0,004542873;0;0;0,425326519;0;0;0,00681431;0;0
"11";1123;0,0320284700320285;0;0,27758007127758;0,0491103200491103;0,335943060335943;0,0113879000113879;0,00284697500284697;0;0;0;0,00284697500284697;0;0;0;0;0;0,284697509284698;0;0;0,00355871900355872;0;0
"12";1217;0,0701030930701031;0;0,242611684242612;0,10378006910378;0,25567010325567;0,0103092780103093;0;0,00137457000137457;0,00137457000137457;0;0;0;0;0,00137457000137457;0;0;0,279725086279725;0,00206185600206186;0;0,0316151200316151;0;0
"13";1231;0,0699029129300971;0;0,264077669735922;0,100970873899029;0,209061488790939;0,002588996997411;0,0012944979987055;0;0;0;0;0;0;0;0;0;0,315857604684142;0;0,000647248999352751;0,0355987059644013;0;0
"14";1414;0,184126984;0;0,163809524;0,174603175;0,074920635;0,011428571;0,001269841;0,019047619;0,002539683;0,001269841;0;0;0;0;0;0;0,365714286;0;0;0,001269841;0;0
"15";1500,5;0,235294117764706;0;0,141711229858289;0,206550801793449;0,0467914439532086;0,00868983999131016;0,0026737969973262;0,00802138999197861;0;0,00200534799799465;0,0026737969973262;0,0100267379899733;0;0,0026737969973262;0;0;0,332219250667781;0;0;0,000668448999331551;0;0
"16";1586;0,0387658230387658;0,000791139000791139;0,540348101540348;0,039556962039557;0,00158227800158228;0,00553797500553797;0;0,157436709157437;0;0;0;0;0;0,00316455700316456;0;0,000791139000791139;0,210443038210443;0;0;0,00158227800158228;0;0
"17";1706;0,00425531899574468;0;0,481702127518298;0,0374468089625532;0,027234042972766;0,00255319099744681;0;0,29617021270383;0;0;0;0;0;0;0;0;0,149787233850213;0;0;0;0,000851063999148936;0
"18";1778;0,011627907;0;0,584973166;0,047406082;0,063506261;0,003577818;0,001788909;0,180679785;0;0;0;0;0;0;0;0;0,104651163;0;0;0,001788909;0;0
"19";1839;0,00788177299211823;0;0,670935960329064;0,0137931029862069;0,269950738730049;0;0;0,0206896549793103;0,000985221999014778;0,000985221999014778;0;0;0;0;0;0;0,0128078819871921;0;0;0,000985221999014778;0,000985221999014778;0
"20";1962,5;0,0298616170597232;0;0,350327749700656;0,0568099051136198;0,189366351378733;0,00436999300873999;0;0,0881281861762564;0;0,00218499600436999;0;0;0;0,00582665701165331;0;0;0,270939548541879;0;0,000728332001456664;0,000728332001456664;0,000728332001456664;0
"21";2142;0,264038231471924;0,00119474299761051;0,109318995781362;0,116487454767025;0,0334528079330944;0,0459976109080048;0,00179211499641577;0,0137395459725209;0,00119474299761051;0,00119474299761051;0,00179211499641577;0,00119474299761051;0;0,00716845898566308;0;0;0,400238948199522;0;0;0,000597371998805256;0,000597371998805256;0
"22";2351,5;0,252082176747918;0,00111049399888951;0,05607995594392;0,0960577459039422;0,0238756249761244;0,0588561909411438;0,00721821199278179;0,00721821199278179;0;0;0,00444197699555802;0,00610771799389228;0;0,0394225429605774;0;0;0,446418655553581;0;0,000555246999444753;0;0,000555246999444753;0
"23";2460;0,278707444557415;0,0017311020034622;0,0698211191396422;0,102712060205424;0,017311021034622;0,0444316210888632;0,0017311020034622;0,00403923800807848;0;0,00115406800230814;0,00692440901384882;0,00577034001154068;0;0,0415464510830929;0;0;0,422965955845932;0;0,000577034001154068;0;0,000577034001154068;0
