"";"";"Alnus.glutinosa.type";"Arceuthobium";"Calluna.vulgaris";"Castanea.sativa";"Cryptomeria.japonica";"Daphne";"Ericaceae";"Frangula.azorica";"Hedera.azorica";"Ilex.perado";"Juniperus.brevifolia";"Ligustrum";"Myrica.faya";"Myrsine.africana";"Picconia.azorica";"Pinus";"Prunus.lusitanica";"Vaccinium.cylindraceum";"Vitis";"Anagallis";"Angelica.lignescens";"Apiaceae";"Apium";"Artemisia";"Asteraceae.Subfam..Asteroideae";"Asteraceae.Subfam..Cichorioideae";"Bellis.type";"Brassicaceae";"Campanulaceae";"Centaurium";"Chaerophyllum.azoricum";"Chenopodiaceae.type";"Chrysanthemum.type";"Daucus.carota";"Euphorbia";"Euphrasia";"Falcaria.type";"Gnaphalium.type";"Hydrangea";"Hypericum";"Illecebrum.verticillatum";"Lysimachia";"Lythrum.portula";"Mentha.type";"Plantago.coronopus";"Plantago.lanceolata.type";"Plantago.maior";"Poaceae";"Polygonum.persicaria.type";"Potentilla.type";"Ranunculus.cortusifolius.type";"Rubiaceae";"Rumex.acetosella.type";"Rumex.obtusifolius.type";"Sagina";"Scabiosa";"Senecio.type";"Silene.type";"Spergula.type";"Urtica";"Veronica";"Xanthium";"Anogramma.leptophylla.Pteris.cretica";"Botrychium.lunaria";"Cheilanthes.type";"Culcita.macrocarpa";"Diphasiastrum.madeirense";"Dryopteris.dilatata.type";"Dryopteris.filix.mas.type";"Huperzia.selago";"Huperzia.suberecta";"Hymenophyllum.tunbrigense.type";"Lycopodium.inundatum";"Monolete.fern.spore";"Ophioglossum.azoricum";"Ophioglossum.lusitanicum";"Osmunda.regalis";"Polypodium";"Pteridium.aquilinum";"Selaginella.kraussiana";"Trichomanes";"Trilete.fern.spore"
"1";-8;0;0,00356379215389535;0,00213827559497441;0,00213827559497441;0,0128296505434745;0;0,022808267969107;0,00142551655892094;0,000712759036053477;0,0185317182923442;0,0648610117534257;0;0,0719885945480304;0,0342124019536605;0,00142551655892094;0,00427654967676281;0;0,00498930871281629;0;0,0106913749485;0,00855310086671164;0;0;0;0;0,0185317182923442;0;0;0;0;0;0,000712759036053477;0;0;0,0071275843077907;0;0;0;0,00285103311784187;0,00498930871281629;0,000712759036053477;0,00427654967676281;0,000712759036053477;0;0,000712759036053477;0,0071275843077907;0,00142551655892094;0,141126157491405;0;0,0128296505434745;0,00570206623568375;0;0,000712759036053477;0;0;0,000712759036053477;0;0;0;0;0;0;0,00213827559497441;0;0;0,0669992873484001;0;0;0;0;0,00213827559497441;0,000712759036053477;0;0,424091229997082;0;0;0,00142551655892094;0,000712759036053477;0,00570206623568375;0,0171062002202373;0,00356379215389535;0
"2";32;0;0,00729926939578802;0,00132713989014328;0,000663569945071638;0,0179163908958327;0;0,033842069577552;0,00199070983521491;0,000663569945071638;0,0159256810606178;0,0809555404354353;0,00265427978028655;0,102853351001698;0,026542800181764;0,00331784972535819;0,0106171191211462;0;0,00132713989014328;0;0,011944261390188;0,00928997923100294;0,000663569945071638;0;0;0;0,0272063701268357;0,000663569945071638;0;0;0;0;0;0;0;0,00199070983521491;0;0;0,000663569945071638;0,00199070983521491;0,00398141967042983;0;0,00464498961550147;0,00331784972535819;0;0,000663569945071638;0,0159256810606178;0,000663569945071638;0,138022562848292;0;0,0179163908958327;0,0086264092859313;0;0,000663569945071638;0;0,000663569945071638;0,00132713989014328;0;0;0,00199070983521491;0;0,000663569945071638;0;0,000663569945071638;0;0;0,0491041806930982;0;0;0;0;0,00199070983521491;0,000663569945071638;0;0,349037826791159;0;0;0,00597212950564474;0;0,0172528209507611;0,0086264092859313;0,00530855956057311;0
"3";46;0;0,00489795924827988;0,00244897849352769;0;0,00244897849352769;0;0,0179591831566181;0,000816326918250731;0,000816326918250731;0,0195918369931195;0,0767346941359767;0,00326530541177842;0,0881632664690379;0,0571428571428571;0,00163265383650146;0,00408163233002915;0;0;0;0,0195918369931195;0,0106122454148105;0;0;0;0;0,0236734693231487;0,00326530541177842;0;0;0;0;0;0;0;0,00244897849352769;0;0;0;0,00326530541177842;0,000816326918250731;0,000816326918250731;0,00326530541177842;0,00489795924827988;0;0,000816326918250731;0,0155102046630904;0;0,133061224360583;0;0,0122448969900875;0,0146938777448397;0;0;0;0;0,000816326918250731;0;0;0;0;0,000816326918250731;0;0,000816326918250731;0;0,000816326918250731;0,0506122440580758;0;0;0;0;0,00163265383650146;0,000816326918250731;0;0,382040819104606;0;0;0,00408163233002915;0;0,0130612239083382;0,0081632646600583;0,00734693774180757;0
"4";49;0,000979432467180396;0,00881488712137186;0;0,00195886323994356;0;0,000979432467180396;0,0068560238814283;0;0;0,0176297742427437;0,10675807961806;0;0,0666013704910877;0,0313418220056003;0,0117531828284958;0,000979432467180396;0,000979432467180396;0,00391772817430435;0;0,0068560238814283;0,0068560238814283;0,00195886323994356;0;0,000979432467180396;0,00489715894706751;0,00783545465419146;0,0068560238814283;0,000979432467180396;0;0;0;0;0;0;0,00293829570712395;0,000979432467180396;0;0;0,00195886323994356;0,0127326152956762;0;0,00391772817430435;0;0;0;0,0107737520557327;0,00195886323994356;0,147894221212212;0;0,0058765914142479;0,0195886391771045;0,00195886323994356;0,000979432467180396;0,000979432467180396;0;0,00195886323994356;0,000979432467180396;0;0;0;0;0;0,00195886323994356;0,000979432467180396;0,00195886323994356;0,0235063656569916;0,00195886323994356;0;0;0;0,00293829570712395;0;0;0,420176297979646;0;0;0,00391772817430435;0;0,00391772817430435;0,00881488712137186;0,0176297742427437;0
"5";142;0;0,0063424956797733;0,0042283291635416;0,0010570822908854;0;0;0,0317124745299447;0,0010570822908854;0,0010570822908854;0,0169133185886273;0,0655391117071993;0;0,0179704008795127;0,0359408036934863;0,0031712468726562;0,0031712468726562;0,0010570822908854;0,0063424956797733;0;0,0253699788501714;0,0137420717159711;0;0;0;0;0,0232558142684006;0,0042283291635416;0;0,0010570822908854;0,0010570822908854;0;0;0;0;0,00845666026154411;0;0;0;0,0021141645817708;0,0021141645817708;0;0,0116279071342003;0,0031712468726562;0;0,0010570822908854;0,0116279071342003;0;0,155391121908146;0;0,0158562362977419;0,0221987319775152;0;0;0;0;0,0010570822908854;0;0;0;0,0010570822908854;0,0031712468726562;0;0;0;0;0,0507399577003428;0;0;0;0;0,0010570822908854;0;0;0,400634252082777;0;0;0,0042283291635416;0,0010570822908854;0,0137420717159711;0,00951374255242951;0,0158562362977419;0
"6";149;0;0,00575184934883117;0,00246507803070579;0;0;0;0,0295809363684694;0,000821693287419596;0;0,0139687748968151;0,0599835660243584;0,000821693287419596;0,0838126548755497;0,0419063265219983;0,00164338474328619;0,00410846277399197;0,000821693287419596;0,00164338474328619;0;0,0312243229433086;0,00657354080469776;0;0;0;0;0,0115036968661093;0,00246507803070579;0;0;0,00164338474328619;0;0;0;0,00164338474328619;0,00493015606141157;0;0;0;0,000821693287419596;0,00164338474328619;0;0,0115036968661093;0,00246507803070579;0;0,00164338474328619;0,00903861883540354;0,000821693287419596;0,158586689084143;0;0,0230073955637717;0,0238290888511913;0;0;0;0;0;0;0;0;0;0,000821693287419596;0;0;0;0;0,0451930978401237;0;0;0;0;0,00493015606141157;0,000821693287419596;0;0,360723091265123;0;0;0,00328677131812538;0;0,0246507803070579;0,00739523409211736;0,0115036968661093;0
"7";180;0;0,00645161298396982;0,00161290324599246;0,00403225811498114;0;0;0,0153225808369283;0;0,00161290324599246;0,0161290324599246;0,082258063757712;0;0,0782258056427309;0,0274193551818717;0;0,00161290324599246;0;0,000806451622996228;0;0,0225806454438944;0,00967741947595474;0,00241935486898868;0;0;0,000806451622996228;0,0137096775909359;0,00725806460696605;0;0;0;0;0;0;0;0,000806451622996228;0;0;0;0,00483870973797737;0,0112903227219472;0;0,000806451622996228;0,00645161298396982;0;0,000806451622996228;0,00725806460696605;0,000806451622996228;0,130645161137486;0;0,0145161292139321;0,0169354840829208;0;0,00322580649198491;0,00241935486898868;0;0,000806451622996228;0,000806451622996228;0;0;0;0,00322580649198491;0;0;0;0,00483870973797737;0,0443548392647925;0,00322580649198491;0;0;0,000806451622996228;0,00483870973797737;0,000806451622996228;0;0,401612901100509;0;0;0,00403225811498114;0;0,0112903227219472;0,0056451613609736;0,0209677421979019;0
"8";246;0;0,00831793050197314;0,00277264350065771;0;0;0;0,0351201475225023;0;0,000924213803053494;0,0175600748069998;0,0831792987452397;0,00277264350065771;0,0924214409587691;0,03789279102316;0,00277264350065771;0,0046210711067647;0,000924213803053494;0,00184842969760422;0;0,03789279102316;0,0046210711067647;0;0;0;0;0,0157116451093956;0,00184842969760422;0;0;0;0;0;0,000924213803053494;0;0,00739371460742241;0;0;0;0,00277264350065771;0,00554528700131543;0,000924213803053494;0,0120147878056843;0,00184842969760422;0;0;0,0101663581080801;0,00277264350065771;0,146950092985875;0;0,0184842886100533;0,0120147878056843;0;0,000924213803053494;0;0;0;0;0,000924213803053494;0;0;0;0;0;0;0;0,0526802223295021;0;0;0;0,000924213803053494;0,00554528700131543;0;0;0,324399260295991;0;0;0,00369685730371121;0,000924213803053494;0,0221811459137645;0,00646950080436892;0,00831793050197314;0
"9";276,5;0;0,00530785635437769;0,00212314167635829;0,00212314167635829;0;0;0,0254777066067454;0;0,00106157083817915;0,0159235668996511;0,0700636947911612;0;0,0955414013979066;0,0403397026682173;0,00424628551619854;0;0,00636942719255683;0,00212314167635829;0;0,0552016987296893;0,0127388543851137;0,00106157083817915;0;0;0;0,0233545649303871;0;0,00106157083817915;0;0;0;0;0;0;0,00955413970709427;0;0;0,00106157083817915;0;0,00212314167635829;0;0,0233545649303871;0,00636942719255683;0;0;0,00955413970709427;0;0,131634820713407;0;0,0180467085760094;0,0106157105452734;0;0,00106157083817915;0;0;0,00318471251453744;0;0;0;0;0;0;0;0;0;0,0477707006989533;0;0;0;0;0;0;0;0,333333334054494;0;0;0,00212314167635829;0;0,0127388543851137;0,00955413970709427;0,0138004252232928;0
"10";338;0;0,00729926931599978;0,00182481840929192;0,000912408124353983;0;0;0,0246350366422292;0,000912408124353983;0;0,0164233570412915;0,112226279237146;0;0,0839416057763333;0,0364963509011668;0,000912408124353983;0,000912408124353983;0;0,000912408124353983;0;0,0228102182329373;0,00547445306729182;0,00364963465799989;0;0;0,000912408124353983;0,0173357673262294;0,000912408124353983;0;0;0;0;0;0;0;0,0063868611916458;0;0;0;0;0,00364963465799989;0;0,00547445306729182;0,00456204278235387;0;0;0,0109489061345836;0;0,132299270936438;0;0,0164233570412915;0,0191605835749374;0,00182481840929192;0,00821167960093772;0;0;0;0;0;0;0;0;0;0,000912408124353983;0,000912408124353983;0;0,0355839427768128;0;0;0;0;0,00456204278235387;0;0;0,37500000270073;0;0;0,00729926931599978;0;0,00729926931599978;0,00456204278235387;0,0145985407925835;0,00182481840929192
