"";"";"Asteroideae";"Casuarina";"cf..Calystegia";"Cocos";"Commelina";"Cyperaceae";"Dicranopteris";"Hypolepis";"Microsorum";"Pandanus";"Persicaria";"Pinus";"Poaceae..smaller.50.";"Poaceae..larger.50.";"Sigesbeckia";"Spermatophyta.undiff.";"Thelypteridaceae";"Acalypha";"Angiopteris";"Fabaceae";"Ficus";"Hibiscus";"Ipomoea";"Lycopodiella.cernua";"Psidium";"Pteris";"Solanaceae";"Cichorioideae";"Colocasia";"Lamiaceae";"Myrtaceae";"Psilotum";"Sonchus";"Glochidion";"Polypodiaceae";"Urticaceae.Moraceae";"cf..Achyranthes";"Hibiscus.cf..H..australensis";"Pritchardia";"Aleurites";"Bidens";"Cyathea";"Myrsine";"Rhus";"Cyclophyllum";"Euphorbiaceae";"Homalanthus";"Timonius";"Trema";"Vigna";"Acrostichum";"Asplenium";"Allophylus";"Arecaceae.incertae.sedis";"Barringtonia";"Celtis";"cf..Psydrax";"Lycopodium.sp.";"Phyllanthus";"cf..Psychotria";"Dodonaea";"Elaeocarpus";"Macaranga";"Charpentiera";"Triumfetta";"Lygodium";"Pouteria";"Coprosma";"Claoxylon";"Jasminum";"Plumbago";"Guettarda";"Homalium";"Melicope";"Meryta";"Terminalia"
"1";-40,5;0,00462962999074074;0,0231481479537037;0,00462962999074074;0,00462962999074074;0,00925925898148148;0,0972222218055556;0,328703703342593;0,00462962999074074;0,0231481479537037;0,0231481479537037;0,00462962999074074;0,333333332333333;0,0972222218055556;0,0277777779444444;0,00462962999074074;0,00462962999074074;0,00462962999074074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";8;0;0,164835165989011;0;0;0,0219780221318681;0,0439560442637363;0,247252748483516;0,0109890110659341;0,0274725271648352;0,0164835160989011;0,0219780221318681;0,170329671021978;0,131868132791209;0,0274725271648352;0,0109890110659341;0,00549450503296703;0,00549450503296703;0,00549450503296703;0,0109890110659341;0,00549450503296703;0,0109890110659341;0,00549450503296703;0,00549450503296703;0,0274725271648352;0,00549450503296703;0,00549450503296703;0,0109890110659341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";56;0;0,0449438201348315;0;0,00374531801123595;0,0337078651011236;0,00749063702247191;0,31460674294382;0,0149812730449438;0,0486891391460674;0,0187265920561798;0,0112359550337079;0,108614232325843;0,228464419685393;0,0337078651011236;0,0112359550337079;0,00749063702247191;0,0112359550337079;0;0,0112359550337079;0,00374531801123595;0,00374531801123595;0,0112359550337079;0;0,0374531841123596;0,00749063702247191;0;0,00374531801123595;0,00374531801123595;0,00374531801123595;0,00374531801123595;0,00374531801123595;0,00374531801123595;0,00374531801123595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";104;0,0140845070140845;0,0704225350704225;0;0,0140845070140845;0,0140845070140845;0,112676056112676;0,197183099197183;0,028169014028169;0,0140845070140845;0;0,0140845070140845;0,0140845070140845;0,338028169338028;0;0;0,0422535210422535;0;0;0;0;0;0,0140845070140845;0;0,0140845070140845;0;0;0;0,028169014028169;0;0;0;0;0;0,0140845070140845;0,028169014028169;0,028169014028169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";148;0;0,0196078429803922;0;0,0235294119764706;0,0509803919490196;0,176470587823529;0,270588234729412;0,0352941179647059;0,0196078429803922;0,0117647059882353;0,0156862749843137;0,0431372549568627;0,12549019587451;0,0509803919490196;0,00392156899607843;0,0117647059882353;0,0392156859607843;0;0,0196078429803922;0,00392156899607843;0,0117647059882353;0;0;0,0117647059882353;0,0117647059882353;0;0;0,00392156899607843;0;0;0;0,0117647059882353;0;0;0,0117647059882353;0,00784313699215686;0,00784313699215686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";195;0;0,0170212770340426;0;0;0;0,127659574255319;0,13617021327234;0,0893617021787234;0,0297872340595745;0,0425531910851064;0,0297872340595745;0;0,170212766340426;0,0340425530680851;0,00425531900851064;0,0127659570255319;0,0723404261446808;0;0,0170212770340426;0;0,00851063801702128;0;0;0,0297872340595745;0;0,00425531900851064;0,0127659570255319;0,00425531900851064;0,0212765960425532;0;0,00425531900851064;0,0340425530680851;0;0,00425531900851064;0,00851063801702128;0,0723404261446808;0,00425531900851064;0,00425531900851064;0,00425531900851064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";246;0;0,0454545452272727;0;0,0165289260826446;0,00413223102066116;0,144628099723141;0,223140497115702;0,0950413224752066;0,0330578511652893;0,0123966940619835;0,00413223102066116;0,0123966940619835;0,173553719867769;0,0413223142066116;0;0,00413223102066116;0,0123966940619835;0;0,0123966940619835;0;0,0123966940619835;0,00413223102066116;0;0,0165289260826446;0;0,00826446304132232;0,00826446304132232;0,00413223102066116;0,0123966940619835;0;0;0,0413223142066116;0;0;0;0,0289256201446281;0;0;0,00826446304132232;0,00413223102066116;0,00413223102066116;0,00413223102066116;0,00413223102066116;0,00413223102066116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";304;0;0,0245398769509202;0;0;0;0,110429447779141;0,193251533613497;0,196319017607362;0,0368098159263804;0,0153374229693252;0,0214723929570552;0;0,131901839736196;0,0429447849141104;0;0,0122699389754601;0,0276073619447853;0;0,00613496898773006;0,00613496898773006;0,00613496898773006;0;0,00306748499386503;0,0245398769509202;0;0,00306748499386503;0,00613496898773006;0;0,00306748499386503;0;0;0,0582822088834356;0;0,00306748499386503;0;0,0245398769509202;0;0;0,0122699389754601;0;0;0,0122699389754601;0;0;0,00306748499386503;0,00306748499386503;0,00306748499386503;0,00306748499386503;0,00306748499386503;0,00306748499386503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";336;0;0,017021277;0;0,008510638;0;0,106382979;0,191489362;0,072340426;0,025531915;0,025531915;0;0,012765957;0,2;0,076595745;0;0,008510638;0,068085106;0;0;0,004255319;0,008510638;0;0;0;0;0;0,004255319;0;0;0;0;0,017021277;0,004255319;0;0;0,072340426;0,004255319;0;0;0;0;0;0;0;0;0;0;0;0;0;0,068085106;0,004255319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";399;0,00396825398412698;0,00793650796825397;0;0,00396825398412698;0;0,166666666333333;0,130952380476191;0,0436507938253968;0,00793650796825397;0,0436507938253968;0,0277777778888889;0,00396825398412698;0,107142856571429;0,0555555557777778;0;0,00396825398412698;0,0595238097619048;0;0;0,00396825398412698;0;0,00396825398412698;0;0,0277777778888889;0;0,0198412699206349;0,00396825398412698;0;0,00793650796825397;0;0;0,011904761952381;0;0;0;0,0555555557777778;0,00396825398412698;0;0,00396825398412698;0;0;0;0;0;0;0,00396825398412698;0;0,00396825398412698;0,00396825398412698;0;0,11904761852381;0,0238095239047619;0,00396825398412698;0,00396825398412698;0,00396825398412698;0,011904761952381;0,00396825398412698;0,00396825398412698;0,00396825398412698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";476;0;0,0124069479627792;0;0,0124069479627792;0,00992555797022333;0,111662530665012;0,166253101501241;0,0893300247320099;0,014888336955335;0,0347394538957816;0,0173697269478908;0;0,126550867620347;0,0645161288064516;0;0,0124069479627792;0,0496277918511166;0;0,00744416897766749;0,00744416897766749;0,0173697269478908;0,00248138999255583;0;0,0397022328808933;0;0,00744416897766749;0,00744416897766749;0;0,00496277898511166;0;0;0,0322580649032258;0,00248138999255583;0;0;0,0347394538957816;0;0,00248138999255583;0,014888336955335;0,00248138999255583;0;0,0272952849181141;0;0;0;0,00496277898511166;0;0;0,00248138999255583;0,00744416897766749;0,0397022328808933;0;0;0,00248138999255583;0,00496277898511166;0;0;0;0,00248138999255583;0,00248138999255583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
