"";"";"Cyperaceae";"Dicranopteris.linearis";"Dodonaea.viscosa";"Dryopteridaceae.Polypodiaceae";"Hypolepis";"Lycopodiella.cernua";"Marattiaceae";"Microsorum";"Myrtaceae";"Pinus";"Poaceae..smaller.40.";"Poaceae..larger.40.";"Pteris.berteroana";"Spermatophyta.undiff.";"Urticaceae.Moraceae";"Commelina";"Cyathea";"Pandanus.tectorius";"Euphorbiaceae.undiff.";"Phyllanthus";"Asteroideae";"Homalanthus.cf..H..stokesii";"Sophora.tomentosa";"Colocasia.esculenta";"Histiopteris.incisa";"Sonchus.cf..S..asper";"Amaranthaceae";"Arecaceae.incertae.sedis";"Coprosma";"Malvaceae.undiff.";"Plantago";"Erythrina.variegata";"Celtis";"Cyclophyllum.barbatum";"Convolvulaceae";"Meryta";"Acalypha";"Freycinetia.sp.";"Psychotria";"Triumfetta";"Haloragaceae";"Casuarina";"Myoporum.rapense";"Veronica";"Scaevola.taccada"
"1";-31;0,251655629;0,158940397;0,013245033;0,013245033;0,013245033;0,198675497;0,013245033;0,006622517;0,039735099;0,006622517;0,105960265;0,072847682;0,006622517;0,046357616;0,052980132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-12;0,154761904845238;0,615079364384921;0;0,00396825399603175;0,0119047619880952;0,00793650799206349;0,00793650799206349;0,00396825399603175;0;0,00793650799206349;0,138888888861111;0,015873015984127;0,0119047619880952;0;0,00396825399603175;0,00396825399603175;0,00396825399603175;0,00793650799206349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";21;0,320463319679537;0,301158300698842;0;0,00772200799227799;0,00772200799227799;0,027027026972973;0;0,003861003996139;0;0;0,169884169830116;0,111969111888031;0,019305018980695;0,003861003996139;0;0;0,011583011988417;0,00772200799227799;0,003861003996139;0,003861003996139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";53;0,535849056464151;0,0754716979245283;0;0;0,0188679249811321;0;0,00377358499622642;0,00377358499622642;0;0;0,184905659815094;0,120754716879245;0;0;0;0;0;0,045283018954717;0,00377358499622642;0,00377358499622642;0,00377358499622642;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";85;0,164285713671429;0,07499999985;0;0,0178571429642857;0;0,0142857139714286;0,00714285698571429;0;0,00357142899285714;0,00714285698571429;0,360714285278571;0,264285713471429;0,00357142899285714;0;0,00357142899285714;0;0,00714285698571429;0,0607142858785714;0;0;0,00357142899285714;0,00357142899285714;0,00357142899285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";117;0,246305419246305;0,0197044330197044;0;0,0147783250147783;0,0640394090640394;0,0147783250147783;0,00492610800492611;0;0;0;0,157635468157635;0,00985221700985222;0;0,00985221700985222;0,0246305420246305;0,00492610800492611;0,00492610800492611;0,399014778399015;0;0;0;0;0;0,00985221700985222;0,00985221700985222;0,00492610800492611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";150;0,0833333328333333;0,0231481479537037;0,00462962999074074;0,0324074069351852;0,0555555558888889;0,00462962999074074;0;0;0,00462962999074074;0,00462962999074074;0,296296295407407;0,00925925898148148;0,00462962999074074;0,0231481479537037;0,00462962999074074;0,00462962999074074;0;0,37499999925;0;0;0,00925925898148148;0;0;0,0231481479537037;0;0;0,00462962999074074;0,0138888889722222;0,00925925898148148;0,00462962999074074;0,00462962999074074;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";281;0,0941704038116592;0,0313901349372197;0;0,0134529149730942;0,0403587439192825;0,0313901349372197;0,0269058299461883;0;0,00896860998206278;0;0,497757847004484;0,103139012793722;0;0,00448430499103139;0,0179372199641256;0;0;0,125560537748879;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00448430499103139;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";411;0,358208955;0;0;0,003731343;0,014925373;0,01119403;0,014925373;0,007462687;0;0;0,074626866;0,007462687;0;0,018656716;0,052238806;0;0;0,414179104;0;0;0;0,003731343;0;0,007462687;0;0;0;0;0;0;0;0,007462687;0,003731343;0;0;0;0;0;0;0;0;0;0;0;0
"10";535;0,0370370369259259;0;0;0,00740740698518519;0,0629629628740741;0,00740740698518519;0;0;0;0;0,125925925748148;0,018518518962963;0;0,00370370399259259;0;0;0;0,703703702592593;0;0;0,00370370399259259;0,00370370399259259;0;0,018518518962963;0;0;0;0,00370370399259259;0;0;0;0;0,00370370399259259;0;0;0;0;0;0;0;0;0;0;0;0
"11";562;0,026923077;0;0;0,019230769;0,115384615;0;0;0;0,003846154;0;0,215384615;0;0;0,011538462;0,003846154;0;0;0,519230769;0,007692308;0;0;0,011538462;0;0,038461538;0,015384615;0;0;0;0;0,003846154;0;0;0;0,007692308;0;0;0;0;0;0;0;0;0;0;0
"12";589;0,0627450978117647;0,00392156898823529;0;0,0117647059647059;0,0431372548705882;0;0,0117647059647059;0,0117647059647059;0;0;0,0980392157058824;0;0;0,00392156898823529;0;0;0;0,717647056847059;0,00392156898823529;0;0;0,00392156898823529;0;0,00784313697647059;0;0;0,00392156898823529;0;0;0,00392156898823529;0;0,00392156898823529;0;0;0,00784313697647059;0;0;0;0;0;0;0;0;0;0
"13";617;0,014652015;0;0;0,010989011;0,032967033;0;0;0,003663004;0;0;0,054945055;0;0,007326007;0,007326007;0;0;0;0,84981685;0,007326007;0;0,003663004;0;0;0,007326007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
