"";"";"Pandanus.tectorius";"Arecaceae";"Cocos.nucifera";"Liliaceae";"Urticaceae.Moraceae";"Cyperaceae";"Trilete.Psilate";"Monolete.Psilate";"Achrostichum.aureum";"Aspleniaceae";"Blechnaceae";"Dicranopteris";"Dryopteris";"Hypolepis";"Davallia.Histiopteris";"Polypodiaceae";"Macaranga.comp.";"Acalypha";"Premna";"Trema";"Glochidion.societales";"Homalium";"Erythrina.variegata";"Fabaceae";"Polygonaceae";"Sophora.tomentosa";"cf..Sapindus";"cf..Brassicaceae";"cf..Scaevola";"cf.Coprosma";"cf.Meryta";"cf..Pouteria";"Hernandia";"Euphorbiaceae";"Solanaceae";"Myrtaceae";"Tournefortia.argentea";"Timonius";"Triumfetta.procumbens";"Colocasia.esculenta";"Aleurites.moluccana";"Asteraceae.tubuliflorae";"Asteraceae.Liguliflorae";"Chenopodiaceae.pos..algae";"Poaceae..40.microns";"Poaceae..40.microns.1";"cf..Canna.indica";"cf..Calophyllum";"Labiatae";"Pteris";"Cyclosorus.interruptus";"Sphaerostephanos";"Comellina.diffusa";"cf..Morinda.citrifolia";"cf..Hedyotis";"cf..Psychotria";"cf..Apocynaceae";"Casuarina";"Barringtonia";"Ludwigia.peploides";"Hibiscus.tiliaceus";"Malvaceae";"Angiopteris";"Bryophytes..liverwort.";"Nothofagus.brassospora";"Pinus..exotic."
"1";-12;0,01683501703367;0,013468013026936;0;0;0;0,272727273545455;0,0404040400808081;0,323232323646465;0;0;0;0,124579125249158;0;0;0,00673400701346801;0,013468013026936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00336700300673401;0;0;0;0;0;0,00673400701346801;0,00336700300673401;0,0538720541077441;0,0673400671346801;0;0;0;0;0,00673400701346801;0;0,010101010020202;0,00336700300673401;0;0;0;0,0303030300606061;0;0;0;0;0;0;0;0,00336700300673401
"2";72;0,00666666701333333;0,0133333330266667;0;0;0;0,133333333266667;0,03000000006;0,583333334166667;0;0;0;0,0333333330666667;0,00666666701333333;0;0,00333333300666667;0,0166666670333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00666666701333333;0,00333333300666667;0,0833333331666667;0,0266666670533333;0;0;0;0;0,0133333330266667;0;0,0233333330466667;0;0;0;0;0,0133333330266667;0;0;0;0;0;0,00333333300666667;0;0
"3";156;0,0133779259598662;0,00334448198996655;0,00334448198996655;0,00334448198996655;0;0,207357859377926;0,0401337788795987;0,48494983154515;0;0;0;0,0167224079498328;0,00668896297993311;0;0,00334448198996655;0,0133779259598662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0100334449698997;0;0,0501672238494983;0,0635451508093645;0;0;0,00334448198996655;0;0,0100334449698997;0;0,030100333909699;0;0;0;0;0,0234113709297659;0;0,00334448198996655;0;0;0,00334448198996655;0,00334448198996655;0;0,00334448198996655
"4";239;0,00333333300666667;0,00333333300666667;0;0;0,00666666701333333;0,133333333266667;0,0266666670533333;0,66000000132;0;0;0;0,00333333300666667;0;0;0,00333333300666667;0,0133333330266667;0;0;0,00333333300666667;0;0;0;0;0;0;0;0;0,00333333300666667;0;0;0;0;0;0;0;0;0;0;0;0;0,00333333300666667;0;0,00666666701333333;0;0,0566666671133333;0,03000000006;0;0;0;0,00333333300666667;0,02000000004;0;0;0;0;0;0;0,0133333330266667;0;0;0;0;0;0,00666666701333333;0;0
"5";320;0,00666666700666667;0;0;0;0,00666666700666667;0,113333333113333;0,01000000001;0,58000000058;0;0;0;0,00666666700666667;0,0133333330133333;0;0,01000000001;0,0266666670266667;0,01000000001;0;0;0;0;0,00333333300333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00333333300333333;0;0;0;0;0,00333333300333333;0;0,00333333300333333;0,00333333300333333;0,0766666670766667;0,09000000009;0;0;0;0;0,0133333330133333;0;0;0;0;0;0;0,0166666670166667;0;0;0;0,00333333300333333;0;0;0;0
"6";392,5;0,0281690138873239;0,021126760915493;0;0;0,00704225397183099;0,0704225347183099;0;0,496478871014085;0,00352112698591549;0;0;0,021126760915493;0;0;0,014084506943662;0,0633802817464789;0;0;0;0;0;0;0,00352112698591549;0,00352112698591549;0,00704225397183099;0;0,00704225397183099;0;0;0;0;0;0;0;0,00352112698591549;0;0;0;0;0;0;0;0;0,00704225397183099;0,105633802577465;0,102112675591549;0;0;0;0;0;0;0;0;0;0;0;0,0281690138873239;0;0;0;0,00704225397183099;0;0;0;0
"7";447;0,040816326877551;0,00340136098979592;0;0;0,00340136098979592;0,119047618642857;0,0204081629387755;0,418367345744898;0;0;0;0,00680272097959184;0,0102040819693878;0;0,0204081629387755;0,0544217688367347;0,0136054419591837;0;0;0;0;0,00340136098979592;0,0102040819693878;0,00340136098979592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00680272097959184;0;0;0;0;0,119047618642857;0,102040815693878;0;0;0;0;0,0102040819693878;0,00680272097959184;0;0;0;0;0;0,0136054419591837;0;0;0,00340136098979592;0,00680272097959184;0,00340136098979592;0;0;0
"8";499;0,02333333307;0,01333333304;0;0;0,02000000006;0,11666666735;0;0,42666666828;0,04000000012;0;0;0;0,00333333301;0,00333333301;0,00666666702;0,05666666717;0,00333333301;0;0;0;0,00333333301;0,00333333301;0,00333333301;0;0;0;0;0;0;0;0;0;0;0;0,00333333301;0;0;0;0;0,00333333301;0;0;0;0;0,07333333322;0,1666666675;0;0;0;0,00333333301;0,00333333301;0;0;0;0;0;0;0,02000000006;0;0;0;0,00333333301;0;0;0;0
"9";544;0,0271186438915254;0,257627117969492;0;0;0,0135593219457627;0,138983050444068;0,0169491529322034;0,335593218657627;0,00338983098644068;0;0;0,0406779658372881;0,00338983098644068;0,00677966097288136;0,00338983098644068;0,0440677968237288;0;0;0;0;0;0;0;0;0,00338983098644068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0644067797423729;0,0169491529322034;0;0;0;0,00677966097288136;0;0;0;0;0;0;0,00338983098644068;0,0135593219457627;0;0;0;0;0;0;0;0
"10";591;0,0633333331266667;0,00666666701333333;0;0;0,00333333300666667;0,27000000054;0,0266666670533333;0,19000000038;0,00333333300666667;0;0;0,0133333330266667;0,0133333330266667;0,00666666701333333;0,0133333330266667;0,0166666670333333;0,00666666701333333;0;0;0;0;0,00333333300666667;0;0;0;0;0;0;0;0;0;0;0;0;0,00333333300666667;0;0;0;0;0,0166666670333333;0;0;0;0,00333333300666667;0,186666667373333;0,11000000022;0;0;0;0,0233333330466667;0,01000000002;0,00333333300666667;0;0;0;0;0;0,00333333300666667;0,00333333300666667;0;0;0;0;0;0;0
