"";"";"Acalypha";"Acnistus";"Alchornea";"Alnus";"Alternanthera";"Amaranthus";"Ambrosia";"Anemia";"Bursera";"Cactaceae";"Cecropia";"cf..Rhizophora";"Chamaesyce";"Conyza";"Croton";"Cryptocarpus";"Cuphea";"Cyathea";"Cyperaceae";"Fabaceae.undiff.";"Hedyosmum";"Hippomane";"Lycianthes";"Lycopodium";"Miconia";"Myrica";"Myrsine";"Myrtaceae";"Phyllanthus";"Pilea";"Plumbago";"Poaceae";"Podocarpus";"Polygonum";"Polypodium";"Scalesia.undiff.";"Scoparia";"Senna.obtusifolia";"Senna.undiff.";"Stachytarpheta";"Tournefortia.rufo.sericea";"Unknown..monolete.";"Utricularia";"Zanthoxylum";"Asteraceae.undiff.";"Ceiba";"Lantana";"Acanthaceae";"Lamiaceae.undiff.";"Platymiscium";"Apocynaceae";"cf..Cedrela";"Dodonaea.viscosa";"Sapindaceae.undiff.";"Rhynchosia";"Darwiniothamnus";"Cardiospermum";"Euphorbia";"Crotalaria";"Chiococca";"Solanum";"Portulaca";"Ipomoea";"Ilex";"Polygalaceae";"Cissus";"cf..Hippomane";"Scalesia.cf..S..affinis";"cf..Vitex";"Quercus";"cf..Melia";"Ericaceae";"Weinmannia";"cf..Gnaphalium";"Unknown.undiff.";"Scutia";"Piper";"Melia";"Meliaceae.undiff.";"Codia";"Aegiphila";"Pteridium";"cf..Gossypium";"Ochroma"
"1";-45;0,0218423550218424;0,00189933500189933;0,00474833800474834;0,0265906930265907;0,022792023022792;0,00379867000379867;0,019943020019943;0,00379867000379867;0,019943020019943;0,000949668000949668;0,000949668000949668;0,000949668000949668;0,00474833800474834;0,0294396960294397;0,0104463440104463;0,002849003002849;0,000949668000949668;0,232668566232669;0,0189933520189934;0,000949668000949668;0,000949668000949668;0,011396011011396;0,000949668000949668;0,249762583249763;0,0161443490161443;0,002849003002849;0,000949668000949668;0,0360873690360874;0,000949668000949668;0,00664767300664767;0,00189933500189933;0,0835707500835707;0,000949668000949668;0,00379867000379867;0,002849003002849;0,0550807220550807;0,00189933500189933;0,00474833800474834;0,00189933500189933;0,00379867000379867;0,00569800600569801;0,0683760680683761;0,00379867000379867;0,00569800600569801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";-43;0,00982961998034076;0,00327653999344692;0,00131061599737877;0,00786369598427261;0,00786369598427261;0,000655307998689384;0,00589777198820446;0,00458715599082569;0,0144167759711664;0,000655307998689384;0;0,000655307998689384;0,00524246398951507;0,00786369598427261;0,0039318479921363;0,000655307998689384;0;0,347968544304063;0,0222804719554391;0;0;0,00982961998034076;0;0,14875491470249;0,00720838798558322;0,00196592399606815;0,00655307998689384;0,0294888599410223;0;0,00917431198165138;0,00131061599737877;0,0517693318964613;0,00131061599737877;0,00196592399606815;0,000655307998689384;0,0190039319619921;0;0,000655307998689384;0,00131061599737877;0,00458715599082569;0,00262123199475754;0,247706421504587;0,000655307998689384;0,0039318479921363;0,00262123199475754;0,000655307998689384;0,00131061599737877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";-40;0,0320591859038224;0,00616522798150432;0,00123304599630086;0,0172626389482121;0,0197287299408138;0,00369913698890259;0,0258939579223181;0,00369913698890259;0,0283600489149199;0;0,00123304599630086;0,00123304599630086;0,0147965469556104;0,00493218198520345;0,00739827397780518;0,00246609099260173;0;0,101109740696671;0,0295930949112207;0,00123304599630086;0,00369913698890259;0,0147965469556104;0,00246609099260173;0,274969173175092;0,0110974109667078;0,00616522798150432;0,00616522798150432;0,0530209618409371;0,00123304599630086;0,0221948209334155;0;0,0961775587114673;0,00123304599630086;0,00369913698890259;0,00123304599630086;0,0394574598816276;0;0,00246609099260173;0;0;0,00246609099260173;0,131935881604192;0,00493218198520345;0,0098643649704069;0,00369913698890259;0;0,00123304599630086;0,00123304599630086;0,00123304599630086;0,00123304599630086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";-38;0,0195865069412405;0,00272034799183896;0,00054406999836779;0,0108813929673558;0,00652883598041349;0,00163220899510337;0,00652883598041349;0,00435255698694233;0,0119695319640914;0,00054406999836779;0;0;0,00489662698531012;0,00652883598041349;0,00163220899510337;0,00163220899510337;0;0,368879215893362;0,0168661589494015;0,00108813899673558;0,00163220899510337;0,00435255698694233;0;0,160500543518498;0,0059847659820457;0,00108813899673558;0,00272034799183896;0,0212187159363438;0,00054406999836779;0,0059847659820457;0;0,0435255708694233;0,00054406999836779;0,00272034799183896;0;0,0157780199526659;0,00054406999836779;0,00054406999836779;0,00163220899510337;0,00108813899673558;0,00108813899673558;0,252448312242655;0,00108813899673558;0,00489662698531012;0,00108813899673558;0;0;0;0;0;0,00054406999836779;0,00054406999836779;0,00054406999836779;0,00054406999836779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";-35;0,022525597;0,003412969;0;0,015699659;0,013651877;0,002730375;0,010921502;0,004778157;0,012969283;0;0,000682594;0;0,007508532;0,010921502;0,002047782;0,000682594;0,000682594;0,231399317;0,023208191;0,002730375;0,002730375;0,005460751;0;0,233447099;0,005460751;0,000682594;0;0,029351536;0,001365188;0,00887372;0;0,057337884;0,002047782;0,002730375;0,000682594;0,01774744;0,001365188;0,001365188;0,000682594;0,003412969;0,002047782;0,246416382;0,002730375;0;0,005460751;0;0;0;0;0;0,000682594;0;0,000682594;0;0,000682594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";-33;0,0137825418759571;0,00102092899081164;0,000510464995405815;0,00663603894027565;0,00357325196784073;0,00255232297702909;0,00867789692189893;0,00357325196784073;0,00969882591271057;0,000510464995405815;0;0,000510464995405815;0,00816743192649311;0,00867789692189893;0,00357325196784073;0,00255232297702909;0,000510464995405815;0,374170491632466;0,0122511488897397;0,000510464995405815;0,00102092899081164;0,00255232297702909;0,00102092899081164;0,178152116396631;0,00306278697243492;0,00153139398621745;0,00153139398621745;0,0163348648529862;0;0,0051046449540582;0;0,0428790196140888;0;0,00306278697243492;0,00153139398621745;0,0122511488897397;0,00102092899081164;0;0;0,000510464995405815;0,00102092899081164;0,256763652689127;0,00153139398621745;0,00153139398621745;0,00153139398621745;0;0,000510464995405815;0;0,000510464995405815;0;0,00102092899081164;0,00102092899081164;0;0;0;0,00153139398621745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";-32;0,0264808360264808;0,00348432100348432;0;0,0167247390167247;0,00696864100696864;0,00418118500418118;0,0097560980097561;0,00418118500418118;0,00905923300905923;0;0;0,00209059200209059;0,00905923300905923;0,0195121950195122;0,00487804900487805;0,00139372800139373;0,000696864000696864;0,323344948323345;0,0125435540125436;0,00139372800139373;0,00418118500418118;0,00836236900836237;0,000696864000696864;0,209756098209756;0,010452962010453;0,00278745600278746;0,00348432100348432;0,0250871080250871;0,00209059200209059;0,0076655050076655;0;0,0522648080522648;0;0,00348432100348432;0;0,025783972025784;0;0;0;0,000696864000696864;0,000696864000696864;0,179094077179094;0,00209059200209059;0,000696864000696864;0,00209059200209059;0,000696864000696864;0;0;0;0;0;0;0;0;0;0;0,000696864000696864;0,00139372800139373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";-31;0,0181570590907853;0,00363141201815706;0;0,00862460304312302;0,00363141201815706;0,0013617790068089;0,00499319102496595;0,00181570600907853;0,00635497003177485;0;0;0,00045392600226963;0,00363141201815706;0,00590104402950522;0,00272355901361779;0;0,0013617790068089;0,352700863763504;0,013617794068089;0,00181570600907853;0,00226963201134816;0,00363141201815706;0,00045392600226963;0,184294144921471;0,00544711802723559;0;0,00226963201134816;0,0127099410635497;0,00045392600226963;0,00453926502269632;0;0,0476622792383114;0;0,0013617790068089;0,00226963201134816;0,00907852904539264;0,00045392600226963;0;0,0013617790068089;0,00045392600226963;0,0013617790068089;0,277349070386745;0,00226963201134816;0,0013617790068089;0,00408533802042669;0;0;0;0;0;0,000907853004539265;0;0;0;0;0,00272355901361779;0;0;0,00045392600226963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";-29;0,0181752090363504;0,00181752100363504;0,000363504000727008;0,00363504200727008;0,0043620500087241;0,00254452900508906;0,00472555400945111;0,00327153800654308;0,00327153800654308;0;0;0,000363504000727008;0,00399854600799709;0,00290803300581607;0,00363504200727008;0,000727008001454016;0,00109051300218103;0,395492548790985;0,0101781170203562;0,000727008001454016;0,00181752100363504;0,00181752100363504;0;0,186114140372228;0,00254452900508906;0,000727008001454016;0,000363504000727008;0,00363504200727008;0,000363504000727008;0,00508905901017812;0;0,0530716101061432;0,000363504000727008;0,00290803300581607;0,00145401700290803;0,00727008401454017;0;0;0,000363504000727008;0;0;0,255543439511087;0,00181752100363504;0,00181752100363504;0,00581606701163213;0;0,000727008001454016;0;0;0;0,000363504000727008;0,000363504000727008;0;0;0;0,00290803300581607;0;0;0;0,000363504000727008;0,00109051300218103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";-26;0,0121726299878274;0,00184433799815566;0,000737734999262265;0,00663961599336038;0,00479527799520472;0,00147546999852453;0,00553301399446699;0,00405754299594246;0,00590188099409812;0;0;0,000368867999631132;0,00368867599631132;0,00479527799520472;0,00368867599631132;0;0,000737734999262265;0,362596827637403;0,0125414979874585;0,000368867999631132;0;0,00295094099704906;0;0,212467723787532;0,00516414599483585;0,000737734999262265;0,000737734999262265;0,00737735199262265;0,000368867999631132;0,00663961599336038;0;0,0379933599620066;0,000368867999631132;0,00147546999852453;0,00184433799815566;0,00995942499004057;0,000737734999262265;0;0,000368867999631132;0,000368867999631132;0,000737734999262265;0,265584654734415;0,00147546999852453;0,00258207299741793;0,00331980799668019;0;0,000368867999631132;0;0;0,0011066029988934;0,000737734999262265;0;0;0;0;0,00221320499778679;0,000368867999631132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
