"";"";"Amaranthaceae";"Asteraceae.tubuliflorae";"Asteraceae.liguliflorae";"Cyperaceae";"Poaceae";"Pinus";"Artemisia";"Centaurea";"Cirsium.type";"Rosaceae";"Brassicaceae";"Apiaceae";"Morella.Corylus";"Cannabaceae.Ostrya";"Rumex";"Betula";"Fraxinus";"Oleaceae";"Salix";"Solanaceae";"Acacia";"Picea";"Juglans";"Rubiaceae";"CV.1";"Ericaceae";"Euphorbiaceae";"Fabaceae";"Moraceae";"Ficus.type";"Ilex";"Lamiaceae";"Alnus";"Verbenaceae";"CV.2";"Quercus";"Cerealia.type";"Zea.mays";"Carex";"Urticaceae";"Caryophyllaceae";"Sapotaceae.type";"Agavoideae";"Convolvulus"
"1";4;0,266025641266026;0,179487179179487;0,0448717950448718;0,198717949198718;0,0641025640641026;0,0673076920673077;0,121794872121795;0;0;0;0,0128205130128205;0;0,00320512800320513;0;0;0;0;0;0;0;0,00641025600641026;0;0;0;0;0;0;0;0;0,0128205130128205;0;0,0160256410160256;0;0;0;0;0,00320512800320513;0,00320512800320513;0;0;0;0;0;0
"2";7;0,294642856705357;0,200892856799107;0,0357142859642857;0,191964285808036;0,0267857139732143;0,0401785709598214;0,174107142825893;0;0;0;0,00446428599553571;0;0;0;0;0;0;0;0;0;0,00446428599553571;0;0;0;0;0;0;0;0;0,0178571429821429;0;0,00446428599553571;0;0;0;0;0;0;0;0;0,00446428599553571;0;0;0
"3";12;0,229235880229236;0,189368771189369;0,0730897010730897;0,162790698162791;0,0598006640598007;0,0332225910332226;0,192691030192691;0;0;0;0,0166112960166113;0,00664451800664452;0;0;0;0;0;0;0;0;0,00332225900332226;0;0;0;0;0;0;0;0;0,0299003320299003;0;0;0;0;0;0;0,00332225900332226;0;0;0;0;0;0;0
"4";15;0,29375;0,11875;0,025;0,25;0,075;0,025;0,1625;0;0;0;0,04375;0,00625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";20;0,217142857217143;0,217142857217143;0,0342857140342857;0,154285714154286;0,04000000004;0,0342857140342857;0,28000000028;0;0;0;0,0228571430228571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";23;0,233830846;0,248756219;0,014925373;0,07960199;0,049751244;0,004975124;0,253731343;0;0;0;0,049751244;0,014925373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,024875622;0;0,024875622;0;0;0;0;0;0;0;0;0;0;0;0
"7";28;0,170833333;0,2125;0,1;0,304166667;0,120833333;0,058333333;0,0125;0;0;0;0,004166667;0;0;0;0;0;0,0125;0,004166667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";32;0,161538461676923;0,123076922753846;0,0307692309384615;0,361538461276923;0,0769230768461539;0,0461538459076923;0,176923076646154;0;0;0;0;0;0,00769230798461538;0;0;0;0;0;0;0;0,00769230798461538;0;0;0,00769230798461538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";88;0,0167597769832402;0,374301675625698;0,0837988829162011;0,0335195529664804;0,0502793299497207;0,0167597769832402;0,145251396854749;0,00558659199441341;0,00558659199441341;0,0111731839888268;0,145251396854749;0,027932960972067;0,027932960972067;0;0;0,00558659199441341;0;0;0;0;0;0;0;0;0;0;0,00558659199441341;0;0;0,0223463689776536;0;0;0,00558659199441341;0,00558659199441341;0,00558659199441341;0;0,00558659199441341;0;0;0;0;0;0;0
"10";240;0;0,0776699028446602;0,781553396436893;0;0,00970873798058253;0,0339805829320388;0,0194174759611651;0;0,00970873798058253;0;0;0;0,00970873798058253;0;0;0;0,00485436899029126;0;0;0;0;0;0;0;0;0,00485436899029126;0,00970873798058253;0,00970873798058253;0;0;0;0,00485436899029126;0,00485436899029126;0,00485436899029126;0,00970873798058253;0;0;0;0;0,00485436899029126;0;0;0;0
