"";"";"MYRTACEAE.1";"MYRTACEAE.2";"MYRTACEAE.3";"MYRTACEAE.4";"RHAMNACEAE.UNDET.";"ROSACEAE.UNDET.";"RUBIACEAE.UNDET.";"ULMACEAE";"Aryteria";"Ascarina";"Baccaurea";"Balanops";"Benistoma";"Calophyllum";"Calycosia";"Cleistocalyx";"Collospermum.comp";"Commersonia";"Dolicholobium";"Dysoxylum";"Elaeocarpus";"Elattostachys";"Embelia";"Guioa";"Heritiera..Sterc.";"Homalium";"Ixora";"Melicope";"Melochia..Sterc.";"Metrosideros";"Neonauclea";"Ophiorrhiza..Rub.";"Palaquium";"Parasponia..Ulm.";"Parinarium..Ros.";"Planchonella";"Psychotria";"Randia";"Streblus";"Tapeinospermum";"Timonius";"Turrillia";"CUNONIACEAE.C2";"CUNONIACEAE.C3";"Agathis";"Dacrydium";"Fagrea";"Ilex";"Pittosporum";"Podocarpus";"Quintinia";"Rapanea";"Symplocos";"ARALIACEAE";"ARECACEAE";"EPACRIDACEAE";"LEGUMINOSAE.1";"LEGUMINOSAE.2";"MALVACEAE";"RUTACEAE.UNDET.";"SOLANACEAE";"Acronychia.comp";"Antirrhoea";"Coprosma";"Dillenia";"Euodia";"Exocarpus";"Freycinetia";"Garcinia";"Geniostoma";"Jasminum";"Leea..Vit.";"Linocieria";"Medinilla.comp";"Myristica";"Neubergia";"Pandanus";"Phaleria";"Pleurandra..Dill.";"Polygala";"Polyscias";"Rubus.comp";"Schefflera";"Sphaerostephanos";"CASUARINACEAE";"EUPHORBIACEAE.UNDET.";"Trema.comp";"URTICACEAE.1";"URTICACEAE.2";"X.Celtis";"Acalypha";"Aleurites";"Alphitonia";"Ardisia";"Bischofia";"Claoxylon";"Dodonea";"Endospermum";"Glochidion";"Homolanthus";"Macaranga";"Maesa";"Mallotus";"Mussaenda";"Saurauia";"Pemphis.comp";"Pisonia";"AMARANTHACEAE";"APIACEAE";"ASTERACEAE..Tubuliflorae.";"POACEAE";"Clematis";"Scaevola";"CYPERACEAE.1";"CYPERACEAE.Elaeocharis";"MELASTOMATACEAE";"Haloragis.sim";"Lepironia.comp";"Polygonum";"Potamogeton.comp";"CYATHEACEAE";"TRILETE.UNDET.";"Dicksonia";"Dicranopteris";"Hymenophyllum";"Lycopodium";"Lycopodium.cernuum";"Lygodium";"Pteridium";"MONOLETE.A";"MONOLETE.B";"MONOLETE.UNDET.";"MONOSCABRATE";"Blechnum.comp";"Polypodium"
"1";-34;0,0350317747197458;0;0;0;0;0;0;0;0;0,0891719372866245;0,00636942594904459;0,00318470797452234;0,0127388908980889;0;0;0;0;0;0;0;0,00955413292356694;0;0,00636942594904459;0;0,00636942594904459;0,00318470797452234;0;0;0;0,0159235888726113;0;0,00318470797452234;0;0;0;0;0;0;0;0;0,00318470797452234;0;0;0;0;0,00318470797452234;0;0,00318470797452234;0;0,0127388908980889;0;0,0159235888726113;0,00636942594904459;0;0,00636942594904459;0;0;0,0222929838216561;0;0;0,00318470797452234;0;0;0;0;0;0;0,0222929838216561;0;0;0;0;0,00636942594904459;0;0;0;0,0477706666178347;0;0,00955413292356694;0;0;0;0,00636942594904459;0;0,00318470797452234;0;0,00636942594904459;0,0987260302101918;0,0477706666178347;0,0477706666178347;0,0445859686433123;0;0;0;0;0;0;0;0;0,0159235888726113;0,0318470777452234;0;0,00318470797452234;0;0;0;0,00318470797452234;0;0,00318470797452234;0,00318470797452234;0,0254776817961785;0;0,00318470797452234;0,0127388908980889;0;0,00636942594904459;0;0,194267862445857;0;0;0,0159235888726113;0,00636942594904459;0;0,00318470797452234;0;0;0,0254776817961785;0;0;0;0;0,00955413292356694;0,00955413292356694;0;0,0191082868471337
"2";72;0,00561797996067414;0;0;0;0;0;0;0,0730336944887641;0,00280898998033707;0,0168538988820227;0;0;0,00561797996067414;0,00280898998033707;0;0;0;0;0;0,00842696894101122;0;0;0,00280898998033707;0;0;0,00280898998033707;0;0;0;0,0140448989016857;0,00280898998033707;0;0,00280898998033707;0,0617977955674154;0;0;0;0;0;0;0;0,00280898998033707;0,00561797996067414;0,00561797996067414;0;0;0;0,00280898998033707;0;0,00280898998033707;0;0,00842696894101122;0;0;0;0;0;0;0;0,00280898998033707;0;0,00280898998033707;0;0;0;0;0;0,00561797996067414;0;0;0;0;0;0,00280898998033707;0;0;0,00561797996067414;0;0,00561797996067414;0;0;0;0;0;0,00280898998033707;0;0;0,0955055923314609;0,126403990115172;0;0,0365168967443817;0;0;0;0,00842696894101122;0;0;0,00280898998033707;0;0,00280898998033707;0,0898875933707869;0;0,00280898998033707;0;0;0;0;0;0,00561797996067414;0,00561797996067414;0,00842696894101122;0;0,00280898998033707;0;0,00280898998033707;0;0;0;0,00561797996067414;0;0,0533707956264044;0,0196628988623597;0,0617977955674154;0,123595990134828;0,00280898998033707;0,0280898978033707;0;0;0;0;0,00561797996067414;0;0;0,0168538988820227;0,0337078977640447
"3";178;0,00328946899013159;0;0;0;0;0;0;0,0328946859013159;0;0,0526315778421053;0,00328946899013159;0;0;0;0;0;0;0;0;0,00328946899013159;0,00328946899013159;0;0;0;0;0;0;0;0;0,0197367919407896;0;0;0;0;0;0;0,00328946899013159;0;0;0;0;0;0,00657894698026316;0,00328946899013159;0,00328946899013159;0;0;0;0;0,00657894698026316;0;0;0;0;0,00986841597039475;0;0,00328946899013159;0,00328946899013159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00657894698026316;0;0;0;0;0;0;0;0,00657894698026316;0;0;0,213815909358552;0,111841952664474;0;0,0263157889210526;0;0,00657894698026316;0;0,0230262899309211;0;0;0;0;0;0,0493420788519738;0,00328946899013159;0;0;0;0;0;0;0;0;0,00986841597039475;0;0;0;0;0;0;0,00986841597039475;0,0427631818717105;0;0,0723683697828949;0,0131578939605263;0,0230262899309211;0,108552953674341;0,00328946899013159;0,00328946899013159;0;0,00328946899013159;0;0,0296052879111841;0;0;0;0,0427631818717105;0,0328946859013159
"4";283,5;0,00359712198920863;0;0;0;0;0;0;0,0575540248273379;0;0,0539568238381295;0;0;0;0,00359712198920863;0;0;0;0;0;0,00359712198920863;0,0143885059568345;0;0;0;0;0;0;0;0,00359712198920863;0,0107914049676258;0,00359712198920863;0;0;0;0;0;0;0;0;0;0;0;0,00719424297841727;0;0,00359712198920863;0;0;0,00719424297841727;0;0,00359712198920863;0;0,00359712198920863;0;0;0,00719424297841727;0;0;0,0107914049676258;0,00719424297841727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00719424297841727;0;0;0,00719424297841727;0;0;0;0;0;0;0;0,00359712198920863;0;0;0,244604107266188;0,0719424317841727;0;0,0215827089352519;0,00719424297841727;0;0;0,0143885059568345;0;0;0,0143885059568345;0;0,0215827089352519;0,0863309377410072;0;0,00719424297841727;0;0;0;0;0;0;0;0,0107914049676258;0;0;0;0;0;0,00359712198920863;0,00719424297841727;0,00359712198920863;0;0,0467626208597121;0,0215827089352519;0,0539568238381295;0,0791367347625898;0,00359712198920863;0,00719424297841727;0;0;0;0,00359712198920863;0;0;0;0,0251799109244603;0,0215827089352519
"5";390;0;0;0;0;0;0;0;0,067901123543209;0;0,0401234543209876;0,00617283304938266;0;0;0;0;0;0;0;0;0;0,00925924907407399;0;0;0;0;0,00308641602469133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00617283304938266;0;0;0;0;0;0,0154320821234567;0;0;0;0;0,00617283304938266;0;0;0,00308641602469133;0;0;0;0;0;0;0;0;0;0;0,00308641602469133;0;0;0;0;0;0;0;0,00925924907407399;0;0,00308641602469133;0,00308641602469133;0;0,00308641602469133;0;0;0,00308641602469133;0,00308641602469133;0;0,20370376962963;0,114197870913583;0;0,0154320821234567;0,00308641602469133;0,00308641602469133;0;0,0123456860987655;0;0,00308641602469133;0,00925924907407399;0;0,021604875172839;0,0308641652469133;0;0,00308641602469133;0;0;0;0;0;0;0;0,00617283304938266;0,0154320821234567;0;0,00308641602469133;0,00617283304938266;0;0;0,0586419334691355;0;0;0,0308641652469133;0,00925924907407399;0,024691372197531;0,145061836160495;0;0,00617283304938266;0;0;0;0,0123456860987655;0;0;0;0,0432098513456788;0,0339505612716045
"6";1012;0,00719424403597122;0;0,00239808101199041;0;0;0;0;0,12709806963549;0;0,0623501343117507;0;0;0;0,00959233504796168;0,00239808101199041;0;0,00239808101199041;0;0;0,00239808101199041;0,00239808101199041;0;0;0;0;0,00239808101199041;0;0;0;0;0,00239808101199041;0;0;0;0;0,00239808101199041;0;0,00239808101199041;0;0;0;0;0;0;0;0;0;0;0;0,00719424403597122;0;0,011990406059952;0;0;0,00959233504796168;0;0,00479616302398081;0;0;0;0,00959233504796168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00239808101199041;0;0,00479616302398081;0;0;0;0,00479616302398081;0,00239808101199041;0,00239808101199041;0;0;0,0407674222038371;0,00239808101199041;0;0,0311751171558756;0;0;0;0,011990406059952;0;0;0;0,011990406059952;0,0407674222038371;0,0623501343117507;0;0,00959233504796168;0;0;0;0;0;0;0,00239808101199041;0,00239808101199041;0;0,00719424403597122;0;0,0335731181678656;0,00239808101199041;0,00479616302398081;0,0551559302757796;0;0;0,0503597272517986;0;0,0503597272517986;0,1247000676235;0;0,0815348444076742;0;0,011990406059952;0;0;0,0239808131199041;0;0;0,0191847100959236;0,0311751171558756
"7";1116;0,0011918999988081;0;0;0;0;0;0;0,0381405939618594;0;0,0131107979868892;0;0;0,00238378999761621;0,0011918999988081;0;0,0011918999988081;0;0;0;0,0011918999988081;0;0;0;0,0011918999988081;0;0,00238378999761621;0;0;0;0,00476757899523242;0;0;0;0;0;0;0,00238378999761621;0;0;0;0;0;0;0,00357568899642431;0;0;0;0,00357568899642431;0;0,00357568899642431;0;0,00476757899523242;0,0011918999988081;0;0,00715136899284863;0;0;0;0;0,00238378999761621;0;0;0;0;0;0,00238378999761621;0;0;0;0;0,0011918999988081;0;0;0;0;0;0,00238378999761621;0;0,00238378999761621;0;0;0;0,00238378999761621;0;0,00357568899642431;0;0;0,0309892949690107;0,0166864969833135;0;0,0131107979868892;0;0;0;0,00357568899642431;0;0;0;0;0,0333730949666269;0,0250297959749702;0,0011918999988081;0,00357568899642431;0;0;0;0;0;0;0;0,00238378999761621;0;0,00238378999761621;0;0;0;0;0,61620990738379;0;0;0,0309892949690107;0,00715136899284863;0,0011918999988081;0,0643622899356377;0,00238378999761621;0,00715136899284863;0;0;0;0,00595947899404052;0;0;0;0,0143026979856973;0,00834326899165673
"8";1215;0,00291971098540145;0,00583942197080289;0,00729927296350364;0;0;0;0;0,0291971108540144;0;0;0,00291971098540145;0;0;0,00437956197810219;0;0;0;0;0;0;0,00145985099270075;0;0;0,00145985099270075;0;0,00145985099270075;0;0;0;0,00583942197080289;0;0;0,00291971098540145;0;0;0;0,00145985099270075;0;0;0;0,00145985099270075;0;0;0;0;0,00145985099270075;0;0,00291971098540145;0;0,00291971098540145;0;0,00437956197810219;0;0;0,0145985059270075;0;0;0,00145985099270075;0;0;0;0;0;0;0;0;0;0,00729927296350364;0;0;0;0;0;0;0;0;0,00291971098540145;0;0,00291971098540145;0;0;0;0;0;0;0;0;0,0379562148102189;0,0364964138175179;0;0,016058405919708;0;0;0;0,011678804941606;0;0;0,00291971098540145;0,00145985099270075;0,0277372108613139;0,021897808890511;0,00145985099270075;0,00583942197080289;0;0;0;0;0;0;0;0,00583942197080289;0;0,00437956197810219;0;0,00729927296350364;0,00145985099270075;0;0,566423218167884;0;0;0,0423358167883209;0,00291971098540145;0,00437956197810219;0,0525547197372264;0,00145985099270075;0,00583942197080289;0;0,00145985099270075;0,00583942197080289;0;0,00145985099270075;0;0;0,010219003948905;0,0131387049343065
"9";1331;0,0313152128121087;0,0104384039373696;0;0;0,00417537197494777;0;0;0,0480167187118997;0;0,0104384039373696;0;0,00417537197494777;0;0,00208768098747391;0;0,0104384039373696;0;0,00417537197494777;0,00417537197494777;0;0;0;0,00417537197494777;0;0;0,00208768098747391;0;0;0;0,0125261049248434;0,00208768098747391;0;0;0;0;0;0;0;0;0;0;0,00208768098747391;0;0,0125261049248434;0,00208768098747391;0;0;0;0;0,00417537197494777;0;0;0;0;0,00208768098747391;0;0;0,0083507329498956;0;0;0;0;0,00208768098747391;0;0;0;0;0,0125261049248434;0;0;0;0;0;0;0;0;0,0417537167494777;0;0,00417537197494777;0;0;0;0;0;0,00626305296242168;0;0;0,123173048260962;0,0250522098496867;0;0,0229645088622129;0;0;0;0;0,00417537197494777;0;0;0;0,0146138059123172;0,0250522098496867;0,00208768098747391;0,00417537197494777;0;0;0;0;0;0;0,00208768098747391;0,00208768098747391;0;0;0;0,102296040386224;0,00208768098747391;0;0,252610099484339;0;0;0,0187891078872654;0;0;0,0626305246242169;0,0083507329498956;0,0187891078872654;0;0,00208768098747391;0;0,0187891078872654;0;0;0;0,0271399108371605;0,0125261049248434
"10";1573,5;0,00982801402948404;0,0036855010110565;0,0012285000036855;0;0;0;0;0,00737101302211304;0;0,0282555100847665;0;0,00982801402948404;0;0,0012285000036855;0;0;0;0;0;0;0,00614251201842754;0;0,0036855010110565;0;0;0;0;0,0036855010110565;0;0,0036855010110565;0;0;0;0;0;0;0,0012285000036855;0;0;0;0;0;0;0,00737101302211304;0;0;0;0,00614251201842754;0;0,0110565040331695;0;0,034398012103194;0,0036855010110565;0;0,00491400201474201;0;0,0012285000036855;0,012285004036855;0;0;0;0;0,0012285000036855;0,00982801402948404;0;0;0;0,0479115171437346;0;0;0;0;0;0;0;0;0,449631163348893;0;0,002457001007371;0;0;0;0,002457001007371;0;0,0036855010110565;0;0;0,029484011088452;0,00737101302211304;0;0,0012285000036855;0;0;0;0,00737101302211304;0;0;0;0;0,00491400201474201;0,00982801402948404;0,00737101302211304;0,002457001007371;0;0;0;0;0;0;0,0012285000036855;0,00859951302579854;0;0;0;0,002457001007371;0,0012285000036855;0,00859951302579854;0;0;0;0,012285004036855;0,00614251201842754;0;0,029484011088452;0,002457001007371;0,15602005646806;0;0,0036855010110565;0;0,0012285000036855;0;0;0;0,00491400201474201;0,0135135050405405
