"";"";"Cupressaceae";"Dacrycarpus.dacrydioides";"Dacrydium.cupressinum";"Fuscospora";"Halocarpus";"Knightia.excelsa";"Metrosideros.undiff";"Metrosideros.type2.";"Nestegis";"Phyllocladus";"Podocarpus";"Podocarpaceae.undiff";"Prumnopitys.ferruginea";"Prumnopitys.taxifolia";"Streblus";"Weinmannia.silivicola";"Pisonea.brunoniana";"Cordyline";"Geniostoma";"Rhopalostylis.sapida";"Vitex.lucens";"Aristotelia";"Ascarina.lucida";"Asteraceae.undiff.";"Coriaria";"Coprosma";"Dodonaea.viscosa";"c.f..Entelea";"c.f..Hebe";"Leptospermum.type";"Macropiper";"Melicope";"Melicytus.nz";"Muehlenbeckia";"Myrsine";"Pittosporum";"Pseudopanax.lessonii";"Pseudowintera";"Ripogonum.scandens";"Parsonsia";"Sicyos";"Tupeia";"Arthropodium";"Astelia";"Apiaceae.c.f..Scandia";"Apiaceae";"Brassicaceae";"Fabaceae";"Galium";"Small.Poaceae";"Large.Poaceae..Chionochloa.type.";"Urticaceae";"Xeronema.callistemon";"Callitriche";"Chenopodium.spp";"Taraxacum..Picrus..";"Lactuceae";"Plantago";"Stellaria";"Scrophulariaceae";"Myosotis";"Wahlenbergia";"c.f..Dianella";"c.f..Sarcocornia";"Cyperaceae.undiff.";"Carex.type";"Cyperus.type";"Baumea";"Eleocharis.type";"Gonocarpus";"Haloragis";"Isolepis.type";"Typha.orientalis";"Phormium";"Leptocarpus";"Pteridium.esculentum";"Cyathea.dealbata.type";"Dicksonia.squarrosa";"Blechnum.procera.type";"Histiopteris.incisa";"Microsorum.pustulatum";"Pyrrosia";"Monolete.fern.spores.undiff.";"Trilete.fern.spores.undiff.";"Anthoceros.spikey.type";"Leucopogon.fasciculatus";"Microsorum.novo.zelandiae";"Hepatic";"Pinus";"Plantago.lanceolata";"Taraxacum.type"
"1";-14;0;0;0,00695652197913043;0;0;0;0,758260867725217;0,00695652197913043;0,00347826098956522;0;0,000347825998956522;0;0;0;0;0;0,000347825998956522;0,000347825998956522;0,000347825998956522;0;0;0;0;0;0;0,0139130429582609;0;0;0;0;0,0417391298747826;0;0;0,0104347829686956;0,00347826098956522;0;0,00347826098956522;0;0;0;0;0;0;0;0;0;0;0;0;0,031304347906087;0;0;0;0,00347826098956522;0;0;0;0;0;0;0;0;0;0;0;0,0243478259269565;0,0104347829686956;0;0;0;0;0;0;0,0104347829686956;0,00347826098956522;0,00695652197913043;0;0,00347826098956522;0;0,00695652197913043;0,00347826098956522;0,000347825998956522;0,031304347906087;0;0,00347826098956522;0,00347826098956522;0;0;0,00695652197913043;0;0
"2";13;0;0,00589275200589275;0;0;0;0;0,624631703624632;0;0,00589275200589275;0;0;0,000589275000589275;0;0;0;0;0;0,000589275000589275;0;0,00589275200589275;0;0;0,000589275000589275;0;0;0,0353565110353565;0;0;0;0,00589275200589275;0,0766057750766058;0,000589275000589275;0;0;0;0;0,00589275200589275;0;0;0;0;0;0;0,000589275000589275;0;0;0;0;0;0,0176782560176783;0,0353565110353565;0,0117855040117855;0;0;0;0;0,00589275200589275;0;0;0;0;0;0;0;0,0353565110353565;0;0;0;0;0,00589275200589275;0;0;0;0;0,0117855040117855;0,0117855040117855;0;0;0,0117855040117855;0,0294637600294638;0;0;0,0412492630412493;0,00589275200589275;0,000589275000589275;0;0;0;0,000589275000589275;0,00589275200589275;0
"3";39;0;0,00632111296207332;0,00632111296207332;0;0;0;0,366624523800253;0;0,00632111296207332;0;0;0;0,0126422249241467;0;0;0;0;0,0316055628103666;0;0;0;0;0;0;0;0,0316055628103666;0;0;0;0,00632111296207332;0,0568900126586599;0;0,00632111296207332;0;0,0126422249241467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0126422249241467;0,183312261900126;0,00632111296207332;0;0;0;0;0,00632111296207332;0;0,000632110996207334;0;0;0;0;0;0,0695322375828066;0,0126422249241467;0;0,0126422249241467;0;0;0,00632111296207332;0;0;0;0,0316055628103666;0,0126422249241467;0;0;0,0252844498482933;0,0126422249241467;0;0;0,0442477877345133;0,0126422249241467;0;0;0;0;0,00632111296207332;0,000632110996207334;0
"4";63,5;0;0;0,000533333000533333;0,000533333000533333;0;0;0,192000000192;0;0;0;0,000533333000533333;0;0;0;0;0;0;0;0;0,0106666670106667;0;0;0;0;0;0,0373333330373333;0;0;0;0,0266666670266667;0,0426666670426667;0;0,00533333300533333;0;0,0213333330213333;0;0,0106666670106667;0;0;0;0;0;0,000533333000533333;0;0;0;0,000533333000533333;0;0;0,0266666670266667;0,154666667154667;0,00533333300533333;0,00533333300533333;0;0;0;0,016000000016;0;0;0;0;0;0;0;0,064000000064;0;0,0266666670266667;0;0;0,00533333300533333;0;0;0;0,048000000048;0,144000000144;0,016000000016;0,00533333300533333;0;0,0106666670106667;0,0426666670426667;0;0;0,0373333330373333;0,00533333300533333;0,0266666670266667;0;0;0;0,0106666670106667;0;0
"5";87;0,00840336104201681;0;0,00840336104201681;0;0;0;0,0840336134201681;0;0;0;0;0;0;0,00840336104201681;0;0;0;0,00840336104201681;0;0,00840336104201681;0;0;0;0;0;0,00840336104201681;0;0;0;0,00840336104201681;0,0588235292941177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,151260504756303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100840336504202;0,0840336134201681;0;0;0;0;0;0,00840336104201681;0,0756302523781513;0,117647059588235;0,0588235292941177;0,00840336104201681;0;0;0,0504201682521008;0;0;0,0756302523781513;0;0,0252100841260504;0;0;0;0,0168067230840336;0;0,0252100841260504
"6";112;0;0,0161550890323102;0;0,000807754001615508;0;0;0,0646203551292407;0;0;0,00807754401615509;0;0,0201938610403877;0;0,000807754001615508;0;0;0;0;0;0,0161550890323102;0;0;0;0,0161550890323102;0;0,0242326330484653;0;0;0;0,00807754401615509;0,0403877220807754;0;0;0;0,00807754401615509;0;0;0;0;0;0;0;0;0;0;0,00807754401615509;0,0161550890323102;0;0;0,0403877220807754;0,0726979001453958;0,00807754401615509;0;0;0;0;0,0161550890323102;0;0;0;0;0;0;0;0,242326333484653;0,00807754401615509;0,0323101780646204;0,000807754001615508;0;0;0,0323101780646204;0;0;0,0161550890323102;0,105008078210016;0,0726979001453958;0;0,0161550890323102;0;0,00807754401615509;0;0;0,0484652670969305;0;0,0323101780646204;0;0;0;0;0;0
"7";190;0;0;0,0140186920140187;0;0;0;0,0233644860233645;0;0,0140186920140187;0,00934579400934579;0,0046728970046729;0;0;0;0;0;0;0,0140186920140187;0;0,0046728970046729;0;0;0,0046728970046729;0,0140186920140187;0,0046728970046729;0,0046728970046729;0;0;0;0,0280373830280374;0,0420560750420561;0;0;0;0;0;0;0;0;0;0;0,0046728970046729;0,0046728970046729;0;0;0;0;0;0;0,116822430116822;0;0;0,0046728970046729;0;0,0046728970046729;0;0,0514018690514019;0;0;0;0;0;0;0;0,242990654242991;0,0280373830280374;0,0186915890186916;0;0;0;0,00934579400934579;0;0;0,0327102800327103;0,0420560750420561;0,11214953311215;0;0;0,0280373830280374;0;0;0;0,0794392520794392;0;0,0373831780373832;0;0;0;0;0;0
"8";345;0;0,000867302996530788;0,000867302996530788;0,00867302696530789;0;0;0,0173460539306158;0;0,00867302696530789;0,00867302696530789;0;0,00867302696530789;0;0,000867302996530788;0;0;0;0,0260190808959237;0;0,0173460539306158;0;0;0;0;0;0,0260190808959237;0;0;0;0,0173460539306158;0,0346921078612316;0;0;0;0,00867302696530789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0520381607918474;0,0433651338265395;0;0;0;0,00867302696530789;0;0,0173460539306158;0;0;0;0;0;0,00867302696530789;0;0,234171725063313;0,00867302696530789;0,0520381607918474;0,0173460539306158;0;0;0,0173460539306158;0;0;0,0607111877571553;0,0346921078612316;0,0607111877571553;0;0;0,0173460539306158;0,0173460539306158;0;0;0,104076322583695;0;0,0607111877571553;0;0;0;0;0;0
"9";468;0;0,0169875421019253;0;0,0113250280679502;0;0;0,00566251403397508;0;0,00566251403397508;0,00566251403397508;0;0,0141562850849377;0;0;0;0;0;0,00566251403397508;0;0,0169875421019253;0;0;0;0,00566251403397508;0;0;0;0;0;0,0113250280679502;0,0396375992378256;0;0;0;0,00566251403397508;0;0;0;0;0;0;0;0;0;0;0,000566251003397506;0;0;0;0,0339750852038505;0,0169875421019253;0;0;0;0,00566251403397508;0;0,0453001132718007;0;0;0;0;0;0;0;0,124575311747452;0,0113250280679502;0,00566251403397508;0,0113250280679502;0;0;0,00566251403397508;0,00566251403397508;0;0,0453001132718007;0,0226500571359003;0,0453001132718007;0;0;0;0;0;0;0,0566251423397509;0,00566251403397508;0,413363535480181;0;0;0;0;0;0
"10";520;0;0;0,0207345970622038;0;0;0;0,02369668207109;0;0,02369668207109;0,000592417001777251;0;0;0,000592417001777251;0;0;0;0;0,011848341035545;0;0,0177725120533175;0;0;0,000592417001777251;0,011848341035545;0;0,00592417101777251;0;0;0;0;0,154028436462085;0;0;0;0,011848341035545;0;0;0;0;0;0;0;0,00592417101777251;0;0;0;0;0;0;0,100710900302133;0;0;0;0;0;0;0,0710900472132701;0;0;0;0,00592417101777251;0;0;0;0,136255924408768;0,011848341035545;0,00592417101777251;0;0;0,02369668207109;0;0;0;0,0592417061777251;0,0177725120533175;0,0473933651421801;0;0,011848341035545;0,011848341035545;0;0;0;0,106635071319905;0,0414691941244076;0,0592417061777251;0;0;0;0;0;0
