"";"";"Adenocarpus";"Allium";"Apiaceae";"Artemisia";"Asphodelus";"Asteracaeae";"Bituminaria.cf..bituminosa";"Canarina.cf..canariensis";"Carex";"Carpinus.cf..betulus";"Caryophyllaceae";"Cedronella";"Chamaecytisus";"Chenopodiaceae";"Cistus";"Convolvulus";"Daphne.cf..gnidium";"Dracaena.cf..draco";"Echium";"Erica.arborea";"Erodium";"Fumariaceae";"Hypericum";"Ilex";"Juncus";"Juniperus";"Lamiaceae";"Lauraceae";"Maytenus.cf..canariensis";"Myrica.cf..faya";"Olea";"Pericallis";"Phoenix.cf..canariensis";"Picconia.cf..excelsa";"Pinus.cf..canariensis";"Pistacia";"Plantaginaceae";"Poaceae";"Prunus.cf..lusitanica";"Pteridophyta";"Quercus";"Ranunculus";"Rubiaceae";"Rumex";"Salix.cf..canariensis";"Sambucus.cf..palmensis";"Scrophulariaceae";"Sideroxylon.cf..mirmulano";"Trifolium";"Typha.dominguensis";"Viburnum.cf..rigidum";"Visnea.cf..mocanera"
"1";982,5;0,025706940874036;0;0;0;0;0,077120822622108;0;0;0,0025706940874036;0;0,0051413881748072;0;0,0051413881748072;0,0205655526992288;0,0051413881748072;0,0025706940874036;0;0;0,0102827763496144;0,0539845758354756;0,0025706940874036;0;0,0025706940874036;0;0,0077120822622108;0,0102827763496144;0,0025706940874036;0;0;0,236503856041131;0;0,0179948586118252;0,0539845758354756;0,0051413881748072;0,0051413881748072;0;0;0,12853470437018;0,0488431876606684;0,0951156812339332;0;0,0154241645244216;0,0025706940874036;0;0,0822622107969152;0,0051413881748072;0,0154241645244216;0;0;0;0,051413881748072;0,0025706940874036
"2";1069,5;0,0227272727272727;0;0;0;0;0,0883838383838384;0;0;0,0101010101010101;0;0,00252525252525253;0;0,00252525252525253;0,00757575757575758;0;0;0;0;0,0227272727272727;0,0202020202020202;0;0;0,00505050505050505;0;0;0,0151515151515152;0,00505050505050505;0,00505050505050505;0;0,189393939393939;0;0;0,0429292929292929;0,0101010101010101;0,0151515151515152;0;0;0,148989898989899;0,047979797979798;0,101010101010101;0,0277777777777778;0,00505050505050505;0;0;0,116161616161616;0,0252525252525253;0,0101010101010101;0;0;0;0,0454545454545455;0,00757575757575758
"3";1176,5;0,0245098039215686;0;0;0;0;0,0735294117647059;0,00735294117647059;0;0,00245098039215686;0;0,00245098039215686;0;0;0,00735294117647059;0;0;0;0;0,0269607843137255;0,0294117647058824;0;0;0,00245098039215686;0;0,00245098039215686;0,0245098039215686;0;0,0220588235294118;0;0,223039215686275;0;0,00245098039215686;0,0392156862745098;0,00980392156862745;0,00490196078431373;0;0;0,105392156862745;0,0416666666666667;0,127450980392157;0,00490196078431373;0,0196078431372549;0,00245098039215686;0;0,0857843137254902;0,0220588235294118;0,017156862745098;0,00735294117647059;0;0;0,0563725490196078;0,00490196078431373
"4";1287,5;0,0125628140703518;0;0;0;0;0,0452261306532663;0,00251256281407035;0;0,0251256281407035;0,00753768844221105;0;0;0,00251256281407035;0,0100502512562814;0;0;0;0;0,0301507537688442;0,0201005025125628;0;0;0;0;0;0,0226130653266332;0,00251256281407035;0,0125628140703518;0,00251256281407035;0,246231155778894;0,00251256281407035;0,00251256281407035;0,0301507537688442;0,00753768844221105;0,0100502512562814;0,0050251256281407;0,00251256281407035;0,103015075376884;0,0603015075376884;0,100502512562814;0,0301507537688442;0,0477386934673367;0,00251256281407035;0;0,0552763819095477;0,0100502512562814;0,0100502512562814;0,00251256281407035;0;0,00251256281407035;0,0728643216080402;0
"5";1476,5;0,0143540669856459;0;0;0;0;0,0550239234449761;0;0;0,00717703349282297;0,0119617224880383;0;0;0,00239234449760766;0,00478468899521531;0;0;0;0;0,0239234449760766;0,0191387559808612;0;0;0,00239234449760766;0;0,00239234449760766;0,0263157894736842;0;0,0143540669856459;0;0,165071770334928;0,00717703349282297;0,00239234449760766;0,0478468899521531;0,00956937799043062;0,0215311004784689;0;0;0,155502392344498;0,0263157894736842;0,0909090909090909;0,0382775119617225;0,0478468899521531;0,00478468899521531;0;0,12200956937799;0,0143540669856459;0,00956937799043062;0,00478468899521531;0;0;0,0454545454545455;0,00239234449760766
"6";1616;0,0111940298507463;0;0,00186567164179104;0;0;0,0242537313432836;0;0;0,0578358208955224;0,0205223880597015;0;0;0,00373134328358209;0,0167910447761194;0,00186567164179104;0;0,00186567164179104;0;0,0111940298507463;0,00559701492537313;0;0;0;0,00373134328358209;0,0242537313432836;0,0764925373134328;0;0,0167910447761194;0;0,126865671641791;0;0,00186567164179104;0,0149253731343284;0,00186567164179104;0,0167910447761194;0;0,00186567164179104;0,0652985074626866;0,0298507462686567;0,113805970149254;0,0690298507462687;0,167910447761194;0;0;0,0597014925373134;0,0130597014925373;0,00186567164179104;0;0;0;0,0354477611940298;0,00186567164179104
"7";1657,5;0;0;0;0;0;0,0398230088495575;0;0;0,0265486725663717;0,0486725663716814;0,00442477876106195;0;0,00221238938053097;0,00663716814159292;0;0;0;0;0,0420353982300885;0,0221238938053097;0;0;0,00442477876106195;0;0,00442477876106195;0,0199115044247788;0,00221238938053097;0,0221238938053097;0;0,161504424778761;0,00442477876106195;0,00221238938053097;0,00663716814159292;0,00663716814159292;0,00221238938053097;0;0;0,121681415929204;0,0154867256637168;0,0951327433628319;0,0707964601769911;0,0774336283185841;0;0;0,115044247787611;0,00884955752212389;0,0176991150442478;0;0;0;0,0464601769911504;0,00221238938053097
"8";1748;0,0128205128205128;0;0,00366300366300366;0,00183150183150183;0;0,0256410256410256;0;0;0,0622710622710623;0,032967032967033;0;0;0,00366300366300366;0,00183150183150183;0;0;0;0;0,0457875457875458;0,0201465201465201;0;0;0,00366300366300366;0,00183150183150183;0,00366300366300366;0,021978021978022;0,00183150183150183;0,010989010989011;0;0,119047619047619;0,00549450549450549;0,00183150183150183;0,0128205128205128;0,00549450549450549;0,00366300366300366;0;0,00366300366300366;0,0695970695970696;0,0201465201465201;0,0787545787545788;0,0897435897435897;0,142857142857143;0;0;0,126373626373626;0,021978021978022;0,00366300366300366;0,00183150183150183;0;0;0,0347985347985348;0,00366300366300366
"9";1833,5;0,00710900473933649;0;0;0;0;0,0639810426540284;0,0023696682464455;0;0,0355450236966825;0,033175355450237;0,0023696682464455;0;0;0,00947867298578199;0;0,00947867298578199;0;0;0,0450236966824645;0,018957345971564;0;0;0;0;0,00710900473933649;0,0402843601895735;0;0,0260663507109005;0;0,104265402843602;0,0023696682464455;0;0,0308056872037915;0,0118483412322275;0,023696682464455;0;0;0,130331753554502;0,0165876777251185;0,106635071090047;0,0450236966824645;0,0568720379146919;0;0;0,0781990521327014;0,0165876777251185;0,033175355450237;0,0023696682464455;0;0;0,0402843601895735;0
"10";1915;0,00171526586620926;0;0;0,00171526586620926;0;0,0171526586620926;0;0;0,0497427101200686;0,0377358490566038;0;0;0;0,0154373927958834;0;0;0;0;0,0120068610634648;0,0154373927958834;0;0;0,00857632933104631;0,00171526586620926;0,00343053173241852;0,0137221269296741;0;0,0171526586620926;0;0,109777015437393;0,00686106346483705;0;0,0102915951972556;0,0102915951972556;0,0120068610634648;0,00171526586620926;0;0,0943396226415094;0,0188679245283019;0,0566037735849057;0,111492281303602;0,198970840480274;0;0;0,101200686106346;0,0137221269296741;0,00857632933104631;0,00343053173241852;0;0;0,0428816466552316;0,00343053173241852
