"";"";"Phylica.arborea";"Empetrum.rubrum";"Poaceae";"Cyperaceae";"Rumex.acetosa.acetosella";"Umbelliferae";"Nertera.sp.";"Callitriche.christensenii";"Asteraceae";"Chenopodiaceae";"Plantago.lanceolata";"Anthemis.type";"Hypolepis.rugosula";"Gymnogramma.sp.";"Lycopodium.magellanicum.diaphanum";"Lycopodium.insulare";"Polypodiaceae";"Vittaria.vittarioides";"Ophioglossum.sp.";"Hymenophyllum.sp.";"Polypodium";"Polypodium.spore.capsules"
"1";-53;0,234700739765299;0,000672494999327505;0,119031606880968;0,278412911721587;0,00672494999327505;0,00201748499798251;0;0;0;0;0,0262273029737727;0,00268997999731002;0;0,00134498999865501;0,00134498999865501;0,00268997999731002;0,3154001336846;0,00134498999865501;0;0;0,00739744499260255;0
"2";-53;0,213358070786642;0,00185528799814471;0,116264687883735;0,249226963750773;0,004329003995671;0;0,00185528799814471;0,004329003995671;0;0,00123685799876314;0,0235003089764997;0,00309214599690785;0;0,00247371699752628;0;0,00123685799876314;0,370439084629561;0;0,000618428999381571;0;0,00618429199381571;0
"3";-53;0,176470588;0;0,098715348;0,370520622;0,004732928;0;0,001352265;0,001352265;0;0;0,020960108;0,001352265;0;0,000676133;0;0,004056795;0,315753888;0;0;0;0,004056795;0
"4";-53;0,34134007634134;0,000632111000632111;0,0935524650935525;0,160556258160556;0,00821744600821745;0;0,00189633400189633;0,00252844500252844;0,000632111000632111;0;0,0202275600202276;0,00189633400189633;0;0,000632111000632111;0,000632111000632111;0,000632111000632111;0,3621997473622;0,000632111000632111;0;0;0,00379266800379267;0
"5";-42;0,290488431709512;0,00257069399742931;0,0912596399087404;0,239074549760925;0,00706940899293059;0,000642673999357326;0,00128534699871465;0,000642673999357326;0;0;0,00771208199228792;0,00128534699871465;0;0,00192802099807198;0;0;0,351542415648458;0,000642673999357326;0;0;0,00385604099614396;0
"6";-35;0,394444444394444;0,00138888900138889;0,0944444440944444;0,184722222184722;0,00416666700416667;0,00277777800277778;0,00138888900138889;0;0;0;0,00972222200972222;0,00138888900138889;0;0,00138888900138889;0;0,000694444000694444;0,301388889301389;0;0;0;0,00208333300208333;0
"7";-27;0,327485379672515;0,00194931799805068;0,08576998091423;0,217673813782326;0,0071474979928525;0,000649772999350227;0;0;0;0;0,0071474979928525;0,000649772999350227;0;0,00129954499870045;0,000649772999350227;0,000649772999350227;0,344379466655621;0;0;0,000649772999350227;0,00389863499610136;0
"8";-12;0,452975047547025;0,00191938599808061;0,120921304879079;0,0479846449520153;0,0102367239897633;0,00127959099872041;0,00127959099872041;0,00191938599808061;0,000639794999360205;0;0;0;0;0,00255918099744082;0;0,000639794999360205;0,353166986646833;0;0;0;0,00447856699552143;0
"9";102;0,46124030953876;0,00129198999870801;0,144702841855297;0,0284237729715762;0,00710594299289406;0;0,00258397899741602;0;0;0;0;0;0;0,00129198999870801;0;0;0,343669250656331;0,000645994999354005;0;0;0,00387596899612403;0,00516795899483204
"10";131;0,560875511878249;0,00068399499863201;0,0957592338084815;0,0246238029507524;0,00205198399589603;0;0,00068399499863201;0;0;0;0;0;0;0,00273597799452804;0;0;0,310533515378933;0,00136798899726402;0;0;0;0,00068399499863201
"11";155;0,495436767990874;0,00065189000130378;0,121903520243807;0,0286831810573664;0,00065189000130378;0;0,00456323300912647;0;0;0;0;0;0;0;0;0;0,341590613683181;0,00065189000130378;0;0;0,00065189000130378;0,00521512401043025
"12";178;0,521045919042092;0,00191326500382653;0,0854591841709184;0,0172193880344388;0,00510204101020408;0,00255102000510204;0,00191326500382653;0,00191326500382653;0;0;0;0;0,00063775500127551;0,00127551000255102;0,00063775500127551;0;0,354591837709184;0,00127551000255102;0;0,00063775500127551;0,00255102000510204;0,00127551000255102
"13";201;0,460942158078116;0,00119260599761479;0,0757304708485391;0,0322003579355993;0,0232558139534884;0;0,00238521199522958;0;0;0;0;0;0,000596302998807394;0,00119260599761479;0,00119260599761479;0;0,387000595225999;0,00119260599761479;0;0,000596302998807394;0,0113297559773405;0,00119260599761479
"14";225;0,408394781591605;0,000567214999432785;0,0260918889739081;0,113442994886557;0,0147475889852524;0;0,00170164499829835;0,000567214999432785;0;0;0;0;0,000567214999432785;0;0;0;0,425411230574589;0;0;0;0,00453771999546228;0,00397050499602949
"15";250;0,500566251;0;0,024348811;0,020385051;0,015288788;0,001132503;0;0,001132503;0;0;0;0;0;0;0;0,001132503;0,427519819;0,000566251;0;0;0;0,00792752
"16";269;0,551090699448909;0;0,0097588979902411;0,0132032149867968;0;0;0;0;0;0;0;0;0,000574052999425947;0;0;0;0,41791044758209;0,000574052999425947;0;0;0,00229621099770379;0,00459242299540758
