"";"";"Myrtaceae.undif.";"Trema.sp.";"Moraceae.Urticaceae.undif.";"Celtis.sp.";"Apocynaceae.undif.";"Weinmannia.sp.";"Elaeoecarpus.sp.";"Sapindaceae.undif.";"Sapotaceae.undif.";"Rubiaceae.undif.";"Euphorbiaceae.undif.";"Gunneraceae.undif.";"Ascarina.lanceolata";"Melastomataceae.undif.";"Asteraceae.undif.";"Poaceae.undif.";"Pandanus.sp.";"Araceae.undif.";"Cyathaceae.undif.";"Trilete.spore.undif.";"Monolete.spore.undif.";"Solanum.type";"Solanaceae.undif.";"Fabaceae.undif.";"Tiliaceae.undif.";"Bombacaceae.undif.";"Araliaceae.undif.";"Myrsina.sp.";"Altingia.sp.";"Dysoxylum.sp.";"Apiaceae.undif.";"cf..Anacardiaceae.undif.";"Antidesma.sp.";"Sum.unknown";"Rumex.sp.";"Alyxia.sp.";"Euphorbiaceae.type";"Selaginella.sp.";"Loranthus.insularum"
"1";557;0,0229508199311475;0,0852459017442623;0,140983606577049;0,0098360659704918;0;0,137704917586885;0;0,0131147539606557;0,0098360659704918;0;0,0229508199311475;0;0,0131147539606557;0,0098360659704918;0;0,0262295079213115;0,242622950272131;0,0262295079213115;0,121311474636066;0,00655737698032787;0,0786885247639344;0;0;0;0,0229508199311475;0;0;0;0;0;0;0;0;0,00655737698032787;0,00327868899016393;0;0;0;0
"2";639;0,0194174759805825;0,0679611649320388;0,18122977281877;0,012944983987055;0,0355987059644013;0,0614886729385113;0,00647249199352751;0,0161812299838188;0,00647249199352751;0;0,00970873799029126;0,00970873799029126;0;0;0;0,00970873799029126;0,0420711969579288;0,0744336569255663;0,0744336569255663;0,0776699029223301;0,220064724779935;0,0420711969579288;0,00647249199352751;0,00647249199352751;0,00323624599676375;0;0;0;0;0;0;0;0;0,0161812299838188;0;0;0;0;0
"3";721;0,00671140902013423;0,0715883672147651;0,19015660057047;0,0313199110939597;0,00671140902013423;0,0469798661409396;0;0,00223713600671141;0,011185682033557;0;0,0402684561208054;0;0,00223713600671141;0;0,00223713600671141;0,0134228190402685;0,107382550322148;0,0313199110939597;0,134228188402685;0,0738255032214765;0,165548098496644;0,00671140902013423;0;0,00447427301342282;0,0290827740872483;0;0;0;0;0;0;0,00223713600671141;0;0,0134228190402685;0,00671140902013423;0;0;0;0
"4";762;0,0259740261038961;0,0324675321298701;0,172077922688312;0;0,00649350602597402;0,0389610391558442;0,00324675301298701;0,00649350602597402;0,0129870130519481;0,00649350602597402;0;0,00649350602597402;0;0;0;0,00649350602597402;0,0811688313246753;0,0551948052207792;0,146103896584416;0,0779220783116883;0,230519481922078;0,0389610391558442;0;0,00324675301298701;0;0;0,00324675301298701;0;0;0;0;0,0227272730909091;0,00324675301298701;0,0129870130519481;0,00324675301298701;0;0;0;0,00324675301298701
"5";800,5;0,00649350601948052;0,0941558442824675;0,155844156467532;0,0519480521558442;0,0681818182045455;0,0649350651948052;0,0162337660487013;0,00974026002922078;0;0;0,00649350601948052;0,00974026002922078;0,00324675300974026;0,00324675300974026;0;0;0,0681818182045455;0,0389610391168831;0,12987013038961;0,0584415581753247;0,142857143428571;0,0292207790876623;0;0,00324675300974026;0,0194805190584416;0;0;0;0;0;0;0,00324675300974026;0,00649350601948052;0,00974026002922078;0;0;0;0;0
"6";882;0,0345622121036866;0,108294931324885;0,158986175476959;0,00230414700691244;0,0345622121036866;0,0506912441520737;0;0,00691244202073733;0,0115207370345622;0,00230414700691244;0,00691244202073733;0,0115207370345622;0,00230414700691244;0;0;0,00460829501382488;0,0552995391658986;0,0506912441520737;0,124423963373272;0,0944700462834101;0,133640553400922;0,0345622121036866;0,00921659002764977;0,00460829501382488;0,0253456220760369;0;0;0;0;0;0;0;0;0,0322580650967742;0;0;0;0;0
"7";988;0,0320512820320513;0,099358974099359;0,201923077201923;0,0512820510512821;0,00961538500961539;0,0512820510512821;0,025641026025641;0,00320512800320513;0,0128205130128205;0;0,00641025600641026;0,00961538500961539;0;0,00641025600641026;0;0,00320512800320513;0,0608974360608974;0,0416666670416667;0,108974359108974;0,0865384620865385;0,137820513137821;0,00320512800320513;0;0;0;0;0;0;0;0;0,00641025600641026;0,0192307690192308;0;0,0224358970224359;0;0;0;0;0
"8";1266,5;0,0483383690483384;0,0271903320271903;0,0785498490785499;0,00906344400906344;0,0241691840241692;0,0574018130574018;0;0,00302114800302115;0,0120845920120846;0,00906344400906344;0,00302114800302115;0;0,0060422960060423;0,00906344400906344;0,00302114800302115;0,00302114800302115;0,151057402151057;0,081570997081571;0,169184290169184;0,081570997081571;0,151057402151057;0,0302114800302115;0;0;0,0120845920120846;0;0;0;0;0;0;0,0151057400151057;0,00302114800302115;0,00302114800302115;0,00906344400906344;0;0;0;0
"9";1882,5;0,0560747658878505;0,0654205608691589;0,271028036457944;0,00623052998753894;0,0155763239688474;0,052959501894081;0,0186915889626168;0,00311526499376947;0;0;0,0155763239688474;0;0,00311526499376947;0;0,00311526499376947;0,00311526499376947;0,0934579438130841;0,0436137069127726;0,0965732088068536;0,0747663548504673;0,112149532775701;0;0;0,00623052998753894;0,0186915889626168;0;0;0;0;0;0,00311526499376947;0,0249221179501558;0;0,0124610589750779;0;0;0;0;0
"10";2543;0,0170940169487179;0,0655270658034188;0,324786324025641;0,0199430199401709;0,0199430199401709;0,0256410259230769;0;0,00284900299145299;0;0,00284900299145299;0,0227920229316239;0,00854700897435897;0,00284900299145299;0;0;0;0,0911680907264957;0,0826210827521368;0,0398860398803419;0,0826210827521368;0,14245014157265;0,014245013957265;0;0;0,00284900299145299;0;0;0;0;0;0,00569800598290598;0,00569800598290598;0;0,0199430199401709;0;0;0;0;0
