"";"";"Apocynaceae";"Canarium";"Canavalia.Type";"Cunoniaceae";"Dacrycarpus";"Dilleniaceae";"Elaeocarpus";"Ilex";"Malvaceae..other";"Meliaceae";"Myrtaceae";"Palms";"Podocarpus";"Rhamnaceae";"Rubiaceae";"Rutaceae";"Sapindaceae";"Sapotaceae";"Terminalia.Type";"Acryanthes";"Araliaceae";"Arytera.Type";"Casuarina";"Dodonea";"Homalanthus.Exocoaria";"Legumes";"Lonicera.Type";"Macaranga.Mallotus";"Moraceae";"Neonauclea.Type";"Olacaceae.6p.triangle";"Pandandus.tectorius.Type";"Pandanus";"Pandanus.krauliensis.Type";"Proteaceae";"Psychotria";"Trema";"Type.13.Simaroubaceae";"Coprosma";"Alternanthera";"Amaranthaceae";"Apiacaeae";"Asteraceae.Type.A";"Asteraceae.Type.B";"Euphorbia";"Plantago";"Poaceae.70.um";"Portulaceae";"Hypolepis";"Polypodiaceae";"Treeferns";"Triletes.Other";"Blechnum";"Monolete.Other";"Monolete.Psilate";"Pteridium";"Calycosia";"Poaceae";"Rhizophoraceae";"Barringtoniaceae";"Cyperaceae";"Metroxylon";"Nymphoides.indica";"Ranunculaceae";"Typha";"Indeterminate.3C3P";"Indeterminate.Other";"Type.11"
"1";0;0;0;0;0;0;0;0;0;0,003322936;0;0;0,066458715;0;0;0;0,016614677;0;0;0;0,009968806;0;0;0;0;0,003322936;0,003322936;0;0;0;0;0;0,046521103;0;0,079750456;0;0;0;0;0;0,003322936;0,006645871;0;0,146209154;0,023260547;0;0;0;0;0,013291741;0;0,099688059;0,096365167;0,023260547;0,016614677;0,086396318;0,006645871;0;0,103011037;0;0;0,063360884;0;0,016528927;0;0;0,066115699;0;0
"2";128;0;0;0;0;0;0;0;0;0;0;0,003865156;0,100494019;0;0;0;0;0;0;0;0;0;0;0;0;0,003865156;0,00773031;0;0;0;0;0;0,061842481;0;0,162336526;0;0;0;0;0;0,127550164;0,015460622;0;0,0695728;0;0;0;0,003865156;0;0,042516707;0,015460622;0,042516707;0,030921245;0,042516707;0,00773031;0,027056085;0,00773031;0;0,085033414;0;0;0,087096802;0;0,022580644;0;0,012903221;0,019354836;0;0
"3";288;0;0;0;0;0;0;0;0;0;0;0;0,0145742650145743;0,0291485220291485;0;0;0,00728713100728713;0;0;0;0;0;0;0,00728713100728713;0;0,0109306970109307;0;0,00364356500364357;0;0;0;0;0,00728713100728713;0;0,0510099160510099;0;0;0;0;0;0,058297044058297;0,0182178250182178;0;0,083802014083802;0;0;0;0;0;0,0145742650145743;0,0327920900327921;0,105663391105663;0,0473663470473664;0,0218613940218614;0,0182178250182178;0,00728713100728713;0,0109306970109307;0;0,269623844269624;0;0,00728713100728713;0,0403458230403458;0;0,0115273760115274;0,100864536100865;0,00576368900576369;0,0144092190144092;0;0
"4";605;0;0;0;0;0;0;0;0;0,00394696201578785;0;0,0118408890473636;0,078939250315757;0;0;0;0;0;0;0;0;0;0;0,00394696201578785;0;0,0197348120789392;0,00394696201578785;0;0;0;0;0;0,0868331733473327;0;0,193401185773605;0;0;0;0;0;0,0394696251578785;0,0157878460631514;0;0,0670983602683934;0;0;0;0;0;0,00394696201578785;0,0315757021263028;0,0592044372368177;0,0315757021263028;0,00394696201578785;0;0,0710453262841813;0;0;0,177613339710453;0;0,00394696201578785;0,0283687931134752;0;0,0212765950851064;0;0;0,0390070911560284;0,0035460990141844;0
"5";1137;0;0;0;0;0;0;0;0;0,00378533899621466;0;0,00378533899621466;0,0794921219205079;0;0;0;0,0454240719545759;0,00757067899242932;0,00378533899621466;0;0;0;0;0,00757067899242932;0;0,10598948389401;0,00757067899242932;0;0;0;0;0;0,124916158875084;0;0,0984188309015812;0;0;0;0;0;0;0,022712035977288;0;0,0302827149697173;0;0;0;0;0;0;0,0567800939432199;0,0416387369583613;0,022712035977288;0,00378533899621466;0,00378533899621466;0,0567800939432199;0,00757067899242932;0;0,128701528871298;0;0;0,0350318519649681;0;0,0382165589617834;0,00636942699363057;0,00318471399681529;0,0509554149490446;0,00318471399681529;0
"6";2473,5;0;0;0;0;0;0;0;0;0;0;0,0164584270493753;0,0534898871604697;0;0;0;0,00822921302468764;0;0;0;0;0,00411460701234382;0;0,00822921302468764;0;0,0534898871604697;0;0;0;0;0;0;0,102865213308596;0;0,234532610703598;0;0;0;0;0;0;0,00822921302468764;0;0;0;0;0;0;0;0;0,0411460671234382;0,0329168540987506;0,0123438200370315;0,0123438200370315;0,00411460701234382;0,0987505252962516;0;0;0,209844934629535;0;0;0,018315015054945;0;0,0366300391098901;0;0;0,0366300391098901;0,00732600702197802;0
"7";3806;0;0;0;0;0;0;0;0;0;0;0,00393831498424674;0,0630130277479479;0;0;0,0118149449527402;0,0511980907952076;0,00393831498424674;0;0;0;0;0;0,0196915729212337;0;0;0;0;0;0;0;0;0,137841043448636;0;0,153594280385623;0;0;0,00787662896849349;0;0;0,0669513457321946;0,00787662896849349;0;0;0;0;0;0;0;0,00787662896849349;0,0511980907952076;0,00393831498424674;0,0472597728109609;0,00393831498424674;0,0433214638267141;0,0433214638267141;0,00393831498424674;0;0,126026072495896;0;0;0,0328947378684211;0;0,0328947378684211;0;0,0164473689342105;0,0592105237631579;0;0
"8";3979,5;0;0;0;0;0;0;0;0;0;0,00454664298181343;0,00909328596362686;0,0591063597635746;0,00454664298181343;0;0;0,0227332179090671;0,00909328596362686;0;0;0;0;0;0,00909328596362686;0;0,104572770581709;0;0;0,00909328596362686;0;0;0;0,150039240399843;0;0,140945963436216;0;0;0,00454664298181343;0;0;0;0;0;0;0;0;0,00454664298181343;0;0;0;0,0500130747999477;0,031826503872694;0,0181865709272537;0;0,0363731418545074;0,0500130747999477;0;0;0,140945963436216;0;0;0,0380228128479088;0;0,0228136839087453;0;0,00380228098479088;0,0684410617262358;0,00760456296958175;0
"9";4057;0;0;0;0;0;0,00384083799231832;0;0;0,00384083799231832;0;0,00384083799231832;0,0460900569078199;0,00768167598463665;0;0,00768167598463665;0,00768167598463665;0;0;0;0;0;0;0,0192041909615916;0;0,0460900569078199;0,011522515976955;0;0;0;0,00384083799231832;0;0,192041911615916;0;0,0998617978002764;0;0;0,02304502395391;0;0;0;0;0;0;0;0;0,00384083799231832;0;0;0;0,0883392628233215;0,0729759228540482;0;0;0,0729759228540482;0,0499308899001382;0,00384083799231832;0;0,126747645746505;0;0;0,0169491479661017;0;0,0135593259728813;0;0,00338983099322034;0,0677966098644068;0,00338983099322034;0
"10";4135;0;0;0;0;0;0;0;0;0;0,0141600819716798;0;0,0531002928937994;0,00354001999291996;0;0,00708003898583992;0,0354001959291996;0;0;0;0;0;0;0,0212401139575198;0;0,095580502808839;0;0,00354001999291996;0,0141600819716798;0;0;0;0,180541028638918;0;0,0601803248796394;0,00354001999291996;0;0,0283201549433597;0;0;0;0;0;0;0;0;0;0;0;0;0,106200568787599;0,0247801389504397;0;0;0,0283201549433597;0,0212401139575198;0;0;0,187621043624758;0;0;0,0123838979752322;0;0,00928792398142415;0;0;0,0433436529133127;0,00309597499380805;0,0433436529133127
