"";"";"Anacardiaceae";"Apocynaceae";"Araliaceae";"Meliaceae";"Myrtaceae";"Palms";"Proteaceae";"Rhamnaceae";"Rubiaceae";"Rubiaceae.3c.loose.weave";"Rutaceae";"Sapindaceae";"Podocarpus";"Psychotria";"Psychotria.Type.1";"Psychotria.Type.2";"Terminalia.Type";"X3cp.25.30um.Araliaceae";"Dodonea";"Euphorbiaceae";"Gardenia";"Other.Malvaceae";"Casuarina";"Macaranga.Mallotus";"Trema.Moraceae.Celtis";"Amaranthaceae";"Asteraceae";"Caryophyllaceae";"Chenopodiaceae";"Alternanthera";"gemmate.monolete";"Polypodiaceae";"Treeferns";"Triletes.Other";"Apiaceae";"Poaceae";"Ranunculaceae";"Lonicera.Type";"Monolete.Other";"Monolete.Psilate";"Barringtoniaceae";"Cyperaceae";"Haloragaceae";"Melastomataceae";"Homalanthus.Exocaria";"Metroxylon";"Nymphoides.indica";"Pandandus.tectorius";"Pandanus.Type";"Damaged.Crumpled";"Indeterminate.3C3P";"Indeterminate.Other";"Type.4";"Type.6";"Onagraceae"
"1";0;0;0;0;0;0;0,023635997;0;0;0,005908999;0;0,023635997;0;0;0,0029545;0;0;0;0;0;0,011817999;0;0,073862475;0,023635997;0,112270993;0;0,150679446;0,08568046;0;0,0029545;0;0,0029545;0,0029545;0,0029545;0,017726998;0;0,112270993;0;0;0,004213483;0,015449435;0;0,039325845;0,002808988;0;0,005617977;0;0;0,014044946;0;0,030898877;0,028089885;0,002808988;0;0;0,200842722
"2";374;0;0;0;0,00345423099654577;0;0,100172727899827;0;0;0;0;0,00345423099654577;0;0;0;0;0;0;0;0;0;0;0,00690845999309154;0;0;0,00345423099654577;0;0,0172711589827288;0;0;0;0,0138169259861831;0,0138169259861831;0;0,414507776585492;0;0,08980999491019;0;0;0;0,146804857853195;0,00172711599827288;0,0310880779689119;0;0;0,0207253849792746;0;0,0103626929896373;0,0500863499499136;0;0,0397236579602763;0,0241796189758204;0;0;0;0,00863557999136442
"3";631;0;0;0;0;0;0,158835366;0;0;0;0,010084785;0,037817942;0;0,002521196;0;0;0;0;0;0;0,030254356;0,002521196;0;0,002521196;0,007563586;0,005042393;0;0,015127178;0;0,002521196;0,005042393;0,012605985;0,020169571;0,010084785;0,214301706;0;0,153792952;0;0;0;0,144846784;0;0,013927576;0;0;0;0;0,012534818;0,069637917;0;0,026462395;0,023676878;0,002785515;0,015320335;0;0
"4";759;0;0;0;0;0;0,145119736290239;0;0;0;0,00254596000509192;0,0712868911425738;0;0,00254596000509192;0;0;0;0;0;0;0;0;0,00254596000509192;0,00509192101018384;0,00254596000509192;0;0;0,0127298010254596;0;0,00254596000509192;0;0,00509192101018384;0,00763788101527576;0;0,0891086241782172;0;0,445543039891086;0;0;0;0,0622641541245283;0;0,00754717001509434;0;0;0,0150943440301887;0;0,022641508045283;0,054716982109434;0;0;0,00754717001509434;0;0,0358490560716981;0;0
"5";887;0;0;0;0;0;0,139741327720517;0;0;0;0;0,0279482579441035;0,00232902099534196;0;0;0;0;0;0;0;0,053567496892865;0;0;0,00698706498602587;0,00931608898136782;0;0;0,00931608898136782;0;0;0;0;0,00931608898136782;0;0,0442514079114972;0;0,505397667989205;0;0;0;0,0301953839396092;0;0,00888099398223801;0;0;0,0728241548543517;0;0,017761987964476;0,035523982928952;0;0,0035523979928952;0,0106571909786856;0;0,0124333959751332;0;0
"6";1015;0;0;0;0;0;0,091754778;0;0;0,006116987;0;0,024467953;0;0,003058494;0;0;0,006116987;0;0;0;0;0,003058494;0;0,009175478;0;0,006116987;0;0,003058494;0;0,003058494;0;0;0,009175478;0;0,214094578;0;0,342551311;0;0;0;0,028195488;0;0,009398494;0;0;0,180451126;0;0,024436092;0,013157897;0;0,001879699;0,007518799;0,003759398;0,009398494;0;0
"7";1144;0;0;0;0;0;0,0905663508188673;0;0;0;0;0,00624595598750809;0;0;0;0;0,00312297799375404;0;0;0,00312297799375404;0;0;0,00936893298126213;0,00936893298126213;0,00936893298126213;0,00312297799375404;0;0,00312297799375404;0;0;0;0;0,0124919099750162;0;0,140533992718932;0;0,45595480608809;0;0;0;0,0206185559587629;0;0,00206185599587629;0;0;0,18350518263299;0;0;0,00412371099175258;0;0;0,014432991971134;0;0,0288659759422681;0;0
"8";1272,5;0;0;0;0;0;0,0347061260694123;0,00867653301735307;0;0,00433826600867653;0;0,0173530660347061;0,00433826600867653;0;0;0;0;0;0;0;0;0;0,0303678630607357;0,00433826600867653;0,0130147960260296;0;0;0,00867653301735307;0;0,00433826600867653;0;0;0,0433826590867653;0;0,0997801011995602;0;0,41213524382427;0;0;0;0,0492957760985916;0;0;0;0;0,154929579309859;0,00234741800469484;0;0,00234741800469484;0;0,00234741800469484;0,0187793430375587;0;0,0845070621690141;0;0
"9";1397,5;0;0;0;0;0;0,0203614879389155;0;0;0;0;0,00814459797556621;0;0;0;0;0;0;0;0,00407229798778311;0,101807439694578;0;0,00814459797556621;0,00814459797556621;0;0,00407229798778311;0;0;0;0;0;0;0;0;0,142530427572409;0;0,346145306961564;0;0,00407229798778311;0;0,0278293109165121;0;0,0667903737996289;0;0;0,0649350408051949;0;0;0,0222634539332096;0;0,0333951738998145;0,116883137649351;0;0,0204081589387755;0;0
"10";1524;0;0;0;0;0;0;0;0;0;0,00785256400785256;0,0314102570314103;0;0;0;0;0;0;0;0;0;0;0,0314102570314103;0,00785256400785256;0,00785256400785256;0;0;0;0;0;0;0,00785256400785256;0,0392628210392628;0;0,0157051280157051;0;0,479006418479006;0;0;0;0,0128205110128205;0;0;0;0;0,307692301307692;0;0;0;0;0;0,0128205110128205;0;0,0384615390384615;0;0
"11";1651;0;0;0;0;0;0;0;0;0,00549087700549088;0;0,0494178920494179;0;0,0109817560109818;0;0;0,00549087700549088;0;0;0,00549087700549088;0;0;0,0329452570329453;0,0329452570329453;0;0,0274543850274544;0;0,00549087700549088;0,00549087700549088;0,00549087700549088;0;0;0,0329452570329453;0;0,0109817560109818;0;0,389852256389852;0;0;0;0,00852878200852878;0;0;0;0;0,332622609332623;0;0;0;0;0;0;0;0,0383795300383795;0;0
"12";1920;0;0;0;0;0;0,040306555;0;0;0;0;0;0;0;0;0;0;0,040306555;0;0;0,120919661;0;0;0;0;0;0;0;0;0;0;0;0,040306555;0;0;0;0,282145893;0;0;0;0,007380076;0,001845019;0,007380076;0;0;0,407749092;0;0;0;0,001845019;0;0,049815499;0;0;0;0
"13";2028;0;0;0;0;0;0;0;0;0,00919244198161512;0,00919244198161512;0,00919244198161512;0;0,00919244198161512;0;0;0;0,0183848779632302;0;0;0;0;0;0,0275773189448454;0,0183848779632302;0;0;0;0;0,0183848779632302;0;0;0,0919244158161512;0;0,00919244198161512;0;0,330927831338144;0;0;0;0,00343642599312715;0;0;0;0;0,438144312123711;0;0;0;0;0;0,00515463898969072;0;0;0,00171821299656357;0
"14";2132;0;0;0;0;0;0;0;0;0,00789141500789142;0;0,0473484850473485;0;0;0;0,0315656550315657;0;0,0394570750394571;0;0,00789141500789142;0;0;0,0236742450236742;0,0157828300157828;0,0157828300157828;0;0;0;0;0,00789141500789142;0;0,00789141500789142;0,142045460142045;0;0,0157828300157828;0;0,205176769205177;0;0;0;0,00568181800568182;0,00189393900189394;0;0;0;0,378787855378788;0;0,00189393900189394;0;0;0;0,0378787910378788;0;0,00568181800568182;0;0
"15";2241;0;0;0;0;0;0;0;0;0,0162303269675393;0;0;0;0;0;0;0,0162303269675393;0,0162303269675393;0;0,0162303269675393;0;0;0,0324606539350787;0;0,0973819618052361;0;0;0;0;0;0;0;0,178533596642933;0;0,048690980902618;0;0,0973819618052361;0;0;0,00121065399757869;0;0,00242130799515738;0;0;0;0,47215496005569;0;0;0;0;0;0;0,00484261499031477;0;0;0
"16";2353;0;0;0;0;0;0;0;0;0;0,0410449310820899;0;0;0;0,0410449310820899;0;0;0,205224654410449;0,0205224650410449;0;0;0;0,0205224650410449;0,102612327205225;0;0;0;0;0;0;0;0;0,0820898621641797;0;0;0;0;0;0;0;0,00208986400417973;0,00208986400417973;0;0;0;0,470219450940439;0;0;0;0;0,00313479600626959;0,00940438901880878;0;0;0;0
"17";2471,5;0;0;0,0372598800372599;0;0;0;0;0;0;0,0652047910652048;0;0;0,00931496900931497;0;0,00931496900931497;0,0465748530465749;0,0372598800372599;0;0,0186299420186299;0;0;0,11177963411178;0,0838347380838347;0,0465748530465749;0;0;0;0;0,00931496900931497;0;0;0,0186299420186299;0;0,0186299420186299;0;0,00931496900931497;0;0;0;0,00309119000309119;0,000772797000772797;0;0;0;0,463678517463678;0;0;0;0;0;0,00540958200540958;0,00540958200540958;0;0;0
"18";2594;0;0;0;0;0;0;0;0;0,0760804209239196;0,0152160839847839;0;0;0;0;0,0152160839847839;0;0;0;0,0304321739695678;0;0;0,0608643679391356;0,152160841847839;0,0456482579543517;0;0;0;0;0,0152160839847839;0;0;0,0608643679391356;0;0,0152160839847839;0;0;0,0304321739695678;0;0;0,00510204099489796;0,00102040799897959;0;0;0;0,463265305536735;0;0;0;0;0;0,00204081599795918;0;0;0,0112244889887755;0
"19";2722;0;0;0;0;0;0;0;0;0,0206675569793324;0;0;0;0;0;0;0;0,124005341875995;0;0;0;0;0,0413351139586649;0,289345796710654;0,0206675569793324;0;0;0;0;0;0;0;0,0206675569793324;0;0;0;0;0;0;0;0,0200267029799733;0;0;0;0;0,444592786555407;0;0;0;0;0,00267022699732977;0;0,00400534099599466;0;0,012016018987984;0
"20";3096;0;0;0;0;0;0;0;0;0,101246882;0;0;0;0;0;0;0;0,101246882;0;0;0;0;0;0,303740645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00997506;0;0;0;0;0,468827938;0;0;0;0;0;0;0;0;0,014962593;0
"21";3493;0;0;0,054580912;0;0;0;0;0;0,06822614;0;0;0;0;0;0;0;0,054580912;0;0;0;0;0,081871316;0,177387912;0,013645223;0;0;0;0;0;0;0;0,054580912;0;0;0;0;0,013645223;0;0;0,005847955;0;0;0;0;0,446393733;0;0;0;0;0;0,008771927;0,004873294;0;0,015594541;0
"22";3634;0;0;0;0;0;0;0;0,0120903799879096;0,0120903799879096;0;0;0;0;0;0;0;0,120903796879096;0,0362711439637289;0;0;0;0,157174929842825;0,0362711439637289;0;0;0;0;0;0;0;0;0,0846326629153673;0;0;0,0120903799879096;0,0362711439637289;0;0,0241807649758192;0;0,0116279059883721;0;0,00145348899854651;0;0;0,417151179582849;0;0;0;0;0,0116279059883721;0,0261627929738372;0;0;0;0
